Vika Jigulina,ヴィカ・ジグリーナ
Lidia Șimon,リディア・シモン
Inna,インナ
Alexandra Stan,アレクサンドラ・スタン
Ikechi Anya,イケチ・アンヤ
George Emil Palade,ジョージ・エミール・パラーデ
Itzik Manger,イツィク・マンゲル
Ecaterina Szabó,エカテリーナ・サボー
"Ileana, Principesă a României",イレアナ・(ルーマニア王女)
Elena Gheorghe,エレナ・ゲオルゲ
Mircea Lucescu,ミルチェア・ルチェスク
Viorel Moldovan,ヴィオレル・モルドヴァン
Angela Gheorghiu,アンジェラ・ゲオルギュー
Paul Celan,パウル・ツェラン
Andreea Grigore,アンドレア・グリゴレ
Viorica Ursuleac,ヴィオリカ・ウルスレアク
Liviu Librescu,リビウ・リブレスク
Răzvan Raț,ラズヴァン・ラツ
Gheorghe Popescu,ゲオルゲ・ポペスク
Helmut Duckadam,ヘルムート・ドゥカダム
Vali Ionescu,バリ・イオネスク
Elena Băsescu,エレナ・バセスク
Iulian Filipescu,イウリアン・フィリペスク
Emil Boc,エミール・ボック
Cristian Mungiu,クリスティアン・ムンジウ
Dan Balan,ダン・バラン
Victor Hănescu,ビクトル・ハネスク
Petre Roman,ペトレ・ロマン
Edward Maya,エドワード・マヤ
Angelica Adelstein-Rozeanu,アンジェリカ・ロゼアヌ
Anamaria Marinca,アナマリア・マリンカ
Alma Gluck,アルマ・グルック
Tristan Tzara,トリスタン・ツァラ
Eugen Coșeriu,エウジェニオ・コセリウ
Alina Alexandra Dumitru,アリナ・ドゥミトル
Nicolae Văcăroiu,ニコラエ・ヴァカロイウ
Bogdan Lobonț,ボグダン・ロボンツ
Elena Ceaușescu,エレナ・チャウシェスク
Simona Halep,シモナ・ハレプ
Iolanda Balaș,ヨランダ・バラシュ
Ion Antonescu,イオン・アントネスク
Alina Plugaru,アリーナ・プルガル
Herta Müller,ヘルタ・ミュラー
Gabriela Drăgoi,ガブリエラ・ドラゴイ
Daniel Prodan,ダニエル・プロダン
Irina Spîrlea,イリナ・スピールリア
Monica Roșu,モニカ・ロシュ
Nadia Comăneci,ナディア・コマネチ
Iasmin Latovlevici,ヤスミン・ラトヴリェヴィッチ
Mihai Antonescu,ミハイ・アントネスク
Corneliu Zelea Codreanu,コルネリウ・コドレアヌ
Eugen Ionescu,ウジェーヌ・イヨネスコ
Dinu Lipatti,ディヌ・リパッティ
Florian Pop,フロリアン・ポップ
Vlad Munteanu,ヴラド・ムンテアヌ
Dudu Georgescu,ドゥドゥ・ゲオルゲスク
György Kurtág,クルターグ・ジェルジュ
Gheorghe Dima,ゲオルゲ・ディマ
Marțian Negrea,マルツィアン・ネグレア
Traian Băsescu,トラヤン・バセスク
Nicolae Timofti,ニコラエ・ティモフティ
Mihai Răzvan Ungureanu,ミハイ・ラズヴァン・ウングレアーヌ
Sorana Cîrstea,ソラナ・チルステア
Monica Niculescu,モニカ・ニクレスク
Emil Constantinescu,エミル・コンスタンティネスク
Ciprian Marica,チプリアン・マリカ
Gabriela Szabó,ガブリエラ・サボー
Ana Pauker,アナ・パウケル
Alexandra Dulgheru,アレクサンドラ・ドゥルゲル
Aurelia Dobre,アウレリア・ドブレ
Ruxandra Dragomir,ルクサンドラ・ドラゴミル
Adrian Năstase,アドリアン・ナスタセ
Beatrice Câșlaru,ベアトリチェ・カスラル
Constantin Brâncuși,コンスタンティン・ブランクーシ
Regina Elisabeta a Greciei,エリサヴェト・(ギリシャ王妃)
Cleopatra Stratan,クレオパトラ・ストラタン
Henri Coandă,アンリ・コアンダ
Gheorghe Zamfir,ゲオルゲ・ザンフィル
Gabriel Tamaș,ガブリエル・タマシュ
Vlad Filat,ヴラド・フィラト
Victor Ponta,ヴィクトル・ポンタ
Andrei Pavel,アンドレイ・パベル
Florica Musicescu,フロリカ・ムジチェスク
Maia Morgenstern,マヤ・モルゲンステルン
Regina Maria a României,マリア・(ルーマニア王妃)
Regina Elisabeta a României,エリサベタ・(ルーマニア王妃)
Ion Iliescu,イオン・イリエスク
Ana Maria Brânză,アナ・マリア・ポペスク
Paula Ivan,パウラ・イバン
Doina Melinte,ドイナ・メリンテ
Ana Blandiana,アナ・ブランディアナ
Sorin Ghionea,ソリン・ギオネア
Simona Amânar,シモナ・アマナール
Paula Seling,パウラ・セリング
Daniela Silivaș,ダニエラ・シリバシュ
Linda Maria Baros,リンダ・マリア・バロス
Gheorghe Hagi,ゲオルゲ・ハジ
Sandra Romain,サンドラ・ロマン
Larisa Iordache,ラリサ・ヨルダケ
Virginia Ruzici,バージニア・ルジッチ
Ștefan Radu,シュテファン・ラドゥ
Sergiu Celibidache,セルジュ・チェリビダッケ
Ladislau Bölöni,ラースロー・ベレニ
László Sepsi,ラースロー・セプシ
Ovidiu Cernăuțeanu,オヴィディウ・チェルナウツェアヌ
Harvey Keitel,ハーヴェイ・カイテル
Irina-Camelia Begu,イリーナ＝カメリア・ベグ
Maria Cioncan,マリア・チオンカン
Ileana Cotrubaș,イレアナ・コトルバシュ
Jean Negulesco,ジーン・ネグレスコ
Emil Cioran,エミール・シオラン
Pavel Badea,パベル・バデア
Panait Istrati,パナイト・イストラティ
Adrian Mutu,アドリアン・ムトゥ
Zoia Ceaușescu,ゾヤ・チャウシェスク
Arthur Segal,アーサー・シーガル
Cristian Chivu,クリスティアン・キヴ
Călin Popescu-Tăriceanu,カリン・ポペスク・タリチェアヌ
Maricica Puică,マリチカ・プイカ
Liane de Pougy,リアーヌ・ド・プジー
Anișoara Cușmir-Stanciu,アニショアラ・スタンチウ
Mihaela Peneș,ミハエラ・ペネシュ
Diana Mocanu,ディアナ・モカヌ
Camelia Potec,カメリア・ポテク
Alexandru Averescu,アレクサンドル・アヴェレスク
Rose Ausländer,ローゼ・アウスレンダー
Artur Phleps,アルトゥール・フレプス
Alina Astafei,アリーナ・アスタフェイ
Mihai Mălaimare Jr.,ミハイ・マライメア・Jr
Mihaela Ursuleasa,ミハエラ・ウルスレアサ
Emeric Jenei,エメリック・イェネイ
Daniel Niculae,ダニエル・ニクラエ
Walter Zenga,ワルテル・ゼンガ
Gheorghe Gheorghiu-Dej,ゲオルゲ・ゲオルギュ＝デジ
Cosmin Contra,コスミン・コントラ
Mihai Ghimpu,ミハイ・ギンプ
Petru Lucinschi,ペトル・ルチンスキー
Florin Răducioiu,フロリン・ラドチョウ
Adrian Ilie,アドリアン・イリエ
Alexandra Maria Lara,アレクサンドラ・マリア・ララ
Adrian Diaconu,アドリアン・ディアコヌ
Constantina Diță-Tomescu,コンスタンティナ・ディタ
Petre Dumitrescu,ペトレ・ドゥミトレスク
Mihaela Melinte,ミハエラ・メリンテ
Maria Tănase,マリア・タナセ
Viorica Viscopoleanu,ビオリカ・ビスコポレアヌ
Julia Varady,ユリア・ヴァラディ
Ionela Târlea,イオネラ・ティルレア
Lia Manoliu,リア・マノリウ
Adrian Cristea (fotbalist),アドリアン・クリステア
Adrian Crișan,アドリアン・クリシャン
Robert Vancea,ロベルト・ヴァンチャ
Bogdan Stelea,ボグダン・ステレア
Mihai Neșu,ミハイ・ネシュ
Marius Urzică,マリウス・ウルジカ
Joseph Schmidt,ヨーゼフ・シュミット
Cristian Săpunaru,クリスティアン・サプナル
Dacian Cioloș,ダチアン・チョロシュ
Colin Kolles,コリン・コレス
George Enescu,ジョルジェ・エネスク
Stefan Hell,シュテファン・ヘル
Adalbert Deșu,アダウベルト・デス
Cristian Pulhac,クリスティアン・プルハク
George Florescu,ゲオルゲ・フローレスク
Hermann Oberth,ヘルマン・オーベルト
Răzvan Cociș,ラズバン・コチシュ
Ilie Năstase,イリ・ナスターゼ
Mihai I al României,ミハイ1世・(ルーマニア王)
Robert Klein,ロベール・クライン
Silviu Lung,シルヴィウ・ルング
Dorin Goian,ドリン・ゴヤン
Victor Pițurcă,ヴィクトル・ピツルカ
Marius Niculae,マリウス・ニクラエ
Gigel Bucur,ゲオルゲ・ブクル
Ciprian Deac,チプリアン・デアク
Florin Prunea,フローリアン・プルネア
Ștefan Luchian,シュテファン・ルキアン
Raul Rusescu,ラウル・ルセスク
Naomi Feinbrun-Dothan,ナオミ・ファインブルン＝ドーサン
Alexandru Robot,アレクサンドル・ロボット
Alexandru Chipciu,アレクサンドル・キプチュ
Saul Steinberg,ソール・スタインバーグ
Nicolae Dică,ニコラエ・ディカ
George Lusztig,ジョージ・ルスティック
Ștefan Kovács,シュテファン・コヴァチ
Ștefan Niculescu,ステファン・ニクレスク
Dragoș Grigore,ドラゴシュ・グリゴレ
Laurențiu Rus,ラウレンツィウ・ルス
Nicolao Dumitru,ニコラオ・ドゥミトル
Valerică Găman,ヴァレリカ・ガマン
Eric Bicfalvi,エリク・ビクファルヴィ
Gheorghe Grozav,ゲオルゲ・グロザフ
Nicholas Georgescu-Roegen,ニコラス・ジョージェスク＝レーゲン
Constantin Silvestri,コンスタンティン・シルヴェストリ
Eremia Grigorescu,エレミヤ・テオフィル・グリゴレスコ
Dorinel Munteanu,ドリネル・ムンテアヌ
Virginia Zeani,ヴィルジニア・ゼアーニ
Simion Stanciu,シミオン・スタンチュ・シリンクス
Tudor Arghezi,トゥドール・アルゲージ
Costel Pantilimon,コステル・パンティリモン
Anna Lesko,アンナ・レスコ
Cosmin Frăsinescu,コスミン・フラシネスク
Marin Karmitz,マリン・カルミッツ
Cătălin Fercu,カタリン・フェルク
Philip Herschkowitz,フィリップ・ヘルシュコヴィチ
Ioan Culcer,イオン・クルチェル
Alexandru Nicolaevici Deutsch,アレクサンドル・ドイチュ
Alexandru Ioniță II,アレクサンドル・ヨニツァ・(1994年生のサッカー選手)
Alexandru Drăghici,アレクサンドル・ドラギーチ
Sandu Lungu,アレクサンドル・ルング
Alexandru Țăruș,アレクサンドル・タルス
Alexandru Crețu,アレクサンドル・クレツ
Armand Călinescu,アルマンド・カリネスク
Romeo Surdu,ロメオ・スルドゥ
Silviu Lung Jr.,シルヴィウ・ルング・ジュニア
Petre Marin,ペトレ・マリン
Liviu Antal,リビウ・アンタル
Alexandru Bourceanu,アレクサンドル・ボウルチェアヌ
Iancu Dumitrescu,イアンク・ドゥミトレスク
Marius Alexe,マリウス・アレクセ
Alexandru Ioniță,アレクサンドル・ヨニツァ・(1989年生のサッカー選手)
Vasile Milea,ヴァシレ・ミリャ
Paul Codrea,パウル・コドレア
Florența Mihai,フロレンツァ・ミハイ
Dorin Mateuț,ドリン・マテウツ
Mircea Cărtărescu,ミルチャ・カルタレスク
Horia Sima,ホリア・シマ
Elizabeta Samara,エリザベタ・サマラ
Dennis Șerban,デニス・シェルバン
Costi Ioniță,コスティ・ヨニッツァ
David Wechsler,デイヴィッド・ウェクスラー
Hildegard Peplau,ヒルデガード・ペプロウ
Alina Cojocaru,アリーナ・コジョカル
Andrei Prepeliță,アンドレイ・プレペリツァ
Florin Gardoș,フローリン・ガルドシュ
Nicolae Grigorescu,ニコラエ・グリゴレスク
Bănel Nicoliță,バネル・ニコリツァ
Mirel Rădoi,ミレル・ラドイ
Daniela Dodean,ダニエラ・ドデアン
Dumitru Prunariu,ドゥミトール・プルナリウ
Sebastian Stan,セバスチャン・スタン
Gabriel Torje,ガブリエル・トルジェ
Miodrag Belodedici,ミオドラグ・ベロデディチ
Horia Tecău,ホリア・テカウ
Roxana Luca,ログザナ・ルカ
Loredana Groza,ロレダナ・グローザ
George Georgescu,ジョルジェ・ジョルジェスク
Florin Vlaicu,フロリン・ブライク
Florin Mergea,フロリン・メルジェ
Florin Cioabă,フロリン・チョアバ
Adrian Popa,アドリアン・ポパ
Gheorghe Mureșan,ゲオルゲ・ムレシャン
Elina Löwensohn,エリナ・レーヴェンソン
Corina Ungureanu,コリーナ・ウングレアーヌ
Florentin Petre,フローレンティン・ペトレ
Francisc Munteanu,フランチスク・ムンティアヌ
Marius Tincu,マリウス・ティンク
Nicu Ceaușescu,ニク・チャウシェスク
Daniel Ghiță,ダニエル・ギタ
Gavril Balint,ガヴリル・バリント
Ilie Dumitrescu,イリエ・ドゥミトレスク
Ion Mihai Pacepa,イオン・ミハイ・パチェパ
Nicușor Stanciu,ニコラエ・スタンチュ
Răzvan Lucescu,ラズヴァン・ルチェスク
Andrei Cristea,アンドレイ・クリステア
Andrei Filimon,アンドレイ・フィリモン
I. A. L. Diamond,I・A・L・ダイアモンド
Ioan Dumitrache,イオン・ドゥミトラチェ
Radu Korne,ラドゥ・コルーネ
Aurelian Chițu,アウレリアン・キツ
Nicolae Tătăranu,ニコラエ・タタラヌ
Toni Tecuceanu,トニ・テクチェアヌ
Andreea Răducan,アンドレーア・ラドゥカン
Claudiu Keșerü,クラウディウ・ケセル
Radu Lupu,ラドゥ・ルプ
Claudiu Niculescu,クラウディウ・ニクレスク
Mihai Lazăr,ミハイ・ラザール
Bogdan Stoica,ボグダン・ストイカ
Gabriel Popescu,ガブリエル・ポペスク
Cosmin Olăroiu,コスミン・オラロイ
Anamaria Vartolomei,アナマリア・ヴァルトロメイ
Octavian Abrudan,オクタヴィアン・アブルダン
Ovidiu Tonița,オヴィディウ・トニツァ
Lidia Lipkovskaia,リディア・リプコフスカヤ
Denis Alibec,デニス・アリベク
Andrei Ivanovici,アンドレイ・イヴァノヴィチ・(ピアニスト)
Eric de Oliveira Pereira,エリック・デ・オリベイラ・ペレイラ
Lucien Goldmann,リュシアン・ゴルドマン
Cornel Dinu,コルネル・ディヌ
Cosmin Matei,コスミン・マテイ
Ionel Perlea,イオネル・ペルレア
Cosmin Moți,コスミン・モツィ
Mircea Rednic,ミルチェア・レドニク
Cristian Oroș,クリスティアン・オロシュ
Nicolae Mitea,ニコラエ・ミテア
Marius Copil,マリウス・コピル
Constantin Budescu,コンスタンティン・ブデスク
Mihai Răduț,ミハイ・ラドゥツ
Vladimir Ghika,ウラジミール・ギカ
