반기문,潘基文
김연아,金妍兒
이영표,李榮杓
차두리,车杜里
정대세,鄭大世
Tiv,Tiv
이명박,李明博
이철하,李澈河
이정희 (1969년),李正姬
이민기,李民基
정용화,鄭容和
정명훈,鄭明勳
허영생,許永生
김영권,金英權
김진현 (1987년 7월 6일),金镇铉
장현수,張賢秀
문재인,文在寅
현아,金泫雅
최문식,崔文植
박영린,朴榮鄰
박원순,朴元淳
송상현 (1941년),宋相现
최성국 (축구 선수),崔成国·(足球运动员)
조병국,曹秉局
허각,許閣
장한나,张汉娜
오은선,吳銀善
손태진,孙泰珍
조수미,曹秀美
윤하,高潤荷
이정수 (쇼트트랙 선수),李政洙
유남규,刘南奎
손승모,孫升模
케이윌,K.Will
염기훈,廉基勳
나아름,罗雅凛
진이한,真理翰
노홍철,盧弘喆
이하이,李遐怡
조선진,赵善津
이병철,李秉喆
신격호,辛格浩
권현상,權賢尚
진선유,陈善有
김재중,金在中
한명숙,韩明淑
티파니 영,Tiffany·(少女時代)
이영애,李英愛
강예원,強藝元
배용준,裴勇浚
김태훈 (1975년생 배우),金太勳
류승완,柳承完
김민정 (쇼트트랙 선수),金玟廷·(短道速滑运动员)
서영희 (배우),徐令姬
하정은,河貞恩
이호 (1984년),李浩·(1984年)
아이유,IU·(歌手)
안효연,安孝炼
박동혁 (축구인),朴东赫
박원재,朴源載
안철수,安哲秀
싸이,PSY
오장은,吴章银
양요섭,梁耀燮
박성현 (양궁 선수),朴成贤
수영 (1990년),秀英·(少女時代)
박찬욱,朴贊郁
이운재,李云在
박태환,朴泰桓
제시카 (1989년),Jessica·(韓裔歌手)
김수환,金壽煥
써니 (1989년),Sunny·(少女時代)
노무현,盧武鉉
박정희,朴正熙
안정환,安貞桓
최규하,崔圭夏
홍명보,洪明甫
최진실,崔真實
이효리,李孝利
보아,寶兒
박승희 (쇼트트랙 선수),朴胜羲
길영아,吉永雅
유나 리,李承恩·(记者)
신은경 (배우),申恩慶
임동현 (양궁 선수),林东贤
태연,太妍
기성용,奇誠庸
현정화,玄静和
김아중,金亞中
장하준,张夏准
장근석,張根碩
최요삼,崔堯三
이청준,李清俊
하지원,河智苑
박경리,朴景利
김지하,金芝河
신준섭,申俊燮
김대중,金大中
정소민,庭沼玟
이승만,李承晚
김경아 (탁구 선수),金暻娥
정운찬,鄭雲燦
박민영,朴敏英
김종필,金鍾泌
허정무,許丁茂
구자철,具滋哲
유승민 (탁구 선수),柳承敏
이동국,李同国
정일권,丁一權
차범근,車範根
이해찬,李海瓚
비 (가수),Rain
이천수,李天秀
전두환,全斗煥
이형택,李亨泽
신숙자,申淑子
홍차옥,洪次玉
김무교,金戊校
박해정 (탁구 선수),朴海晶
정경은,鄭景銀
김영삼,金泳三
백남준,白南准
손흥민,孫興慜
