Россия,러시아
Новгородская область,노브고로드주
Новосибирск,노보시비르스크
Ярославская область,야로슬라블주
АвтоВАЗ,아브토바즈
Свердловская область,스베르들롭스크주
Йошкар-Ола,요시카르올라
Тверская область,트베리주
Москва,모스크바
Санкт-Петербург,상트페테르부르크
Белое море,백해
Смоленск,스몰렌스크
Смоленская область,스몰렌스크주
Нижний Новгород,니즈니노브고로드
Абакан,아바칸
Екатеринбург,예카테린부르크
Ярославль,야로슬라블
Берингово море,베링해
Самара,사마라 (러시아)
Кострома,코스트로마
Костромская область,코스트로마주
Уйгуры,위구르족
Моздок,모즈도크
Смидович (Еврейская автономная область),스미도비치
Нева,네바강
Чита,치타 (러시아)
Волга,볼가강
Нижегородская область,니즈니노브고로드주
Тверь,트베리
Иваново,이바노보
Чёрное море,흑해
Баренцево море,바렌츠해
Балтийское море,발트해
Пенза,펜자
Рязань,랴잔
Шивелуч,시벨루치산
Зеленоградск,젤레노그라츠크
Пензенская область,펜자주
Казань,카잔
Омск,옴스크
Чувашия,추바시 공화국
Челябинск,첼랴빈스크
Чебоксары,체복사리
Ростов-на-Дону,로스토프나도누
Каспийское море,카스피해
Татарстан,타타르스탄 공화국
Ивановская область,이바노보주
"Владимир (город, Россия)",블라디미르 (도시)
Кавказские горы,캅카스산맥
Рязанская область,랴잔주
Тульская область,툴라주
Брянск,브랸스크
Тула,툴라 (러시아)
Брянская область,브랸스크주
Уфа,우파 (도시)
Калининградский залив,비스툴라 석호
Преголя,프레골랴강
Анграпа,안그라파강
Владимирская область,블라디미르주
Зеленогорск (Санкт-Петербург),젤레노고르스크 (상트페테르부르크)
Ардон (город),아르돈
Казань (аэропорт),카잔 국제공항
Лена,레나강
Куршская коса,쿠로니아 사주
Куршский залив,쿠로니아 석호
Балтийская коса,비스툴라곶
Орск,오르스크
Мир (орбитальная станция),미르
Торопец,토로페츠
Толбачик,톨바치크
Московский метрополитен,모스크바 지하철
Байкал,바이칼호
Волгоград,볼고그라드
Пермь,페름
Калуга,칼루가
Калужская область,칼루가주
Орёл (город),오룔
Неман,네만강
Лава (приток Преголи),위나강
Писса,피사강
Ульяновск,울리야놉스크
Шешупе,셰슈페강
Виштынецкое,비슈티티스호
Русские,러시아인
Латыши,라트비아인
Красноярск,크라스노야르스크
Орловская область,오룔주
Курск,쿠르스크
Балтийск,발티스크
Ульяновская область,울리야놉스크주
Советск (Калининградская область),소베츠크 (칼리닌그라드주)
Черняховск,체르냐홉스크
Воронежская область,보로네시주
Гвардейск,그바르데이스크
Челябинская область,첼랴빈스크주
Башкортостан,바시키르 공화국
Неман (город),네만 (도시)
Владивосток,블라디보스토크
Мариинск,마린스크
Олонец,올로네츠
Туманная,두만강
Коми-пермяцкий язык,코미페르먀크어
Обь,오비강
Воронеж,보로네시
Камчатка,캄차카반도
Томск,톰스크
Выборы в Государственную думу (2011),2011년 러시아 의회선거
Курильское течение,오야시오 해류
Тыва,투바 공화국
Национальный исследовательский ядерный университет «МИФИ»,모스크바공학물리연구소 부속 국립원자력대학
Чжурчжэньский язык,여진어
Ойратский язык,오이라트어
Аэрофлот (российская авиакомпания),아에로플로트
Тюмень,튜멘
Светлый (Калининградская область),스베틀리
Гусев (город),구세프
Чукотский полуостров,축치반도
Дон,돈강
Курганская область,쿠르간주
Курская область,쿠르스크주
Белгород,벨고로드
Белгородская область,벨고로드주
Тольятти,톨리야티
Тольяттиазот,톨리야티아조
Липецкая область,리페츠크주
Липецк,리페츠크
Тюменская область,튜멘주
Омская область,옴스크주
Московская область,모스크바주
Самарская область,사마라주
Новосибирская область,노보시비르스크주
Финский язык,핀란드어
Федеральная служба безопасности,러시아 연방보안국
Краснодар,크라스노다르
Сибирские траппы,시베리아 트랩
Калининград,칼리닌그라드
Короча,코로차
Кызыл,크즐
Элиста,옐리스타
Кемерово,케메로보
Алтайские горы,알타이산맥
Зеленогорск (Красноярский край),젤레노고르스크 (크라스노야르스크 변경주)
Башня Меркурий,머큐리 시티 타워
Шебекино,셰베키노
Республика Алтай,알타이 공화국
Тамбов,탐보프
Калининградская область,칼리닌그라드주
Томская область,톰스크주
Тамбовская область,탐보프주
Ростовская область,로스토프주
Транссибирская магистраль,시베리아 횡단 철도
Алтайский край,알타이 변경주
Архангельск,아르한겔스크
Адыгея,아디게야 공화국
Майкоп,마이코프
Волгоградская область,볼고그라드주
Мурманская область,무르만스크주
Мурманск,무르만스크
Русская православная церковь,러시아 정교회
Население России,러시아의 인구
Золотое кольцо России,황금고리
Лапландия,사프미
Нивхи,니브흐인
Горно-Алтайск,고르노알타이스크
Краснодарский край,크라스노다르 변경주
Барнаул,바르나울
Архангельская область,아르한겔스크주
Кемеровская область,케메로보주
Ханты-Мансийский автономный округ — Югра,한티만시 자치구
Ханты-Мансийск,한티만시스크
Астрахань,아스트라한
Петрозаводск,페트로자보츠크
Карелия,카렐리야 공화국
Вологда,볼로그다
Астраханская область,아스트라한주
Вычегда,비체그다강
Салехард,살레하르트
Калмыкия,칼미크 공화국
Ямало-Ненецкий автономный округ,야말로네네츠 자치구
Вологодская область,볼로그다주
Приморский край,프리모르스키 변경주
Череповец,체레포베츠
Хоккей с шайбой на зимних Олимпийских играх 2014,2014년 동계 올림픽 아이스하키
Хабаровск,하바롭스크
Ненецкий автономный округ,네네츠 자치구
Селенга,셀렝가강
Дзержинск (Нижегородская область),제르진스크
Иркутская область,이르쿠츠크주
Дмитриев (город),드미트리예프-리고프스키
Беловежские соглашения,벨라베자 조약
Внешняя политика России,러시아의 대외 관계
Нарьян-Мар,나리얀마르
Теракт на Дубровке,모스크바 극장 인질극
Республика Коми,코미 공화국
Надым,나딤 (도시)
Ленинградская область,레닌그라드주
Абхазский язык,압하스어
Яна (река),야나강
Тотьма,토트마
Сыктывкар,식팁카르
Колыма,콜리마강
Государственный музей изобразительных искусств имени А. С. Пушкина,푸시킨 미술관
Хакасия,하카스 공화국
Красноярский край,크라스노야르스크 변경주
Иркутск,이르쿠츠크
Железногорск (Курская область),젤레즈노고르스크 (쿠르스크주)
Дагестан,다게스탄 공화국
Якутия,사하 공화국
Евразийская степь,유라시아 스텝
Енисей,예니세이강
1С,1C 컴퍼니
Чечня,체첸 공화국
Великий Новгород,벨리키노브고로드
Улан-Удэ,울란우데
Забайкальский край,자바이칼 변경주
Урал (река),우랄강
Курильские острова,쿠릴 열도
Триумф-Палас,트라이엄프 팰리스
Псков,프스코프
Бурятия,부랴트 공화국
Якутск,야쿠츠크
Кама,카마강
Псковская область,프스코프주
Сызрань,시즈란
Махачкала,마하치칼라
Ставрополь,스타브로폴
Грозный,그로즈니
Амур,아무르강
Амурская область,아무르주
Единая Россия,통합 러시아
Андреев день,성 안드레아 축일
Лакинск,라킨스크
Благовещенск,블라고베셴스크 (아무르주)
Новая Земля,노바야제믈랴 제도
Ставропольский край,스타브로폴 변경주
Магас,마가스
Северная Осетия,북오세티야 공화국
Ингушетия,인구시 공화국
Владикавказ,블라디캅카스
Анабар,아나바르강
Маньчжурия,만주
Кировск (Мурманская область),키롭스크 (무르만스크주)
Кирово-Чепецк,키로보체페츠크
Кировград,키로브그라드
Киренск,키렌스크
Киржач,키르자치
Киров (Калужская область),키로프 (칼루가주)
Киреевск,키레옙스크
Кинешма,키네시마
Убсу-Нур,우브스호
Севастополь,세바스토폴
UTC%2B7:00,UTC%2B07:00
Таз (река),타스강
Дальнегорск,달네고르스크
Фигурное катание на зимних Олимпийских играх 2014,2014년 동계 올림픽 피겨스케이팅
UTC%2B10:00,UTC%2B10:00
Гатчина,가치나
Нальчик,날치크
Pussy Riot,푸시 라이엇
Индигирка,인디기르카강
Алазея,알라제야강
Кабардино-Балкария,카바르디노발카르 공화국
Кисловодск,키슬로보츠크
Климовск,클리몹스크
Клин (город),클린 (모스크바주)
Клинцы,클린치
Хабаровский край,하바롭스크 변경주
Мордовия,모르도바 공화국
Яндекс,얀덱스
Черкесск,체르케스크
Кингисеппский район,킨기셉스키군
Кубань (река),쿠반강
Еврейская автономная область,유대인 자치주
Чёрная речка (станция метро),초르나야 레치카역
Терек,테레크강
Саратов,사라토프
Карачаево-Черкесия,카라차예보체르케스카야 공화국
Федерация (комплекс небоскрёбов),페더레이션 타워
Кольчугино,콜추기노
Колпино,콜피노
Сахалин,사할린섬
Новокузнецк,노보쿠즈네츠크
Волчанск (Россия),볼찬스크
Братья Стругацкие,스트루가츠키 형제
Козельск,코젤스크
Когалым,코갈림
Саратовская область,사라토프주
Оренбург,오렌부르크
Биробиджан,비로비잔
Оренбургская область,오렌부르크주
Русский язык,러시아어
Российско-французские отношения,러시아-프랑스 관계
Российская академия наук,러시아 과학 아카데미
Турки,튀르키예인
Академгородок (Новосибирск),아카뎀고로도크
Козьмодемьянск,코지모데미얀스크
Кола (город),콜라 (도시)
Кологрив,콜로그리프
Саранск,사란스크
Киров,키로프 (키로프주)
Удмуртия,우드무르트 공화국
Судак (город),수다크
Кировская область,키로프주
Набережные Челны,나베레즈니예첼니
Сахалинская область,사할린주
Южно-Сахалинск,유즈노사할린스크
Пушкин (город),푸시킨 (상트페테르부르크)
Сибирь,시베리아
Кириши,키리시
Крым,크림반도
Пермский край,페름 변경주
Болгарский язык,불가리아어
Комсомольск (Ивановская область),콤소몰스크 (이바노보주)
Комсомольск-на-Амуре,콤소몰스크나아무레
Линия Маннергейма,만네르헤임선
Конаково,코나코보
Оборона Севастополя и битва за Крым,세바스토폴 포위전 (1941년~1942년)
Ижевск,이젭스크
Кондопога,콘도포가
Вязьма,뱌지마
Сихотэ-Алинь,시호테알린산맥
Корсаков (город),코르사코프 (사할린주)
Королёв (город),코롤료프 (모스크바주)
Костерёво,코스테료보
Костомукша,코스토묵샤
Коряжма,코랴즈마
Марий Эл,마리옐 공화국
Калач-на-Дону,칼라치나도누
Ковров,코브로프
Великие Луки,벨리키예루키
Кораблино,코라블리노
Айны,아이누
Волоколамск,볼로콜람스크
Дмитров,드미트로프
Елец,옐레츠
Ельня,옐냐
Котельнич,코텔니치
Котлас,코틀라스
Чукотский автономный округ,축치 자치구
Агрыз,아그리스
Магаданская область,마가단주
Магнитогорск,마그니토고르스크
Камчатский край,캄차카 변경주
Нижний Тагил,니즈니타길
Кондрово,콘드로보
Петропавловск-Камчатский,페트로파블롭스크캄차츠키
Копейск,코페이스크
Волжский,볼시스키
Среднесибирское плоскогорье,중앙시베리아고원
Магадан,마가단
Адыгейск,아디게이스크
Красноармейск (Саратовская область),크라스노아르메이스크 (사라토프주)
Красноармейск (Московская область),크라스노아르메이스크 (모스크바주)
Красногорск,크라스노고르스크 (모스크바주)
Алейск,알레이스크
Белокуриха,벨로쿠리하
Московский международный кинофестиваль 1965,제4회 모스크바 국제 영화제
Боспорское царство,보스포로스 왕국
МГИМО,국립 모스크바 국제 관계 대학교
Азнакаево,아즈나카예보
Азов,아조프
Алатырь,알라티리
Алагир,알라기르
Аксай (Ростовская область),악사이
Ак-Довурак,악도부락
Красный Сулин,크라스니술린
Красный Холм,크라스니홀름
"Торпедо (футбольный клуб, Москва)",FC 토르페도 모스크바
Приозерск,프리오제르스크
Анадырь,아나디리
Абдулино,아브둘리노
Бийск,비스크 (러시아)
Газпром,가스프롬
Красное Село,크라스노예셀로
Агидель,아기델
Краснознаменск (Московская область),크라스노즈나멘스크 (모스크바주)
Краснознаменск (Калининградская область),크라스노즈나멘스크 (칼리닌그라드주)
Дружба (нефтепровод),드루즈바 파이프라인
Национал-большевистская партия,국민볼셰비키당
Российский футбольный союз,러시아 축구 연합
Сланцевский район,슬란쳅스키군
Грузинский язык,조지아어
Море Лаптевых,랍테프해
Александровск (Пермский край),알렉산드롭스크 (페름 변경주)
Александровск-Сахалинский,알렉산드롭스크사할린스키
Алдан (город),알단
Александров (город),알렉산드로프 (도시)
Кронштадт,크론시타트
Кстово,크스토보
Кувшиново,쿱시노보
Кубок России по футболу,러시아 컵
Европейский маршрут E40,유럽 고속도로 40호선
Печора,페초라강
Северная Двина,세베르나야드비나강
Алексин,알렉신
Амурск,아무르스크
Ангарск,안가르스크
Кудымкар,쿠딤카르
Альметьевск,알메티옙스크
Алзамай,알자마이
Куйбышев (Новосибирская область),쿠이비셰프 (노보시비르스크주)
Лукойл,루크오일
Томь (футбольный клуб),FC 톰 톰스크
Калининградский полуостров,삼비아반도
Западная Двина,다우가바강
Анжеро-Судженск,안제로수젠스크
Анива (город),아니바
Первый канал (Россия),페르비 카날
Андреаполь,안드레아폴
Курильск,쿠릴스크
Курлово,쿠를로보
Нижегородский метрополитен,니즈니노브고로드 지하철
Керекский язык,케레크어
Апатиты,아파티티
Кунгур,쿤구르
Идиш,이디시어
Армянский язык,아르메니아어
Украинский язык,우크라이나어
Куртамыш,쿠르타미시
Арамиль,아라밀
Апрелевка,아프렐렙카
Аргун (город),아르군
Белорусский язык,벨라루스어
Кушва,쿠시바
Кыштым,키시팀
Находка,나홋카
"Нефтехимик (футбольный клуб, Нижнекамск)",FC 네프테크히미크 니즈네캄스크
Звёздный городок,즈뵤즈드니고로도크
Шантарские острова,샨타르스키예 제도
Южно-Сахалинская апостольская префектура,유즈노사할린스크 지목구
Серпуховская (станция метро),세르푸홉스카야역
ОКБ имени Яковлева,야코블레프
Лаишево,라이셰보
Арзамас,아르자마스
Ардатов (Мордовия),아르다토프 (모르도바 공화국)
Аркадак,아르카닥
Арсеньев (город),아르세니예프
Кяхта,캬흐타
Артём (город),아르툠
Арск,아르스크
Артёмовск (Россия),아르툐몹스크
Артёмовский,아르툐몹스키
Асбест (город),아스베스트
Асино,아시노
Керчь,케르치
Аткарск,앗카르스크
"Луч (футбольный клуб, Владивосток)",FC 루치 블라디보스토크
Персидский язык,페르시아어
Греческий язык,그리스어
Лесозаводск,레소자보츠크
Главное адмиралтейство,러시아 구해군성
Антропово (Антроповский район),안트로포보
Административно-территориальное деление Ханты-Мансийского автономного округа — Югры,한티만시 자치구의 행정 구역
Ачинск,아친스크
Лебедянь,레베댠
Лениногорск,레니노고르스크 (러시아)
Байкальск,바이칼스크
Казахский язык,카자흐어
Бакал,바칼
Баксан (город),박산
Балабаново,발라바노보
Лесной (город),레스노이
Корейский язык,한국어
Балашиха,발라시하
Ливны,리브니
Бабаево,바바예보
Бабушкин (Бурятия),바부시킨 (부랴트 공화국)
Узбекский язык,우즈베크어
Липки (город),립키
Багратионовск,바그라티오놉스크
Бавлы,바블리
Ленск,렌스크
Лихославль,리호슬라블
Ирафский район,이랍스키군
Орочи,오로치인
Долганы,돌간인
Кильдин,킬딘섬
Любим,류빔
Азербайджанский язык,아제르바이잔어
Балаково,발라코보
Балахна,발라흐나
Луховицы,루호비치
Ломоносов (город),로모노소프 (도시)
Балашов (город),발라쇼프
Балей,발레이
Хабаровск-Новый,하바롭스크 공항
Зимние Олимпийские игры 2014,2014년 동계 올림픽
Евровидение-2009,유로비전 송 콘테스트 2009
Барабинск,바라빈스크
Барыш (город),바리시
Белая Калитва,벨라야칼리트바
Белая Холуница,벨라야홀루니차
Бежецк,베제츠크
Батайск,바타이스크
Белёв,벨료프
Лача,라차호
Демянск,데먄스크
Берингов пролив,베링 해협
Белозерск,벨로제르스크
Белогорск (Амурская область),벨로고르스크 (아무르주)
Белово,벨로보
Байкало-Амурская магистраль,바이칼-아무르 철도
Чемпионат России по футболу 2012/2013,러시아 프리미어리그 2012-13
Ассирийцы,아시리아인
Сокол (станция метро),소콜역
Белорецк,벨로레츠크
Беломорск,벨로모르스크
Казанка (приток Волги),카잔카강
Людиново,류디노보
Макаров (город),마카로프
Макарьев,마카례프
Малгобек,말고베크
Малая Вишера,말라야비셰라
Сибинский диалект,시버어
Удэгейский язык,우데게어
Ульчский язык,울치어
Удмуртский язык,우드무르트어
Колтта-саамский язык,스콜트 사미어
Нанайский язык,나나이어
Беслан,베슬란
Мариинский Посад,마린스키포사트
Мглин,므글린
Малоархангельск (Орловская область),말로아르한겔스크
Малоярославец,말로야로슬라베츠
Березники,베레즈니키
Берёзовский (Кемеровская область),베료조프스키
Курган (город),쿠르간 (도시)
Мокшанский язык,목샤어
Башкирский язык,바시키르어
Проституция в России,러시아의 성매매
Русская кухня,러시아 요리
Бикин (город),비킨
Билибино,빌리비노
Московский государственный университет,모스크바 국립 대학교
Бирск,비르스크
Мантурово,만투로보
Мамоново,마모노보
Бердск,베르츠크
Белый (город),벨리 (트베리주)
Мегион,메기온
Бирюсинск,비류신스크
Медвежьегорск,메드베지예고르스크
Бирюса (река),비류사강
Фосагро,포스아그로
Катастрофа Boeing 737 в Перми,아에로플로트 821편 추락 사고
Мамадыш,마마디시
Невский проспект,넵스키 대로
Калинка,칼린카
Северо-Западный федеральный округ,북서 연방관구
Интерфакс,인테르팍스
Аэрофлот-Карго,아에로플로트 카고
Катастрофа A310 под Междуреченском,아에로플로트 593편 추락 사고
Луга (река),루가강
Выборг,비보르크
Благодарный,블라고다르니
Благовещенск (Башкортостан),블라고베셴스크 (바시키르 공화국)
Боготол,보고톨
Богородицк,보고로디츠크
Богданович (город),보그다노비치 (도시)
"Институт филологии, иностранных языков и медиакоммуникации",이르쿠츠크 국립 언어 대학교
Ленфильм,렌필름
Медынь,메딘
Межгорье (город),메즈고리예
Междуреченск,메즈두레첸스크
Мезень (город),메젠
Финский залив,핀란드만
Бодайбо (город),보다이보
Болгар,볼가르
Бологое,볼로고예
