Gerónimo,제로니모
André-Pierre Gignac,앙드레피에르 지냐크
Stephen Austin,스티븐 오스틴
Porfirio Díaz,포르피리오 디아스
Frida Kahlo,프리다 칼로
Alfonso Cuarón,알폰소 쿠아론
León Trotski,레프 트로츠키
Lucero (cantante),루세로
Gustavo Díaz Ordaz,구스타보 디아스 오르다스
Inés Efron,이네스 에프론
Carlos Salinas de Gortari,카를로스 살리나스 데 고르타리
Lorena Ochoa,로레나 오초아
Thalía,탈리아 (가수)
Diego Rivera,디에고 리베라
Lupe Vélez,루페 벨레스
José López Portillo,호세 로페스 포르티요
Manuel Ávila Camacho,마누엘 아빌라 카마초
Nicolás Bravo,니콜라스 브라보
Pedro Lascuráin,페드로 라스쿠라인
Miguel Alemán Valdés,미겔 알레만 발데스
Vicente Guerrero,비센테 게레로
José Saturnino Cardozo,호세 카르도소
Louis C.K.,루이 C.K.
Jonathan dos Santos,호나탄 도스 산토스
Lucas Barrios,루카스 바리오스
Carlos Fuentes,카를로스 푸엔테스
Andrés Guardado,안드레스 과르다도
Mario Molina (químico),마리오 J. 몰리나
Anahí (cantante),아나이
Pablo Barrera,파블로 바레라
Omar Bravo,오마르 브라보
Guadalupe Victoria,과달루페 빅토리아
Kate del Castillo,케이트 델카스티요
Gerardo Torrado,헤라르도 토라도
Javier Hernández Balcázar,하비에르 에르난데스 발카사르
Héctor Moreno,엑토르 모레노
Venustiano Carranza,베누스티아노 카란사
Lila Downs,릴라 다운스
Ana de la Reguera,아나 데라레게라
Zuria Vega,수리아 베가
María del Rosario Espinoza,마리아 에스피노사
Katy Jurado,카티 후라도
Kuno Becker,쿠노 베커
Francisco Carvajal,프란시스코 S. 카르바할
José Joaquín de Herrera,호세 호아킨 데 에레라
Pedro Armendáriz,페드로 아르멘다리스
Manuel M. Ponce,마누엘 퐁세
Jared Borgetti,하레드 보르헤티
Carlos Slim,카를로스 슬림
Plutarco Elías Calles,플루타르코 엘리아스 카예스
Jorge Campos (futbolista),호르헤 캄포스
Ramón Vargas,라몬 바르가스
Francisco León de la Barra,프란시스코 레온 데 라 바라
Guillermo Franco (futbolista),기예르모 프랑코
Daniel Bautista,다니엘 바우티스타
Edith González,에디트 곤살레스
Diego Luna,디에고 루나
Antonio Carbajal,안토니오 카르바할
Pablo Escandón y Barrón,파블로 데 에스칸돈 이 바론
Sara Ramírez,사라 라미레스
Emiliano Zapata,에밀리아노 사파타
Emilio Portes Gil,에밀리오 포르테스 힐
Paul Aguilar,파울 아길라르
Efraín Juárez,에프라인 후아레스
Egidio Arévalo Ríos,에히디오 아레발로
Sebastián Lerdo de Tejada,세바스티안 레르도 데 테하다
Agustín Lara,아구스틴 라라
Gloria Trevi,글로리아 트레비
Ricardo Osorio,리카르도 오소리오
David Alfaro Siqueiros,다비드 시케이로스
Gael García Bernal,가엘 가르시아 베르날
Jessica Alba,제시카 알바
Dolores Heredia,돌로레스 에레디아
Ximena Navarrete,히메나 나바레테
Octavio Paz,옥타비오 파스
Benito Juárez,베니토 후아레스
Bora Milutinović,보라 밀루티노비치
Místico (luchador),미스티코
Alessandra Rosaldo,알레산드라 로살도
Cara Buono,카라 부오노
Giselle Itié,지젤 이티에
Luis Echeverría Álvarez,루이스 에체베리아
Pável Pardo,파벨 파르도
Carlos Vela,카를로스 벨라
Luis Buñuel,루이스 부뉴엘
Rafael Márquez,라파엘 마르케스
Vicente Fox,비센테 폭스
Antonio López de Santa Anna,안토니오 로페스 데 산타 안나
Marga López,마르가 로페스
Adolfo Ruiz Cortines,아돌포 루이스 코르티네스
Alberto Del Río,알베르토 델 리오
Olga Costa,올가 코스타
Óscar Salazar Blanco,오스카르 살라사르 (태권도 선수)
Andrés Manuel López Obrador,안드레스 마누엘 로페스 오브라도르
Óscar de la Hoya,오스카 드 라 호야
Sergio Pérez,세르히오 페레즈
Juan Rulfo,후안 룰포
Sinha,안토니오 나엘손
Ernesto Zedillo,에르네스토 세디요
Alfonso García Robles,알폰소 가르시아 로블레스
Paulina Rubio,파울리나 루비오
Vikki Carr,비키 카
Victoriano Huerta,빅토리아노 우에르타
Israel Castro,이스라엘 카스트로
Mariano Arista,마리아노 아리스타
Luis Hernández (futbolista),루이스 에르난데스 (1968년생 축구인)
Miguel de Icaza,미겔 데 이카사
Alejandro González Iñárritu,알레한드로 곤살레스 이냐리투
Pancho Villa,판초 비야
Javier Aguirre,하비에르 아기레
Felipe Calderón,펠리페 칼데론
Cantinflas,칸틴플라스
Javier Solís,하비에르 솔리스
Miguel de la Madrid,미겔 데 라 마드리드
Lázaro Cárdenas,라사로 카르데나스
Adolfo López Mateos,아돌포 로페스 마테오스
Guido Pizarro,기도 피사로
Olivia Harrison,올리비아 해리슨
Carlton Cuse,칼턴 큐스
Maribel Domínguez,마리벨 도밍게스
Ricardo Montalbán,리카르도 몬탈반
Mariano Paredes y Arrillaga,마리아노 파레데스
Mónica Ocampo,모니카 오캄포
Enrique Peña Nieto,엔리케 페냐 니에토
Silvia Pinal,실비아 피날
José Clemente Orozco,호세 클레멘테 오로스코
Anthony Quinn,앤서니 퀸
