Stefano Cerioni,斯特凡诺·切廖尼
Ettore Scola,伊托斯高拉
Maurizio Lanzaro,毛里齐奥·兰扎罗
Ilan Araújo Dall'Igna,伊兰·阿罗约
Federica Brignone,費代麗卡·布里尼奧內
Lionel Messi,利昂内尔·梅西
Massimo Troisi,馬西莫·特羅西
Gennaro Gattuso,詹纳罗·加图索
Valentina Cervi,瓦伦蒂娜·切尔维
Emiliano Sala,埃米利亞諾·薩拉
Carlo Azeglio Ciampi,卡洛·阿泽利奥·钱皮
Lina Wertmüller,麗娜·沃特穆勒
Francesco Maselli,法蘭切斯柯·馬賽里
Luigi Magni,路易吉·马尼
Renato Dirnei Florêncio,雷纳托·迪尔内·弗洛伦西奥
Giuseppe Tornatore,朱賽貝·托納多雷
Elio Petri,艾利歐·派特立
Ugo Pirro,烏戈·皮爾羅
Paola Ruffo di Calabria,保拉
Pupi Avati,普皮·阿瓦蒂
Sandro Lopopolo,桑德羅·洛波波洛
Emilio P. Miraglia,埃米利奥·米拉利亚
Emanuele Crialese,艾曼纽尔·克里亚勒斯
Anne Riitta Ciccone,安妮·丽塔·西科尼
Giorgio Napolitano,乔治·纳波利塔诺
Monica Bellucci,莫妮卡·贝鲁奇
Giorgio Chiellini,乔吉奥·基耶利尼
Enrico De Nicola,恩里科·德尼科拉
Alessandro Del Piero,亚历山德罗·德尔·皮耶罗
Francesco Rosi,法蘭西斯科‧羅西
Steno,斯坦諾
Umberto Smaila,翁贝托·斯马拉
Augusto De Luca,奥古斯都·德卢卡
Oscar Luigi Scalfaro,奥斯卡·路易吉·斯卡尔法罗
Federico Marchetti,费德里科·马凯蒂
Franco Zeffirelli,法蘭高·齊費里尼
Valerio Zurlini,瓦萊里奧·蘇里尼
Giovanni Pastrone,乔瓦尼·帕斯特洛纳
Carlo Verdone,卡洛·维尔多内
Alessandro Matri,亞歷山德羅·馬特里
Michelle Hunziker,米切尔·亨泽尔
Giovanni Leone,乔瓦尼·利昂纳
Mietta,米埃塔
Antonio Candreva,安東尼奧·坎德雷瓦
