梅澤貴史,우메자와 타카시
長澤徹,나가사와 테쓰
八十祐治,야소 유지
室伏広治,무로후시 고지
岸本斉史,기시모토 마사시
栗原類,쿠리하라 루이
イチロー,스즈키 이치로
内村賢介,우치무라 겐스케
吾妻兼治郎,아즈마 겐지로
岡田英次,오카다 에이지
鋤柄昌宏,스키가라 마사히로
吉田暢,요시다 토루
川瀬晶子,카와세 아키코
沢城みゆき,사와시로 미유키
釘宮理恵,쿠기미야 리에
花澤香菜,하나자와 카나
折笠富美子,오리카사 후미코
丹下健三,단게 겐조
恒久王妃昌子内親王,쓰네히사 왕비 마사코 내친왕
山部赤人,야마베노 아카히토
阿南徹,아난 도루
大島洋平,오시마 요헤이
堂上直倫,도노우에 나오미치
田中耕一,다나카 고이치
まつもとゆきひろ,마츠모토 유키히로
根岸英一,네기시 에이이치
福田康夫,후쿠다 야스오
白川英樹,시라카와 히데키
猿橋勝子,사루하시 가쓰코
上川あや,가미카와 아야
香川真司,카가와 신지
井口祐一,이구치 유이치
佐藤順一,사토 준이치
早川沙世,하야카와 사요
横山由依,요코야마 유이
松浦亜弥,마쓰우라 아야
指原莉乃,사시하라 리노
鈴木章,스즈키 아키라
矢野顕子,야노 아키코
朝永振一郎,도모나가 신이치로
美空ひばり,미소라 히바리
本多猪四郎,혼다 이시로
尾田栄一郎,오다 에이이치로
日髙のり子,히다카 노리코
久川綾,히사카와 아야
水橋かおり,미즈하시 카오리
真田裕貴,사나다 히로키
みつみ美里,미쓰미 미사토
柚木かなめ,유즈키 카나메
北出菜奈,기타데 나나
若木民喜,와카키 타미키
上皇后美智子,상황후 미치코
浅沼稲次郎,아사누마 이네지로
西方仁也,니시카타 진야
本領信治郎,혼료 신지로
佐藤直人,사토 나오토
山本五十六,야마모토 이소로쿠
日高里菜,히다카 리나
黒澤明,구로사와 아키라
松尾芭蕉,마쓰오 바쇼
矢神久美,야가미 쿠미
菅直人,간 나오토
嘉田由紀子,가다 유키코
頼山陽,라이 산요
鹿野道彦,카노 미치히코
吉野正芳,요시노 마사요시
柳宗理,야나기 소리
植芝盛平,우에시바 모리헤이
三池崇史,미이케 다카시
河野洋平,고노 요헤이
つぐみ,츠구미
都はるみ,미야코 하루미
ブリキ,브리키
結下みちる,유이모토 미치루
大正天皇,다이쇼 천황
利根川進,도네가와 스스무
原嘉道,하라 요시미치
南部信順,난부 노부유키
左幸子,히다리 사치코
野澤洋輔,노자와 요스케
田中義一,다나카 기이치
野依良治,노요리 료지
宮本茂,미야모토 시게루
桐生祥秀,기류 요시히데
葛飾北斎,가쓰시카 호쿠사이
松原武久,마쓰바라 다케히사
広中平祐,히로나카 헤이스케
小柴昌俊,고시바 마사토시
湯川秀樹,유카와 히데키
伊達吉村,다테 요시무라
三根和起,미네 가즈키
伊達忠宗,다테 다다무네
野村吉三郎,노무라 기치사부로
能登麻美子,노토 마미코
佐久間レイ,사쿠마 레이
川澄綾子,카와스미 아야코
階猛,시나 다케시
雪舟,셋슈
伊野田繁,이노다 시게루
阿澄佳奈,아스미 카나
三木武吉,미키 부키치
内山高志,다카시 우치야마
JUJU,주주
冬馬由美,토우마 유미
雪野五月,유키노 사츠키
