"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Быковский, Валерий Фёдорович",瓦列里·贝科夫斯基
"Достоевский, Фёдор Михайлович",费奥多尔·陀思妥耶夫斯基
"Лашманова, Елена Анатольевна",叶连娜·拉什马诺娃
"Перельман, Григорий Яковлевич",格里戈里·佩雷尔曼
"Ельцин, Борис Николаевич",鲍里斯·叶利钦
"Каниськина, Ольга Николаевна",奥莉加·卡尼斯金娜
"Кириленко, Мария Юрьевна",玛丽亚·基里连科
"Касперский, Евгений Валентинович",尤金·卡巴斯基
"Фридман, Даниэль Григорьевич",丹尼尔·弗里德曼
"Леонтьев, Валерий Яковлевич",瓦列里·列昂季耶夫
"Ан, Виктор",維克多·安
"Попович, Павел Романович",帕维尔·波波维奇
"Курёхин, Сергей Анатольевич",谢尔盖·库廖欣
"Терешкова, Валентина Владимировна",瓦莲京娜·捷列什科娃
"Исинбаева, Елена Гаджиевна",叶莲娜·伊辛巴耶娃
"Набиуллина, Эльвира Сахипзадовна",埃尔薇拉·纳比乌林娜
Кирилл (патриарх Московский),基里尔·(莫斯科牧首)
"Андреева, Нина Александровна",尼娜·安德烈耶娃
"Никольский, Сергей Михайлович",谢尔盖·尼科尔斯基
"Гамзатов, Расул Гамзатович",拉苏尔·伽姆扎托夫
"Кокорин, Александр Александрович",亞歷山大·科科林
"Пугачёва, Алла Борисовна",阿拉·普加乔娃
"Гергиев, Валерий Абисалович",瓦列里·捷杰耶夫
"Юшенков, Сергей Николаевич",谢尔盖·尤申科夫
"Губайдулина, София Асгатовна",索菲娅·古拜杜林娜
"Петров, Виталий Александрович",维塔利·佩特罗夫
"Гайдар, Егор Тимурович",叶戈尔·盖达尔
"Апаликов, Николай Сергеевич",尼古拉·阿帕里科夫
"Щедрин, Родион Константинович",罗季翁·谢德林
"Прохоров, Александр Михайлович",亚历山大·普罗霍罗夫
"Кисин, Евгений Игоревич",艾夫根尼·紀新
"Крамник, Владимир Борисович",弗拉基米尔·鲍里索维奇·克拉姆尼克
"Скворцов, Николай Валерьевич",尼古拉·瓦列里耶维奇·斯克沃尔佐夫
"Алиева, Фазу Гамзатовна",法祖·阿里耶娃
"Гунина, Валентина Евгеньевна",瓦莲京娜·古尼娜
"Раппопорт, Ксения Александровна",克谢尼娅·拉波波尔特
"Калашников, Михаил Тимофеевич",米哈伊尔·卡拉什尼科夫
"Шарапова, Мария Юрьевна",玛丽亚·莎拉波娃
"Белоглазов, Сергей Алексеевич",谢尔盖·别洛格拉佐夫
"Звягинцев, Андрей Петрович",安德烈·萨金塞夫
"Рихтер, Святослав Теофилович",斯维亚托斯拉夫·里希特
"Билан, Дима Николаевич",季马·比兰
Борис Акунин,鮑里斯·阿庫寧
"Нолан, Деанна",迪安娜·诺兰
"Беляев, Спартак Тимофеевич",斯巴达克·别利亚耶夫
МакSим,马克欣
"Сигал, Стивен",史蒂芬·席格
"Басов, Николай Геннадиевич",尼古拉·巴索夫
"Чикатило, Андрей Романович",安德烈·齐卡提洛
"Петрова, Надежда Викторовна",娜迪亚·佩特罗娃
"Смирнов, Алексей Григорьевич (спортсмен)",阿里克谢·斯米尔诺夫
"Карпов, Анатолий Евгеньевич",阿納托利·卡爾波夫
"Морозов, Владимир Викторович",弗拉基米爾·維克托羅維奇·莫羅佐夫
"Политковская, Анна Степановна",安娜·波利特科夫斯卡娅
"Осипов, Юрий Сергеевич (математик)",尤里·奥西波夫
"Литвиненко, Александр Вальтерович",亞歷山大·利特維年科
"Курникова, Анна Сергеевна",安娜·庫妮可娃
"Солженицын, Александр Исаевич",亚历山大·索尔仁尼琴
"Герасимов, Валерий Васильевич",瓦列里·格拉西莫夫
"Путин, Владимир Владимирович",弗拉基米尔·普京
"Нетребко, Анна Юрьевна",安娜·涅特列布科
"Павлюченко, Роман Анатольевич",罗曼·帕夫柳琴科
"Бабурова, Анастасия Эдуардовна",安娜斯塔西亚·埃杜多芙娜·巴布洛娃
"Язов, Дмитрий Тимофеевич",德米特里·亚佐夫
"Куликов, Виктор Георгиевич",维克托·库利科夫
"Гинзбург, Виталий Лазаревич",维塔利·拉扎列维奇·金兹堡
"Огарков, Николай Васильевич",尼古拉·奥加尔科夫
"Халифман, Александр Валерьевич",亚历山大·哈利夫曼
"Новосёлов, Константин Сергеевич",康斯坦丁·诺沃肖洛夫
"Гусева, Клара Ивановна",克拉拉·古谢娃
"Понедельник, Виктор Владимирович",维克多·庞德尼克
"Спасский, Борис Васильевич",鲍里斯·斯帕斯基
"Соколов, Сергей Леонидович",谢尔盖·索科洛夫
"Аршавин, Андрей Сергеевич",安德烈·阿爾沙文
"Пухов, Станислав Евгеньевич",斯坦尼斯拉夫·普霍夫
"Борчин, Валерий Викторович",瓦列里·博尔钦
"Дементьева, Елена Вячеславовна",耶莲娜·德门蒂耶娃
"Петров, Василий Иванович (маршал)",瓦西里·彼得罗夫
"Пажитнов, Алексей Леонидович",阿列克谢·帕基特诺夫
"Ландис, Евгений Михайлович",葉夫根尼·蘭迪斯
"Смыслов, Василий Васильевич",瓦西里·斯梅斯洛夫
"Мильнер, Юрий Борисович",尤里·米爾納
"Гумилёв, Лев Николаевич",列夫·古米廖夫
"Сафин, Марат Мубинович",马拉特·萨芬
"Успенский, Эдуард Николаевич",艾杜瓦德·烏斯賓斯基
"Ковалёв, Николай Анатольевич",尼古拉·阿纳托利耶维奇·科瓦廖夫
"Капица, Сергей Петрович",谢尔盖·卡皮察
"Депардьё, Жерар",傑哈·德巴狄厄
"Дударова, Вероника Борисовна",维罗尼卡·杜达洛娃
Согдиана (певица),索格狄安娜
"Абрамович, Роман Аркадьевич",罗曼·阿布拉莫维奇
"Зубков, Виктор Алексеевич",维克托·祖布科夫
"Дуров, Павел Валерьевич",帕維爾·杜洛夫
"Ботвинник, Михаил Моисеевич",米哈伊尔·莫伊谢耶维奇·博特温尼克
"Латынина, Лариса Семёновна",拉里莎·拉特尼娜
Zedd,捷德
"Дзагоев, Алан Елизбарович",阿倫·迪沙哥夫
"Жуков, Александр Дмитриевич",亚历山大·德米特里耶维奇·茹科夫
"Янаев, Геннадий Иванович",根纳季·亚纳耶夫
"Сокуров, Александр Николаевич",亚历山大·索库罗夫
"Фрадков, Михаил Ефимович",米哈伊尔·弗拉德科夫
"Лавров, Сергей Викторович",谢尔盖·拉夫罗夫
"Ростропович, Мстислав Леопольдович",姆斯季斯拉夫·罗斯特罗波维奇
Алексий II,阿列克謝二世
"Матвиенко, Валентина Ивановна",瓦莲京娜·马特维延科
"Михалков, Никита Сергеевич",尼基塔·米亥科夫
"Кончаловский, Андрей Сергеевич",安德烈·康查洛夫斯基
"Петрушевская, Людмила Стефановна",柳德米拉·彼得魯舍夫斯卡婭
"Алфёров, Жорес Иванович",若列斯·阿尔费罗夫
"Титов, Герман Степанович",戈尔曼·季托夫
"Карелин, Александр Александрович",亚历山大·卡列林
"Лукьяненко, Сергей Васильевич",謝爾蓋·盧基揚年科
"Шевчук, Юрий Юлианович",尤里·舍夫丘克
"Коллонтай, Александра Михайловна",亚历山德拉·柯伦泰
"Петров, Станислав Евграфович",斯坦尼斯拉夫·彼得羅夫
"Бондарчук, Сергей Фёдорович",谢尔盖·邦达尔丘克
"Пашинин, Олег Алексеевич",奥列格·帕希宁
"Зюганов, Геннадий Андреевич",根纳季·久加诺夫
"Грызлов, Борис Вячеславович",鲍里斯·维亚切斯拉沃维奇·格雷兹洛夫
"Абрикосов, Алексей Алексеевич",阿列克谢·阿布里科索夫
"Шевчук, Евгений Васильевич",叶夫根尼·舍夫丘克
"Анюков, Александр Геннадьевич",亚历山大·阿纽科夫
"Савицкая, Светлана Евгеньевна",斯韋特蘭娜·薩維茨卡婭
"Жирков, Юрий Валентинович",尤里·日爾科夫
"Ходорковский, Михаил Борисович",米哈伊尔·霍多尔科夫斯基
"Медведев, Дмитрий Анатольевич",德米特里·梅德韦杰夫
"Журавлёва, Людмила Васильевна",柳德米拉·朱拉夫寥娃
"Леонова, Алёна Игоревна",阿蓮娜·列奧諾娃
"Умаров, Доку Хамадович",多卡·烏馬羅夫
"Парыгин, Борис Дмитриевич",鲍里斯·帕勒根
"Зобнин, Роман Сергеевич",羅曼·佐布寧
"Туполев, Алексей Андреевич",阿列克谢·图波列夫
"Денисов, Игорь Владимирович",伊戈尔·德尼索夫
"Зырянов, Константин Георгиевич",康斯坦丁·沙里恩洛夫
"Леонов, Алексей Архипович",阿列克谢·阿尔希波维奇·列昂诺夫
"Навальный, Алексей Анатольевич",阿列克謝·納瓦爾尼
"Лужков, Юрий Михайлович",尤里·卢日科夫
"Березовский, Борис Вадимович",鲍里斯·瓦季莫维奇·别列佐夫斯基
"Арнольд, Владимир Игоревич",弗拉基米爾·阿諾德
"Шнитке, Альфред Гарриевич",阿尔弗雷德·施尼特凯
"Янсонс, Марис Арвидович",马里斯·扬颂斯
"Ашкенази, Владимир Давидович",弗拉基米尔·阿什肯纳齐
"Воронин, Владимир Николаевич",弗拉迪米尔·沃罗宁
"Коротаев, Андрей Витальевич",安德烈·科罗塔耶夫
"Черномырдин, Виктор Степанович",维克托·切尔诺梅尔金
Колосс (Marvel Comics),鋼人·(漫威漫畫)
"Галстян, Арсен Жораевич",阿尔森·戈尔斯蒂安
"Романов, Григорий Васильевич",格里戈里·罗曼诺夫
"Тарасова, Евгения Максимовна",叶夫根尼娅·塔拉索娃
"Рубин, Владимир Ильич",弗拉基米尔·鲁宾
"Попов, Александр Степанович",亚历山大·波波夫
"Давыденко, Николай Владимирович",尼古拉·达维坚科
"Гречко, Георгий Михайлович",格奧爾基·格列奇科
"Бекетов, Александр Владимирович",亚历山大·弗拉基米罗维奇·别克托夫
"Нойштедтер, Роман Петрович",羅曼·諾伊施泰特
"Кириенко, Григорий Анатольевич",格里戈里·阿纳托利耶维奇·基里延科
"Манин, Юрий Иванович",尤里·马宁
"Сысоев, Игорь Владимирович (программист)",伊戈爾·賽索耶夫
"Касьянов, Михаил Михайлович",米哈伊尔·米哈伊洛维奇·卡西亚诺夫
"Климук, Пётр Ильич",彼得·克利穆克
"Шонин, Георгий Степанович",格奥尔基·绍宁
"Роменская, Оксана Викторовна",奥克萨娜·罗缅斯卡娅
"Чуковская, Лидия Корнеевна",利季娅·科尔涅耶夫娜·楚科夫斯卡娅
"Поветкин, Александр Владимирович",亚历山大·波韦特金
"Маренникова, Екатерина Александровна",叶卡捷琳娜·马连尼科娃
"Кузнецова, Светлана Александровна",斯维特拉娜·库兹涅佐娃
"Билялетдинов, Динияр Ринатович",季尼亚尔·比利亚列特季诺夫
"Петров, Алексей Александрович",阿列克谢·彼得罗夫
"Русских, Анастасия Владимировна",安娜斯塔西亚·鲁斯基赫
"Белоглазов, Анатолий Алексеевич",阿纳托利·别洛格拉佐夫
"Уланова, Галина Сергеевна",加林娜·乌兰诺娃
"Каспаров, Гарри Кимович",加里·卡斯帕羅夫
"Горбачёв, Михаил Сергеевич",米哈伊尔·戈尔巴乔夫
"Жириновский, Владимир Вольфович",弗拉基米尔·日里诺夫斯基
"Изотов, Данила Сергеевич",丹尼拉·伊佐托夫
"Меньшов, Константин Александрович",康斯坦丁·緬紹夫
"Стародубцев, Василий Александрович",瓦西里·斯塔罗杜布采夫
"Рыбаков, Анатолий Наумович",阿纳托利·雷巴科夫
"Лагунов, Евгений Александрович",叶夫根尼·拉古诺夫
"Лобинцев, Никита Константинович",尼基塔·洛宾采夫
"Калоев, Виталий Константинович",维塔利·卡洛耶夫
"Лебедев, Вячеслав Иванович",维亚切斯拉夫·伊万诺维奇·列别杰夫
"Диль, Элла Александровна",艾拉·迪尔
"Лагно, Екатерина Александровна",叶卡捷琳娜·拉格诺
"Авербах, Юрий Львович",尤里·阿维尔巴赫
"Станишев, Сергей Дмитриевич",谢尔盖·斯塔尼舍夫
"Павлов, Валентин Сергеевич",瓦连京·帕夫洛夫
"Шойгу, Сергей Кужугетович",谢尔盖·绍伊古
"Чубайс, Анатолий Борисович",阿纳托利·丘拜斯
"Нелидов, Андрей Витальевич",安德烈·涅利多夫
"Кержаков, Александр Анатольевич",亞歷山大·卡查哥夫
"Витюгов, Никита Кириллович",尼基塔·维秋戈夫
"Скворцов, Александр Александрович",亚历山大·亚历山德罗维奇·斯克沃尔佐夫
"Саутин, Дмитрий Иванович",德米特里·萨乌丁
"Белов, Сергей Александрович",謝爾蓋·貝洛夫
"Акинфеев, Игорь Владимирович",伊戈爾·阿金費耶夫
"Залётин, Сергей Викторович",谢尔盖·扎廖京
"Балабанов, Алексей Октябринович",阿歷克塞·巴拉巴諾夫
"Хабенский, Константин Юрьевич",康斯坦丁·哈宾斯基
"Чакветадзе, Анна Джамбулиевна",安娜·查克韋塔澤
"Галкин, Максим Александрович",马克西姆·加尔金
"Магомедов, Магомедсалам Магомедалиевич",穆罕默德萨拉姆·穆罕默多夫
"Зайцев, Александр Леонидович",亚历山大·列昂尼多维奇·扎伊采夫
"Мусабаев, Талгат Амангельдиевич",塔尔加特·穆萨巴耶夫
"Донской, Евгений Евгеньевич",葉夫根尼·唐斯柯伊
"Лазуткин, Александр Иванович",亚历山大·拉祖特金
"Кадыров, Рамзан Ахматович",拉姆赞·卡德罗夫
"Карякин, Сергей Александрович",谢尔盖·卡里亚金
"Аблязин, Денис Михайлович",丹尼斯·阿布利亚津
"Бударин, Николай Михайлович",尼古拉·布达林
"Бодюл, Иван Иванович",伊万·鲍久尔
"Игнашевич, Сергей Николаевич",塞爾吉·伊格納舍維奇
"Малафеев, Вячеслав Александрович",維亞切斯拉夫·馬拉費耶夫
"Широков, Роман Николаевич",羅曼·希羅科夫
"Погребняк, Павел Викторович",帕维尔·波格列布尼亚克
"Погонина, Наталья Андреевна",纳塔利娅·波戈尼娜
"Мыскина, Анастасия Андреевна",阿娜斯塔西亞·米斯基娜
"Емельяненко, Фёдор Владимирович",費奧多爾·葉梅利亞年科
"Явлинский, Григорий Алексеевич",格里戈里·亚夫林斯基
"Керн, Ольга Владимировна",奧爾加·克恩
"Иванов, Сергей Борисович",谢尔盖·鲍里索维奇·伊万诺夫
"Костенюк, Александра Константиновна",亚历山德拉·科斯坚纽克
"Колобков, Павел Анатольевич",帕维尔·阿纳托利耶维奇·科洛布科夫
"Меньшиков, Олег Евгеньевич",奥列格·缅希科夫
"Неизвестный, Эрнст Иосифович",恩斯特·涅伊兹韦斯内伊
"Тимков, Николай Ефимович",尼古拉·季姆科夫
"Дугин, Александр Гельевич",亞歷山大·杜金
"Харитон, Юлий Борисович",尤里·哈里顿
"Ансов, Игорь",哈利·伊戈爾·安索夫
"Альбиев, Ислам-Бека Саид-Цилимович",伊斯兰-贝卡·阿尔比耶夫
"Рождественский, Геннадий Николаевич",根纳季·罗日杰斯特文斯基
"Белоусова, Людмила Евгеньевна",露德米拉·別洛烏索娃
