Vâlcea,블체아주
România la Jocurile Olimpice de vară din 2012,2012년 하계 올림픽 루마니아 선수단
Zalău,잘러우
Alba,알바주
Bistrița,비스트리차
Marea Neagră,흑해
Piatra Neamț,피아트라네암츠
Brăila,브러일라
Brăila,브러일라주
Pitești,피테슈티
România la Jocurile Olimpice de vară din 1996,1996년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 2000,2000년 하계 올림픽 루마니아 선수단
Tratatul de la București,부쿠레슈티 조약
Mișcarea Legionară,철위대
Pădurile primare de mesteceni din Carpați și pădurile bătrâne de fagi din Germania,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
România la Jocurile Olimpice de vară din 1928,1928년 하계 올림픽 루마니아 선수단
Suceava,수체아바
România la Jocurile Olimpice de vară din 1992,1992년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1952,1952년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1956,1956년 하계 올림픽 루마니아 선수단
Iași,이아시
SuperLiga României,리가 I
cod RAN,RAN ID
Caraș-Severin,카라슈세베린주
SIRUTA,SIRUTA 코드
identificator BNR,루마니아 국립도서관 ID
România,루마니아
România la Jocurile Olimpice de iarnă din 1928,1928년 동계 올림픽 루마니아 선수단
România la Jocurile Olimpice de iarnă din 1976,1976년 동계 올림픽 루마니아 선수단
România la Jocurile Olimpice de iarnă din 1972,1972년 동계 올림픽 루마니아 선수단
Constanța,콘스탄차주
Vaslui,바슬루이주
Palatul Parlamentului,의회궁전
Satu Mare,사투마레주
Prahova,프라호바주
Secui,세케이인
România la Jocurile Olimpice de vară din 2008,2008년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1900,1900년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de iarnă din 2010,2010년 동계 올림픽 루마니아 선수단
Munții Carpați,카르파티아산맥
România la Jocurile Olimpice de vară din 1960,1960년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1936,1936년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1924,1924년 하계 올림픽 루마니아 선수단
Galați,갈라치주
Mureș,무레슈주
Târgoviște,트르고비슈테
Dâmbovița,듬보비차주
clasificare CNC a filmelor,루마니아 CNC 영화 등급
identificatorul persoanei la Cinemagia,CineMagia 개인 ID
Neamț,네암츠주
ASA Târgu Mureș,ASA 트르구무레슈
TAROM,TAROM
Harghita,하르기타주
Sălaj,설라지주
Banat,바나트
Constanța,콘스탄차
Maramureș,마라무레슈주
Stema României,루마니아의 국장
Olt,올트주
Arad,아라드
Tulcea,툴체아주
România,루마니아 축구 국가대표팀
limba croată,크로아티아어
drumul european E60,유럽 고속도로 60호선
Sibiu,시비우
Craiova,크라이오바
limba bulgară,불가리아어
limba română,루마니아어
Mehedinți,메헤딘치주
Călărași,컬러라시주
Gorj,고르지주
România la Jocurile Olimpice de vară din 1964,1964년 하계 올림픽 루마니아 선수단
Reșița,레시차
Dunărea,다뉴브강
România la Jocurile Olimpice de vară din 1968,1968년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1972,1972년 하계 올림픽 루마니아 선수단
limba ucraineană,우크라이나어
Brașov,브라쇼브
limba slovacă,슬로바키아어
Stepa euroasiatică,유라시아 스텝
Galați,갈라치
Țara Românească,왈라키아
Focșani,포크샤니
Teleorman,텔레오르만주
Vaslui,바슬루이
drumul european E58,유럽 고속도로 58호선
Oradea,오라데아
Timișoara,티미쇼아라
FC Rapid București,FC 라피드 부쿠레슈티
Covasna,코바스나주
Tulcea,툴체아
Suceava,수체아바주
Ilfov,일포브주
Alba Iulia,알바이울리아
Cluj-Napoca,클루지나포카
Arad,아라드주
Sighișoara,시기쇼아라
Găgăuzi,가가우스인
România la Jocurile Olimpice de vară din 1976,1976년 하계 올림픽 루마니아 선수단
Marea Câmpie Ungară,헝가리 대평원
Botoșani,보토샤니주
Dolj,돌지주
Botoșani,보토샤니
turci,터키인
Hunedoara,후네도아라주
limba greacă,그리스어
limba maghiară,헝가리어
Bistrița-Năsăud,비스트리차너서우드주
Giurgiu,지우르지우
Târgu Jiu,트르구지우
limba idiș,이디시어
Râmnicu Vâlcea,름니쿠블체아
Nogai,노가이인
Bacău,바커우주
România la Jocurile Olimpice de vară din 1980,1980년 하계 올림픽 루마니아 선수단
România la Jocurile Olimpice de vară din 1988,1988년 하계 올림픽 루마니아 선수단
Vrancea,브란체아주
FCSB,FCSB
Giurgiu,지우르지우주
Ialomița,이알로미차주
Aeroportul Internațional „Henri Coandă” București,헨리 코안더 국제공항
Sfântu Gheorghe,스픈투게오르게
Iași,이아시주
limba romani,롬어
Partidul Comunist Român,루마니아 공산당
Dobrogea,도브루자
Argeș,아르제슈주
Biserica Reformată din România,루마니아 개혁교회
Bechet,베케트
Cluj,클루지주
Bihor,비호르주
Ploiești,플로이에슈티
Drobeta-Turnu Severin,드로베타투르누세베린
Castelul Corvinilor,코르빈성
Olt,올트강
bulgari,불가리아인
Râul Prut,프루트강
Miercurea Ciuc,미에르쿠레아치우크
Brașov,브라쇼브주
Biserica Ortodoxă Română,루마니아 정교회
Sibiu,시비우주
Rețeaua de drumuri europene,유럽 고속도로
Deva,데바
Roman,로만
Orăștie,오러슈티에
Bucovina,부코비나
"Deșteaptă-te, române!",루마니아의 국가
Podul Prieteniei Giurgiu-Ruse,다뉴브 다리
Zimnicea,짐니체아
Delta Dunării,다뉴브강 삼각주
Buzău,부저우주
sârbi,세르비아인
Satu Mare,사투마레
Revoluția Română din 1989,1989년 루마니아 혁명
Dinamo 1948 București,FC 디나모 부쿠레슈티
limba arabă,아랍어
România la Jocurile Olimpice de vară din 1984,1984년 하계 올림픽 루마니아 선수단
leu românesc,루마니아 레우
Lugoj,루고지
Câmpia Panonică,판노니아 평원
maghiari,헝가리인
Baia Mare,바이아마레
Slatina,슬라티나
Timiș,티미슈주
Buzău,부저우
Aromâni,아로마니아인
Moldova,몰다비아
Borșa,보르샤
Parcul Național Retezat,레테자트 국립공원
CFR Cluj,CFR 클루지
Turda,투르다
Alexandria,알렉산드리아
Uniunea Democrată Maghiară din România,루마니아 헝가리인 민주연합
Bucătăria românească,루마니아 요리
Muntenia,문테니아
Mureș,무레슈강
Tisa,티서강
Călărași,컬러라시
Sinaia,시나이아
Hunedoara,후네도아라
Porțile de Fier,철문 (다뉴브강)
Sovata,소바타
Holcim,홀심
Siret,시레트강
Oltenia,올테니아
Târgu Mureș,트르구무레슈
Timiș,티미슈강
Dej,데지
FC Brașov,FC 브라쇼브
Slobozia,슬로보지아
Crișana,크리샤나
Pecica,페치카
Dăbuleni,더불레니
istoria României,루마니아의 역사
Buftea,부프테아
Ovidiu,오비디우
FC Politehnica Timișoara,FC 폴리테흐니카 티미쇼아라
stepa pontico-caspică,폰토스-카스피 스텝
Oțelul Galați,FC 오첼룰 갈라치
Carpații Meridionali,트란실바니아알프스산맥
Roșiorii de Vede,로시오리데베데
Universitatea din București,부쿠레슈티 대학교
Fetești,페테슈티
economia României,루마니아의 경제
Limba rusină,루신어
Caransebeș,카란세베슈
limba slavonă,교회 슬라브어
Automobile Dacia,다치아
Limba venetă,베네토어
București,부쿠레슈티
Transilvania,트란실바니아
limba tătară crimeeană,크림 타타르어
AXN,AXN
CS Mioveni,CS 미오베니
Giurtelecu Șimleului,지우르텔레쿠심레울루이
Segarcea,세가르체아
.ro,.ro
Caracal,카라칼
Podul lui Traian,트라야누스 다리
Blaj,블라지
Camera Deputaților din România,루마니아 대의원
FC Unirea Urziceni,FC 우니레아 우르지체니
Arena Națională,아레나 나치오날러
drumul european E576,유럽 고속도로 576호선
Otopeni,오토페니
Hârlău,흐를러우
lista celor mai înalte clădiri din România,루마니아의 마천루 목록
Biblioteca Națională a României,루마니아 국립도서관
Băilești,버일레슈티
Sighetu Marmației,시게투마르마치에이
Bârlad,브를라드
Sulina,술리나
Operațiunea Iași-Chișinău,제2차 이아시-키시뇨프 공세
Târgu Secuiesc,트르구세쿠이에스크
Metroul din București,부쿠레슈티 지하철
Odorheiu Secuiesc,오도르헤이우세쿠이에스크
Federația Română de Fotbal,루마니아 축구 연맹
Unirea Republicii Moldova cu România,루마니아와 몰도바의 통일
România la Jocurile Olimpice,올림픽 루마니아 선수단
Bitdefender,비트디펜더
Adamclisi,아담클리시
Berveni,베르베니
Ceangăi,창고인
Munții Metaliferi,메탈리페리 산맥
Câmpina,큼피나
Filiași,필리아시
Citibank România,씨티은행
Voluntari,볼룬타리
SSC Farul Constanța,FC 파룰 콘스탄차
Limbile în România,루마니아의 언어
Chiajna,키아지나
Mioveni,미오베니
Gaz Metan Mediaș,CS 가즈 메탄 메디아슈
Mediaș,메디아슈
Beiuș,베이우슈
Liga a II-a,리가 II
Calafat,칼라파트
Sebeș,세베슈
Munții Retezat,레테자트산맥
Mica Antantă,소협상
Cernavodă,체르나보다
Oltenița,올테니차
Noua Dreaptă,신우파당
români,루마니아인
Mangalia,만갈리아
Moinești,모이네슈티
FC Vaslui,FC 바슬루이
Sarmizegetusa Regia,사르미제게투사 레기아
Mizil,미질
Câmpia Turzii,큼피아투르지
Căile Ferate Române,루마니아 철도
Tratatul de la București,부쿠레슈티 조약
Miss România,미스 루마니아
UTA Arad,FC UTA 아라드
Toplița,토플리차
Castelul Peleș,펠레슈성
Tălmaciu,털마치우
Medgidia,메드지디아
Făgăraș,파가라슈
Urziceni,우르지체니
Ordinul Franciscan,작은형제회
drumul european E70,유럽 고속도로 70호선
Ceahlăul Piatra Neamț,FC 체아흘러울 피아트라네암츠
Organizarea administrativ-teritorială a României,루마니아의 행정 구역
Blue Air,블루 에어
Cupa Balcanică,발칸컵
gara București Nord,부쿠레슈티 북역
Petroșani,페트로샤니
Finala UEFA Europa League 2012,2012 UEFA 유로파리그 결승전
Partidul Național Liberal,루마니아 국민자유당
drumul european E85,유럽 고속도로 85호선
Germanii din România,독일계 루마니아인
Echipa națională de handbal masculin a României,루마니아 핸드볼 국가대표팀
Tropaeum Traiani,트로파에움 트라이아니
Jiu,지우강
Orșova,오르소바
Bran,브란
Baraolt,바라올트
cutremurul din 1977,1977년 브란체아 지진
FCV Farul Constanța,FC 비토룰 콘스탄차
Universitatea Babeș-Bolyai,바베시 볼리야이 대학교
Partidul Social Democrat,루마니아 사회민주당
Onești,오네슈티
Astra Giurgiu,FC 아스트라 지우르지우
România la Jocurile Olimpice de iarnă din 1932,1932년 동계 올림픽 루마니아 선수단
drumul european E584,유럽 고속도로 584호선
Parlamentul Republicii Moldova,몰도바 공화국 의회
FC Universitatea Cluj,FC 우니베르시타테아 클루지
Supercupa Europei 1986,1986년 UEFA 슈퍼컵
Partidul România Mare,대루마니아당
Huțuli,후출인
Turnu Măgurele,투르누머구렐레
Simeria,시메리아
Covasna,코바스나
drumul european E81,유럽 고속도로 81호선
România Mare,대루마니아
Siret,시레트
Pandurii Târgu Jiu,CS 판두리 트르구지우
Năvodari,너보다리
Gheorgheni,게오르게니
Carei,카레이
FCU Craiova,FC 우니베르시타테아 크라이오바
Scornicești,스코르니체슈티
România la Jocurile Olimpice de vară din 2004,2004년 하계 올림픽 루마니아 선수단
drumul european E79,유럽 고속도로 79호선
drumul european E574,유럽 고속도로 574호선
drumul european E578,유럽 고속도로 578호선
Salonta,살론타
președinte al României,루마니아의 대통령
Ordinea de succesiune la tronul României,루마니아의 왕위 계승 순위
Târlișua,트를리슈아
FC Argeș Pitești,FC 아르제슈 피테슈티
Clisura Dunării,클리수라 두너리
FC Sportul Studențesc București,FC 스포르툴 스투덴체스크 부쿠레슈티
Bursa de Valori București,부쿠레슈티 증권거래소
Aeroportul Internațional București Băneasa - Aurel Vlaicu,아우렐블라이쿠 국제공항
Carpatair,카르파트에어
Electrecord,전자 레코더
Societatea Română de Televiziune,루마니아 텔레비전
Sistemul de ligă de fotbal din România,루마니아 축구 리그 시스템
Centura alpidă,알프스-히말라야 조산대
Găiceana,가이세아나
România la Jocurile Olimpice de iarnă din 1984,1984년 동계 올림픽 루마니아 선수단
Universiada de vară din 1981,1981년 하계 유니버시아드
Ținutul Secuiesc,세케이 지대
România la Jocurile Olimpice de iarnă din 1980,1980년 동계 올림픽 루마니아 선수단
Politehnica Iași,CS 무니시팔 스투덴테크 이아시
Concordia Chiajna,CS 콘코르디아 키아지나
FC Botoșani,FC 보토샤니
Relațiile dintre România și Azerbaidjan,루마니아-아제르바이잔 관계
Paralela 45 nord,북위 45도
drumul european E675,유럽 고속도로 675호선
Romanian Top 100,루마니아 톱 100
Echipa națională de fotbal feminin a României,루마니아 여자 축구 국가대표팀
Eclipsa totală de Soare din 11 august 1999,1999년 8월 11일 일식
CSA Steaua București,CSA 스테아우아 부쿠레슈티
FC Petrolul Ploiești,FC 페트롤룰 플로이에슈티
drumul european E577,유럽 고속도로 577호선
drumul european E673,유럽 고속도로 673호선
Muzeul Național de Artă al României,루마니아 국립미술관
drumul european E671,유럽 고속도로 671호선
drumul european E68,유럽 고속도로 68호선
drumul european E581,유럽 고속도로 581호선
România în al Doilea Război Mondial,제2차 세계 대전 기간의 루마니아
Frontiera între România și Serbia,루마니아-세르비아 국경
demografia României,루마니아의 인구
Stadionul Ion Oblemenco,스타디오눌 이온 오블레멘코
Lupii București,부쿠레슈티 오크스
drumul european E771,유럽 고속도로 771호선
drumul european E87,유럽 고속도로 87호선
Ulpia Traiana Sarmizegetusa,울피아 트라이아나 사르미제게투사
Frontiera între Republica Moldova și România,루마니아-몰도바 국경
Aeroportul Internațional Timișoara - Traian Vuia,트라이안부이아 국제공항
Senatul României,루마니아 원로원
Broscăuți,브로스커우치
Vulcanii Noroioși de la Pâclele Mici,베르카 진흙 화산군
DN1A,DN1A호선
Comitetul Olimpic și Sportiv Român,루마니아 올림픽 체육 위원회
Plătărești,플러터레슈티
Mogoșoaia,모고쇼아이아
Frontul Salvării Naționale,루마니아 국민구국전선
Frontiera între România și Ungaria,루마니아-헝가리 국경
Frontiera între România și Ucraina,루마니아-우크라이나 국경
Parlamentul României,루마니아 의회
Echipa națională de hochei pe gheață a României,루마니아 아이스하키 국가대표팀
drumul european E583,유럽 고속도로 583호선
SuperLiga,CEC 슈퍼 리가
Teatrul Național „Ion Luca Caragiale”,부쿠레슈티 국립극장
Fly Project,플라이 프로젝트
Transcarpatia,자카르파탸
Cultura Cucuteni,쿠쿠테니-트리필랴 문화
Academia de Studii Economice,루마니아 국립 경제대학교
România la Jocurile Olimpice de iarnă din 1968,1968년 동계 올림픽 루마니아 선수단
paralela de 44º latitudine nordică,북위 44도
Frontiera între Bulgaria și România,루마니아-불가리아 국경
ACS Daco-Getica București,ASC 다코-게티카 부쿠레슈티
Roton,로톤
Transhumanță,이목
Halmeu,하르메우
educația în România,루마니아의 교육
Palatul Elisabeta,엘리사베타 궁전
județele României,루마니아의 주
Relațiile dintre România și Polonia,루마니아-폴란드 관계
Relațiile româno-ucrainene,루마니아-우크라이나 관계
România la Jocurile Olimpice de iarnă din 2014,2014년 동계 올림픽 루마니아 선수단
Frontul Românesc,루마니아 전선
Tapae,타파이
ACS Poli Timișoara,ACS 폴리 티미쇼아라
Bacău,바커우
Maramureș,마라무레슈
Deveselu,데베셀루
FC Voluntari,FC 볼룬타리
prim-ministru al României,루마니아의 총리
Uniunea Salvați România,루마니아 구국연합
Partidul Alianța Liberalilor și Democraților,자유민주연합
Ilișești,일리셰슈티
Protestele din România din 2017-2018,2017년 루마니아 시위
incendiul din clubul Colectiv,콜렉티브 나이트클럽 화재
Inundațiile din Europa de Sud-est,2014년 남동유럽 홍수
Universitatea Craiova,CS 우니베르시타테아 크라이오바
România la Jocurile Olimpice de iarnă din 2018,2018년 동계 올림픽 루마니아 선수단
Stadionul „Ion Oblemenco”,스타디오눌 이온 오블레멘코
Familia Regală Română,로므니아가
Formatul București,부쿠레슈티 나인
pandemia de coronaviroză COVID-19,코로나바이러스감염증-19 유행
Pandemia de coronaviroză (COVID-19) în Europa,유럽의 코로나바이러스감염증-19 유행
pandemia de coronaviroză (COVID-19) în România,루마니아의 코로나바이러스감염증-19 범유행
Campionatul European de Fotbal Sub-21 2023,2023년 UEFA U-21 축구 선수권 대회
ambasada Republicii Coreea în Romania,주루마니아 대한민국 대사관
Teatrul Național „Ion Luca Caragiale”,부쿠레슈티 국립극장
Inundațiile din iulie 2021 din Europa,2021년 유럽 홍수
