Portugal,葡萄牙
Dieta mediterrânica,地中海飲食
Universidade do Minho,米尼奧大學
Ilha da Madeira,馬德拉島
Metro do Porto,波爾圖地鐵
Rio Sabor,薩博爾河
Rio Águeda (Douro),阿圭達河
Qualificações para o Campeonato Europeu de Futebol de 2004,2004年欧洲足球锦标赛预选赛
Francesinha,葡式三明治
Lisboa,里斯本
Rio Mondego,蒙德古河
Rio Sado,薩杜河
Rio Sorraia,索雷亞馬河
Rio Mira,米拉河
Casamento entre pessoas do mesmo sexo em Portugal,葡萄牙同性婚姻
Sistema Central,中央山脈·(伊比利亞半島)
Tratado de Lisboa (2007),里斯本条约
Judeu-português,猶太葡萄牙語
Massacre de Lisboa de 1506,1506年里斯本大屠殺
Língua tétum,德顿语
Cabo de São Vicente,圣维森特角
Ordinariato Castrense de Portugal,天主教葡萄牙軍中教長區
Sporting Clube de Braga,布拉加體育會
Sporting Clube de Portugal,葡萄牙士砵亭俱樂部
Associação Desportiva da Camacha,卡馬沙體育會
Torres Novas,新托里什
Comboios de Portugal,葡萄牙铁路
Braga,布拉加
.pt,.pt
Porto,波爾圖
Açores,亚速尔群岛
Coimbra,科英布拉
Euro,欧元
Língua portuguesa,葡萄牙語
Montemor-o-Velho,舊蒙特莫爾
Grande Prémio de Portugal,葡萄牙大奖赛
Funchal,丰沙尔
Madeira (região autónoma),马德拉群岛
Alentejo,阿連特茹大區
Língua galega,加利西亞語
Largo do Chiado,希亚多广场
Ilhas Selvagens,萨维奇群岛
Algarve,阿尔加维大区
Península Ibérica,伊比利亚半岛
Região do Centro,中部大區·(葡萄牙)
Palácio Nacional da Pena,佩纳宫
Praia da Vitória,普拉亞達維多利亞
São Martinho de Recezinhos,圣马蒂纽-迪雷塞齐纽什
Parada (Vila do Conde),帕拉达·(孔迪镇)
Taça de Portugal,葡萄牙盃
Língua mirandesa,米兰达语
Região do Norte,北部大區·(葡萄牙)
Região de Lisboa,里斯本大區
Vinho da Madeira,马德拉酒
Elevador da Bica,比卡升降机
Elevador da Glória,荣耀升降机
Cabanelas (Mirandela),卡巴内拉什·(米兰德拉)
Anjos (Vieira do Minho),安若什·(米尼奥河畔维埃拉)
Vieira do Minho,米尼奧河畔維埃拉
Língua árabe,阿拉伯语
Rio Tejo,塔霍河
Torre de Moncorvo,托里迪蒙科爾武
Mirandela,米蘭德拉
Estação Ferroviária de Portimão,波爾蒂芒車站
Terras de Bouro,特拉什杜博魯
Vimioso,維苗蘇
Campeonato Europeu de Futebol de 2004,2004年歐洲足球錦標賽
Estradas europeias,欧洲高速公路
Macaronésia,馬卡羅尼西亞
Dia de São Martinho,聖瑪爾定節
Língua asturiana,阿斯图里亚斯语
Universidade de Aveiro,阿威羅大學
Celorico de Basto,塞洛里库-迪巴什图
Ourique,奧里基
Supercopa da UEFA de 2004,2004年欧洲超级杯
Moura,莫拉·(葡萄牙)
Carrazeda de Ansiães,卡拉澤達丹西昂伊什
Vila Nova de Famalicão,法馬利康新鎮
Freixo de Espada à Cinta,弗雷舒德埃什帕達阿辛塔
Póvoa de Lanhoso,波瓦迪拉尼奧蘇
Vidigueira,維迪蓋拉
Vila Verde,韋爾迪鎮
Odemira,奧德米拉
Mogadouro,莫加多魯
Rio Guadiana,瓜地亞納河
Rio Douro,杜罗河
Rio Minho,米尼奧河
Arcos (Vila do Conde),阿尔库什·(孔迪镇)
Celorico da Beira,塞洛里庫達貝拉
Vizela,維澤拉
Esposende,埃斯波森迪
Ferreira do Alentejo,費雷拉杜阿連特茹
Macedo de Cavaleiros,馬塞杜-迪卡瓦萊魯什
Castro Verde,韋迪堡
Canelas (Vila Nova de Gaia),卡内拉什·(加亚新城)
Sítios de arte rupestre do Vale do Coa,科阿峡谷史前岩石艺术遗址
Alcaria Ruiva,阿尔卡里亚鲁伊瓦
Samões,萨蒙伊什
Ervidel,埃尔维迪尔
Linha do Sul,南線·(葡萄牙)
Rio Tâmega,塔梅加河
Rio Cávado,卡瓦杜河
Rio Paiva,派瓦河
Cardanha,卡达尼亚
Chapa (Amarante),沙帕·(阿马兰蒂)
Montemor-o-Novo,新蒙特莫爾
São Salvador do Campo,圣萨尔瓦多-杜坎普
Arouca,阿羅卡·(葡萄牙)
Vila Franca do Campo,坎普自由鎮
São João da Madeira,聖若昂-達馬德拉
Lista de chefes de governo de Portugal,葡萄牙总理列表
Palácio Nacional de Sintra,辛特拉宫
Estação Ferroviária de Lisboa-Santa Apolónia,聖阿波隆尼亞車站
Angeja,安热雅
Lamas (Macedo de Cavaleiros),拉马什·(马塞杜-迪卡瓦莱鲁什)
Mascarenhas (Mirandela),马斯卡雷尼亚什·(米兰德拉)
Mogo de Malta,莫古-迪马尔塔
Salselas,萨尔塞拉什
Vilares de Vilariça,维拉里什-迪维拉里萨
