George Washington,ジョージ・ワシントン
Picabo Street,ピカボ・ストリート
Kim Carnes,キム・カーンズ
Chris Rock,クリス・ロック
Lisa Raymond,リサ・レイモンド
Mary Kenneth Keller,メアリー・ケネス・ケラー
Maria Klawe,マリア・クラーヴェイ
Helen M. Berman,ヘレン・M・バーマン
Carolyn Bertozzi,キャロライン・ベルトッツィ
Kevin Mitnick,ケビン・ミトニック
Hazel Bishop,ヘイゼル・ビショップ
Rachel Fuller Brown,レイチェル・フラー・ブラウン
Emma P. Carr,エマ・P・カー
Daphne Koller,ダフニー・コラー
Abraham Lincoln,エイブラハム・リンカーン
Janet Kolodner,ジャネット・コロドナー
Karen Bardsley,カレン・バーズリー
Mick Foley,ミック・フォーリー
Adam Carolla,アダム・カローラ
Henriette Avram,ヘンリエッテ・エイブラム
John McCain,ジョン・マケイン
Susan Landau,スーザン・ランダウ
Mary L. Good,メアリー・グッド
Anna J. Harrison,アンナ・J・ハリソン
Jack Bauer,ジャック・バウアー
Jon Abrahams,ジョン・エイブラハムズ
Rodger Bumpass,ロジャー・バンパス
Claire Holt,クレア・ホルト
Elena Kagan,エレナ・ケイガン
Sonia Sotomayor,ソニア・ソトマイヨール
Barack Obama,バラク・オバマ
Stephanie L. Kwolek,ステファニー・クオレク
Jonny Lee Miller,ジョニー・リー・ミラー
John Adams,ジョン・アダムズ
Nancy Lynch,ナンシー・リンチ
Catherine Coleman,キャスリン・コールマン
Mary Peters Fieser,メアリー・ピーターズ・フィーザー
Valerie Solanas,バレリー・ソラチネ
Deval Patrick,デヴァル・パトリック
John Paul Stevens,ジョン・ポール・スティーブンス
Ruth Bader Ginsburg,ルース・ギンズバーグ
James Monroe,ジェームズ・モンロー
Judith Estrin,ジュディス・エストリン
Elizabeth J. Feinler,エリザベス・J・フェインラー
Miley Cyrus,マイリー・サイラス
Troian Bellisario,トローヤン・ベリサリオ
Dwayne Johnson,ドウェイン・ジョンソン
Jimmy Wales,ジミー・ウェールズ
Larry Sanger,ラリー・サンガー
Emily Dickinson,エミリー・ディキンソン
Tiger Woods,タイガー・ウッズ
Tom DeLonge,トム・デロング
Mark Hoppus,マーク・ホッパス
Nancy Leveson,ナンシー・レブソン
James Madison,ジェームズ・マディスン
John Quincy Adams,ジョン・クィンシー・アダムズ
Ann A. Kiessling,アン・A・キースリング
Peyton Manning,ペイトン・マニング
Jimmy Bennett,ジミー・ベネット
Melissa Fahn,メリッサ・ファーン
Anthony Kennedy,アンソニー・ケネディ
Nelson Rockefeller,ネルソン・ロックフェラー
Sandra Day O'Connor,サンドラ・デイ・オコナー
Mr. Lawrence,ミスター・ローレンス
Sally Floyd,サリー・フロイド
Thomas Jefferson,トーマス・ジェファーソン
Anna Faris,アンナ・ファリス
Martin Van Buren,マーティン・ヴァン・ビューレン
Jude Milhon,ジュード・ミルホン
Ned Beatty,ネッド・ビーティ
Ivory Joe Hunter,アイヴォリー・ジョー・ハンター
Jennette McCurdy,ジェネット・マッカーディ
Stephen Breyer,スティーブン・ブライヤー
Mitt Romney,ミット・ロムニー
George W. Bush,ジョージ・W・ブッシュ
John Tyler,ジョン・タイラー
Ken Jennings,ケン・ジェニングス
Alison Lohman,アリソン・ローマン
Deborah Estrin,デボラ・エストリン
Louise Nevelson,ルイーズ・ネヴェルソン
James Coburn,ジェームズ・コバーン
Jonathan Winters,ジョナサン・ウィンタース
Marlene Dietrich,マレーネ・ディートリッヒ
David Rockefeller,デイヴィッド・ロックフェラー
Ezra Klein,エズラ・クライン
Bob Dylan,ボブ・ディラン
Stacy Horn,ステイシー・ホーン
Jaime Levy,ジェイミー・レヴィ
Jenna Jameson,ジェナ・ジェイムソン
Daniel Craig,ダニエル・クレイグ
Michael Bloomberg,マイケル・ブルームバーグ
Radia Perlman,ラディア・パールマン
Clancy Brown,クランシー・ブラウン
Zach Gilford,ザック・ギルフォード
James K. Polk,ジェームズ・ポーク
Elvis Presley,エルヴィス・プレスリー
Prince,プリンス (ミュージシャン)
John Gaeta,ジョン・ゲイター
John Knoll,ジョン・ノール
David DeCoteau,デヴィッド・デコトー
Joyce K. Reynolds,ジョイス・K・レイノルズ
Marge Simpson,マージ・シンプソン
Karl Brown,カール・ブラウン
Andrew Jackson,アンドルー・ジャクソン
Louis King,ルイス・キング
John Roberts,ジョン・ロバーツ
Antonin Scalia,アントニン・スカリア
Ward Cunningham,ウォード・カニンガム
Bill Maher,ビル・マー
Homer Simpson,ホーマー・シンプソン
Corbin Bleu,コービン・ブルー
Joseph Brodsky,ヨシフ・ブロツキー
Alastair G. W. Cameron,アルステア・キャメロン
Farciot Edouart,ファーショト・エドゥアール
Edmund H. Hansen,エドマンド・H・ハンセン
Scott Farrar,スコット・ファラー
Robert Legato,ロバート・レガート
Albert Arnold Gillespie,A・アーノルド・ギレスピー
Carl Sagan,カール・セーガン
Martin Luther King Jr.,マーティン・ルーサー・キング・ジュニア
William Henry Harrison,ウィリアム・ハリソン
Joseph Zito,ジョセフ・ジトー
Jack Sholder,ジャック・ショルダー
Samuel Alito,サミュエル・アリート
Clarence Thomas,クラレンス・トーマス
Axl Rose,アクセル・ローズ
Barbra Streisand,バーブラ・ストライサンド
"Weird Al" Yankovic,アル・ヤンコビック
Dean Ho,ディーン樋口
Patti Smith,パティ・スミス
Neil Young,ニール・ヤング
Rachel Maddow,レイチェル・マドー
Stefen Fangmeier,ステファン・ファングマイアー
Nicholas Meyer,ニコラス・メイヤー
Franklin Delano Roosevelt,フランクリン・ルーズベルト
Jean Bartik,ジーン・バーティク
Evelyn Berezin,イヴリン・ベレジン
Stevie Wonder,スティーヴィー・ワンダー
Corey Dillon,コーリー・ディロン
Greg Merson,グレッグ・マーソン
Ron Howard,ロン・ハワード
Pamela Kyle Crossley,パメラ・カイル・クロスリー
Dorothy E. Denning,ドロシー・デニング
Maggie Simpson,マギー・シンプソン
Frank Herbert,フランク・ハーバート
Zachary Taylor,ザカリー・テイラー
Beck,ベック
Marilyn Monroe,マリリン・モンロー
Coco Austin,ココ・オースティン
Linda Lovelace,リンダ・ラヴレース
Vince Gilligan,ヴィンス・ギリガン
Franklin Pierce,フランクリン・ピアース
Scrooge McDuck,スクルージ・マクダック
Chloë Grace Moretz,クロエ・グレース・モレッツ
John Frazier,ジョン・フレイザー
Craig Barron,クレイグ・バロン
Anita Borg,アニタ・ボルグ
Maxine D. Brown,マクシン・D・ブラウン
Carl Barks,カール・バークス
Gordon Freeman,ゴードン・フリーマン
Meryl Streep,メリル・ストリープ
Fred Sersen,フレッド・サーセン
Jason Lee,ジェイソン・リー
Douglas Shearer,ダグラス・シアラー
L. B. Abbott,L・B・アボット
Juan Trippe,ファン・トリップ
Larry Page,ラリー・ペイジ
Serena Williams,セリーナ・ウィリアムズ
"Jon Huntsman, Jr.",ジョン・ミード・ハンツマン
Shafrira Goldwasser,シャフィ・ゴールドワッサー
Jonathan Glassner,ジョナサン・グラスナー
Richard Edlund,リチャード・エドランド
Walt Disney,ウォルト・ディズニー
John Adair,ジョン・アデア
Charlotte Froese Fischer,シャーロット・フローゼ・フィッシャー
Jimmy Kimmel,ジミー・キンメル
Eugenio Calabi,エウジェニオ・カラビ
Thelma Estrin,テルマ・エストリン
Phyllis Fox,フィリス・フォックス
Herman Melville,ハーマン・メルヴィル
Joan Lorring,ジョーン・ロリング
Cher,シェール
Eric Barba,エリック・バーバ
Danese Cooper,ダネーゼ・クーパー
Dave Grohl,デイヴ・グロール
Andrew Johnson,アンドルー・ジョンソン
Lynn Conway,リン・コンウェイ
Aaliyah,アリーヤ
Thomas Edison,トーマス・エジソン
James Meredith,ジェームズ・メレディス
Miranda Cosgrove,ミランダ・コスグローヴ
Millard Fillmore,ミラード・フィルモア
Harry S. Truman,ハリー・S・トルーマン
Bill Gates,ビル・ゲイツ
Mario,マリオ
Mark Oliver Everett,マーク・オリヴァー・エヴェレット
Kevin Costner,ケビン・コスナー
Venus Williams,ビーナス・ウィリアムズ
John Bardeen,ジョン・バーディーン
Britney Spears,ブリトニー・スピアーズ
Gary Gygax,ゲイリー・ガイギャックス
Dave Arneson,デイヴ・アーンソン
Bill Clinton,ビル・クリントン
Diane Greene,ダイアン・グリーン
Stan Coveleski,スタン・コベレスキ
Adele Goldberg,アデル・ゴールドバーグ (計算機科学者)
Kurt Cobain,カート・コバーン
Cynthia Dwork,シンシア・ドワーク
Annie Easley,アニー・イーズリー
Ken Ralston,ケン・ローストン
Albert Einstein,アルベルト・アインシュタイン
Rashad Khalifa,ラシャド・ハリファ
Bruno Mars,ブルーノ・マーズ
Beth Ditto,ベス・ディットー
Michelle Obama,ミシェル・オバマ
Tim Lincecum,ティム・リンスカム
Ernst Mayr,エルンスト・マイヤー
Judy Garland,ジュディ・ガーランド
Greta Garbo,グレタ・ガルボ
Janis Joplin,ジャニス・ジョプリン
Charles Lindbergh,チャールズ・リンドバーグ
Bruce Springsteen,ブルース・スプリングスティーン
Neil Armstrong,ニール・アームストロング
Will Claye,ウィル・クレイ
Gordon Jennings,ゴードン・ジェニングス
Cyndi Lauper,シンディ・ローパー
Eminem,エミネム
Justin Gatlin,ジャスティン・ガトリン
Tony Romo,トニー・ロモ
DeeDee Trotter,ディーディー・トロッター
Dan O'Brien,ダン・オブライエン
Betty Holberton,ベティ・ホルバートン
Leonel Manzano,リオネル・マンザーノ
Aries Merritt,アリエス・メリット
James Buchanan,ジェームズ・ブキャナン
Carmelita Jeter,カーメリタ・ジーター
Grace Hopper,グレース・ホッパー
Susan L. Graham,スーザン・L・グラハム
Paula Creamer,ポーラ・クリーマー
Angelina Jolie,アンジェリーナ・ジョリー
Mark Sanford,マーク・サンフォード
Humphrey Tonkin,ハンフリー・トンキン
George Soros,ジョージ・ソロス
Spencer Fullerton Baird,スペンサー・フラトン・ベアード
Henry Ford,ヘンリー・フォード
Frank Lloyd Wright,フランク・ロイド・ライト
Bart Simpson,バート・シンプソン
