Warsaw,華沙
Łódź,罗兹
Kraków,克拉科夫
Republic of Poland,波兰
Gdańsk,格但斯克
Poznań,波茲南
Wrocław,弗罗茨瓦夫
Lublin,卢布林
Bydgoszcz,比得哥什
Katowice,卡托维兹
Szczecin,什切青
Kielce,凯尔采
Rzeszów,热舒夫
Białystok,比亚韦斯托克
Gorzów Wielkopolski,大波蘭地區戈茹夫
Gdynia,格丁尼亚
Opole,奥波莱
Toruń,托伦
Zielona Góra,綠山城
Siedlce,謝德爾采
Radom,拉多姆
Tarnów,塔爾努夫
Nowy Sącz,新松奇
Greater Poland Voivodeship,大波兰省
West Pomeranian Voivodeship,西滨海省
Bielsko-Biala,别尔斯科-比亚瓦
Dąbrowa Górnicza,栋布罗瓦古尔尼恰
Częstochowa,琴斯托霍瓦
Chorzów,霍茹夫
Bytom,比托姆
Grudziądz,格魯瓊茲
Głogów,格沃古夫
Gliwice,格利维采
Elbląg,埃爾布隆格
Konin,科寧
Kalisz,卡利什
Słupsk,斯武普斯克
Rybnik,雷布尼克
Ruda Śląska,鲁达希隆斯卡
Legnica,萊格尼察
Koszalin,科沙林
Płock,普沃茨克
Wałbrzych,瓦烏布日赫
Tychy,蒂黑
Świętochłowice,希维托赫洛维采
Zabrze,扎布热
Włocławek,弗沃茨瓦韦克
Kętrzyn,肯琴
Jarosław,雅罗斯瓦夫
Przemyśl,普热梅希尔
Zamość,扎莫希奇
Ełk,埃烏克
Łomża,沃姆扎
Kurów,库鲁夫
Tomaszów Mazowiecki,馬佐夫舍地區托馬舒夫
Tarnobrzeg,塔尔诺布热格
Suwałki,苏瓦乌基
Ostrowiec Świętokrzyski,聖十字地區奧斯特羅維茨
Ostrołęka,奧斯特羅文卡
Nowy Targ,新塔爾格
Mielec,梅萊茨
Międzyrzec Podlaski,缅济热茨
Chełm,海乌姆
Bielany,别拉内区
Biała Podlaska,比亞瓦-波德拉斯卡
Lublin Voivodeship,卢布林省
Lesser Poland Voivodeship,小波兰省
Podkarpackie Voivodeship,喀尔巴阡山省
Warmian-Masurian Voivodeship,瓦爾米亞-馬祖里省
Lower Silesian Voivodeship,下西里西亚省
Województwo Łódzkie,罗兹省
Lubusz Voivodeship,盧布斯卡省
Pomeranian Voivodeship,波美拉尼亞省
Silesian Voivodeship,西里西亚省
Bełchatów,貝烏哈圖夫
Będzin,本津
Chrzanów,赫扎努夫
Chojnice,霍伊尼采
Inowrocław,伊诺弗罗茨瓦夫
Iława,伊瓦瓦
Gniezno,格涅兹诺
Kłodzko,克沃茲科
Jaworzno,亚沃日诺
Jarocin,亚罗钦
Mysłowice,梅斯沃維采
Stargard,什切青旧城
Sopot,索波特
Siemianowice Śląskie,希隆斯克地區謝米亞諾維采
Lubin,盧賓
Łowicz,沃維奇
Łobez,沃貝茲
Leszno,莱什诺
Radomsko,拉多姆斯科
Racibórz,拉齐布日
Piotrków Trybunalski,彼得庫夫特雷布納爾斯基
Piła,皮瓦
Pabianice,帕比亞尼采
Oświęcim,奥斯威辛
Ostrów Wielkopolski,大波蘭地區奧斯特魯夫
Wieluń,维隆
Świnoujście,希維諾烏伊希切
Świdnica,希维德尼察
Żory,若雷
Zgierz,兹盖日
Zawiercie,扎维尔切
Zakopane,扎科帕內
Żagań,薩根
Kolno,科爾諾
Jasło,亚斯沃
Hrubieszów,赫魯別舒夫
Sanok,萨诺克
Sandomierz,桑多梅日
Rysy,萊希山
Puławy,普瓦維
Pruszków,普魯斯科夫
Płońsk,普翁斯克
Zambrów,贊布魯夫
Wyszków,維什庫夫
Wołomin,沃沃明
Wieliczka,維利奇卡
Grodzisk Mazowiecki,馬佐夫舍地區格羅濟斯克
Gorlice,戈爾利采
Giżycko,吉日茨科
Dębica,登比察
Dąbrowa Tarnowska,塔爾努夫的棟布羅瓦
Ciechanów,切哈努夫
Łuków,武庫夫
Limanowa,利馬諾瓦
Lidzbark Warmiński,瓦爾米亞地區利茲巴克
Legionowo,萊吉奧諾沃
Krynica-Zdrój,克雷尼察-茲德魯伊
Krosno,克羅斯諾
Kozienice,科傑尼采
Końskowola,孔斯科沃拉
Trojany,特洛疆尼
Szczytno,什奇特諾
Starachowice,斯塔拉霍維采
Stalowa Wola,斯塔洛瓦沃拉
Sokołów Małopolski,小波蘭地區索科武夫
Sochaczew,索哈契夫
Skierniewice,斯凱爾涅維采
Skarżysko-Kamienna,斯卡日斯科-卡緬納
Piaseczno,皮亞塞奇諾
Otwock,奧特沃茨克
Ostrów Mazowiecka,馬佐夫舍地區奧斯特魯夫
Ochota,奥霍塔区
Nowy Dwór Mazowiecki,馬佐夫舍地區新莊園
Mława,姆瓦瓦
Mińsk Mazowiecki,馬佐夫舍地區明斯克
Busko-Zdrój,布斯科茲德魯伊
Bochotnica,波葛列查
Bochnia,博赫尼亞
Biłgoraj,比烏戈拉伊
Bielsk Podlaski,波德拉謝地區別爾斯克
Bartoszyce,巴爾托希采
Żyrardów,日拉爾杜夫
Żoliborz,若利博日区
Europe,欧洲
Bielawa,別拉瓦
Białogard,比亞沃加德
Aleksandrów Łódzki,羅茲地區亞歷山德魯夫
Aleksandrów Kujawski,庫亞維地區亞歷山德魯夫
Darłowo,達爾沃沃
Człuchów,奇武胡夫
Czechowice-Dziedzice,切霍維采-傑濟采
Cieszyn,切申
Chełmża,海烏姆扎
Chełmno,海烏姆諾
Bystrzyca Kłodzka,貝斯奇察克沃茲卡
Brzeszcze,布熱什切
Brzeg Dolny,下布熱格
Brzeg,布熱格
Brodnica,布罗德尼察
Braniewo,布拉涅沃
Bogatynia,博加蒂尼亞
Gryfino,格雷菲諾
Goleniów,戈萊紐夫
Dzierżoniów,傑爾若紐夫
Drezdenko,德雷兹登科
Drawsko Pomorskie,波莫瑞地區德拉夫斯科
Kościerzyna,科希切日納
Kościan,科希強
Koronowo,科羅諾沃
Konstantynów Łódzki,羅茲省康斯坦丁努夫
Kołobrzeg,科沃布热格
Koło,科沃
Kluczbork,克盧奇堡
Kłobuck,克沃布茨克
Kędzierzyn-Koźle,肯傑任科茲萊
Kartuzy,卡爾圖濟
Olkusz,奧爾庫什
Oleśnica,奧萊希尼察
Oława,奧瓦瓦
Nysa,尼斯
Nowe Miasto Lubawskie,盧巴瓦新城
Nowa Sól,新蘇爾
Nowa Ruda,新魯達
Nakło nad Notecią,諾泰奇河畔納克沃
Myszków,梅什库夫
Milicz,米利奇
Mikołów,米科武夫
Międzyrzecz,緬濟熱奇
Miedwie,梅德維湖
Starogard Gdański,格但斯克舊城
Solec Kujawski,庫亞維地區索萊茨
Słubice,斯武比采
Sławno,斯瓦夫諾
Skawina,斯卡維納
Sieradz,謝拉茲
Luboń,盧邦
Lubliniec,盧布利涅茨
Legnica,萊格尼察
Lębork,倫堡
Łask,瓦斯克
Kwidzyn,克维曾
Kutno,库特娜
Krotoszyn,克羅托申
Kowary,科瓦雷
Kostrzyn nad Odrą,奥得河畔科斯琴
Pszczyna,普什奇納
Polkowice,波爾科維采
Police,波利采
Piekary Śląskie,希隆斯克地區佩卡雷
Ostróda,奧斯特魯達
Wejherowo,韋伊海羅沃
Wałcz,瓦烏奇
Wągrowiec,翁格羅維茨
Wadowice,瓦多維采
Ustka,乌斯特卡
Trzebiatów,切比亞圖夫
Tarnowskie Góry,塔爾諾夫斯凱古雷
Szklarska Poręba,什克拉爾斯卡-波倫巴
Szczecinek,什切齊內克
Szamotuły,沙莫圖維
Świdwin,希維德溫
Swarzędz,斯瓦任兹
Strzegom,斯切戈姆
Żywiec,日維茨
Złotów,茲沃圖夫
Złotoryja,茲沃托雷亞
Zgorzelec,茲戈熱萊茨
Żary,扎雷
Ząbkowice Śląskie,希隆斯克地區宗布科維采
Września,弗熱希尼亞
Wodzisław Śląski,希隆斯克地區沃濟斯瓦夫
Kolbuszowa,科爾布紹瓦
Kobyłka,科貝烏卡
Knyszyn,克內申
Kleszczele,克萊什切萊
Kazimierz Dolny,卡齊米日多爾尼
Karczew,卡爾切夫
Józefów,約瑟夫烏
Jedwabne,耶德瓦布內
Janów Lubelski,盧布林地區亞努夫
Hajnówka,哈伊努夫卡
Grybów,格雷布夫
Siemiatycze,謝米亞蒂切
Rymanów,雷馬努夫
Ruciane-Nida,魯恰內尼達
Ropczyce,羅普奇采
Reszel,雷謝爾
Rawa Mazowiecka,馬佐夫舍地區拉瓦
Rajgród,拉伊格魯德
Radzyń Podlaski,波德拉謝地區拉曾
Radymno,拉迪姆诺
Pułtusk,普烏圖斯克
Przeworsk,普熱沃斯克
Przasnysz,普扎斯内什
Poniatowa,波尼亞托瓦
Piwniczna-Zdrój,皮夫尼奇納-兹德魯伊
Pisz,皮什
Pionki,皮翁基
Pińczów,平丘夫
Żelechów,熱萊胡夫
Żabno,扎布諾
Zabłudów,扎布武杜夫
Ząbki,宗布基
Wysokie Mazowieckie,馬佐夫舍地區維索凱
Włodawa,弗沃達瓦
Wilanów,維拉諾夫區
Węgrów,文格魯夫
Węgorzewo,文戈熱沃
Wasilków,瓦西爾庫夫
Warka,瓦爾卡
Ustrzyki Dolne,下烏斯奇基
Grójec,格魯耶茨
Grajewo,格拉耶沃
Góra Kalwaria,古拉卡爾瓦里亞
Gołdap,戈乌达普
Garwolin,加爾沃林
Działdowo,賈烏多沃
Dobre Miasto,多布雷城
Dęblin,登布林
Dąbrowa Białostocka,比亞韋斯托克的棟布羅瓦
Czchów,奇胡夫
Cieszanów,切沙努夫
Maków Mazowiecki,馬佐夫舍地區馬庫夫
Lubartów,盧巴爾圖夫
Lubaczów,盧巴丘夫
Łosice,沃西采
Łomianki,沃米安基
Leżajsk,莱扎伊斯克
Łęczna,文奇納
Łapy,瓦佩
Łańcut,萬楚特
Krasnystaw,克拉斯內斯塔夫
Kraśnik,克拉希尼克
Korsze,科爾謝
Konstancin-Jeziorna,康斯坦欽-耶焦爾納
Ursus,烏爾蘇斯區
Tykocin,蒂科欽
Tuchów,圖胡夫
Tomaszów Lubelski,盧布林地區托馬舒夫
Szydłowiec,希德沃維茨
Szczawnica,什恰夫尼察
Stoczek Łukowski,武庫夫地區斯托切克
Stawiski,斯塔維斯基
Staszów,斯塔舒夫
Stary Sącz,舊松奇
Sokołów Podlaski,波德拉謝地區索科武夫
Sokółka,索庫烏卡
Piastów,皮亞斯圖夫
Parczew,帕爾切夫
Ożarów Mazowiecki,馬佐夫舍地區奧扎魯夫
Opoczno,奧波奇諾
Opatów,奧帕圖夫
Olecko,奧萊茨科
Nowogród,諾沃格魯德
Nowa Dęba,新登巴
Nisko,尼斯科
Niegocin,涅戈欽湖
Nidzica,尼濟察
Muszyna,穆希納
Mszczonów,姆什喬努夫
Mrągowo,姆龍戈沃
Mońki,蒙基
Milanówek,米拉努韋克
Miechów,梅胡夫
Marki,馬爾基
Brzozów,布若祖夫
Brok,布羅克
Brańsk,布蘭斯克
Bobowa,博博瓦
Błonie,布沃涅
Błażowa,布瓦若瓦
Biskupiec,比斯庫佩茨
Biecz,別奇
Biała Rawska,比亞瓦拉夫斯卡
Babsk,巴布斯克
Annopol,安諾波爾
Zielonka,傑隆卡
Przemyśl,普热梅希尔
Katowice,卡托维兹
Powiat lubiński,卢宾县
Suwałki,苏瓦乌基
Kielce,凯尔采
Piekary Śląskie,希隆斯克地區佩卡雷
Lublin,卢布林
Sosnowiec,索斯诺维茨
Olsztyn,奥尔什丁
Bierutów,別魯圖夫
Bieruń,別倫
Biała,比亞瓦普魯德尼茨卡
Barlinek,巴爾利內克
Bardo,巴爾多
Barcin,巴爾欽
Babimost,巴比莫斯特
Alwernia,阿爾韋尼亞
Debrzno,代布日諾
Dębno,登布諾
Czersk,切爾斯克
Czarnków,恰恩庫夫
Czaplinek,恰普利內克
Ciechocinek,切霍齊內克
Choszczno,霍什奇诺
Chojnów,霍伊努夫
Chodzież,霍傑日
Chocianów,霍恰努夫
Bytów,貝圖夫
Bukowno,布科夫諾
Brzeziny,布札希尼
Brześć Kujawski,庫亞維地區布熱希奇
Brusy,布魯瑟
Boguszów-Gorce,博古舒夫-戈爾采
Iłowa,伊沃瓦
Hel,赫爾
Gubin,古賓
Gryfice,格雷菲采
Grodzisk Wielkopolski,大波蘭地區格羅濟斯克
Gostynin,戈斯蒂寧
Gostyń,戈斯滕
Górzno,古日諾
Góra,古拉
Golub-Dobrzyń,戈盧布-多布任
Gniew,格涅夫
Głuszyca,格武希察
Głuchołazy,格武霍瓦濟
