Alexandra Stan,알렉산드라 스탄
Ikechi Anya,이케치 안야
Emil Constantinescu,에밀 콘스탄티네스쿠
George Emil Palade,조지 에밀 펄레이드
Alina Alexandra Dumitru,알리나 두미트루
Elena Ceaușescu,엘레나 차우셰스쿠
Alexandra Nechita,알렉산드라 네치타
Gheorghe Popescu,게오르게 포페스쿠
Răzvan Raț,러즈반 라츠
Lidia Șimon,리디아 시몬
Vika Jigulina,비카 지 구리나
Tristan Tzara,트리스탕 차라
Iolanda Balaș,이올란다 발라스
Monica Roșu,모니카 로슈
Dinu Lipatti,디누 리파티
Laura Badea,라우라 바데아
Cornelia Tăutu,코르넬리아 터우투
Ciprian Marica,치프리안 마리카
Corneliu Zelea Codreanu,코르넬리우 젤레아 코드레아누
Nicolae Văcăroiu,니콜라에 버커로이우
Inna,이나
Bogdan Lobonț,보그단 로본츠
Lavinia Miloșovici,라비니아 밀로쇼비치
Irina Spîrlea,이리나 스프를레아
Gabriela Szabó,가브리엘라 사보
Liviu Librescu,리비우 리브레스쿠
Alexandra Dulgheru,알렉산드라 둘게루
Vali Ionescu,발리 이오네스쿠
Monica Niculescu,모니카 니쿨레스쿠
Ana Pauker,아나 파우커
Mihai Răzvan Ungureanu,미하이 러즈반 운구레아누
Edward Maya,에드워드 마야
Dragoș Agache,드라고슈 아가케
Andreo Cseh,체흐 언도르
Octavian Goga,옥타비아 고가
Sorana Cîrstea,소라나 크르스테아
Florin Piersic,플로린 피에르시크
Ion Antonescu,이온 안토네스쿠
Simona Halep,시모나 할레프
Petru Groza,페트루 그로자
Chivu Stoica,키부 스토이카
Dan Bălan,단 벌란
Cristian Mungiu,크리스티안 문지우
Sergiu Celibidache,세르주 첼리비다케
Ștefan Radu,슈테판 라두
Anamaria Marinca,아나마리아 마린카
Constantin Brâncuși,콘스탄틴 브랑쿠시
Cătălina Ponor,커털리나 포노르
Ioana Raluca Olaru,랄루카 올라루
Edina Gallovits-Hall,에디나 갈로비츠홀
Marțian Negrea,마르치안 네그레아
Cleopatra Stratan,클레오파트라 스트라탄
Diana Chelaru,디아나 켈라루
Emil Boc,에밀 보크
Sorin Ghionea,소린 기오네아
Gheorghe Zamfir,게오르그 잠피르
Nadia Comăneci,나디아 코마네치
Alma Gluck,알마 글루크
Angelica Adelstein-Rozeanu,안젤리카 로제아누
Traian Băsescu,트라이안 버세스쿠
Aurelia Dobre,아우렐리아 도브레
György Kurtág,죄르지 쿠르탁
Dudu Georgescu,두두 제오르제스쿠
Alexandra Cadanțu,알렉산드라 카단추
Gabriel Tamaș,가브리엘 타마슈
Marian Aliuță,마리안 알리우차
Nicolae Timofti,니콜라에 티모프티
Paula Seling,파울라 셀린그
Herta Müller,헤르타 뮐러
Alexandru Averescu,알렉산드루 아베레스쿠
Ruxandra Dragomir,룩산드라 드라고미르
Viorel Moldovan,비오렐 몰도반
Titu Maiorescu,티투 마이오레스쿠
Doina Melinte,도이나 멜린테
Ana Maria Brânză,아나 마리아 브란저
Adrian Neaga,아드리안 네아가
Mircea Lucescu,미르체아 루체스쿠
Ion Iliescu,이온 일리에스쿠
Ilena Gheorghi,엘레나 게오르게
Paula Ivan,파울라 이반
Irina-Camelia Begu,이리나카멜리아 베구
Principesa Elisabeta a Romaniei,루마니아의 엘리사베트
Simona Amânar,시모나 아므나르
Daniela Silivaș,다니엘라 실리바슈
Paul Celan,파울 첼란
Angela Gheorghiu,안젤라 게오르기우
Eugen Ionescu,외젠 이오네스코
Emil Cioran,에밀 시오랑
Sandra Izbașa,산드라 이즈바샤
Ecaterina Szabó,에카테리나 사보
Maia Morgenstern,마이아 모르겐슈테른
Victor Ponta,빅토르 폰타
Florica Musicescu,플로리카 무시체스쿠
Panait Istrati,파나이트 이스트라티
Ana Blandiana,아나 블란디아나
Linda Maria Baros,린다 마리아 바로스
Mihai Mălaimare Jr.,미하이 멀러마레 주니어
Diana Mocanu,디아나 모카누
Camelia Potec,카멜리아 포테크
Maricica Puică,마리시카 푸이커
Vintilă Horia,빈틸러 호리아
Alexandra Maria Lara,알렉산드라 마리아 라라
Rose Ausländer,로제 아우슬렌더
Pavel Badea,파벨 바데아
Adrian Pintea,아드리안 핀테아
Petru Lucinschi,페트루 루친스치
Petre Becheru,페트레 베체루
Mihaela Peneș,미하엘라 페네슈
Daniel Niculae,다니엘 니쿨라에
Ion Gheorghe Maurer,이온 게오르게 마우레르
Robert Steinberg,로베르트 스테인베르그
Mircea Albulescu,미르체아 알불레스쿠
Oana Pantelimon,오아나 판텔리몬
Adina Ioana Vălean,아디나이오아나 벌레안
Jean Negulesco,진 네글레스코
Maria a României,에든버러의 마리아
Vladimir Filat,블라드 필라트
Adrian Ilie,아드리안 일리에
Florin Răducioiu,플로린 러두치오이우
Steve Holmes,스티브 홈즈
Hermann Oberth,헤르만 오베르트
Harvey Keitel,하비 카이텔
Gheorghe Hagi,게오르게 하지
Nadia Gray,나디아 그레이
Călin Popescu-Tăriceanu,컬린 포페스쿠터리체아누
Cristian Chivu,크리스티안 키부
Radu Șerban,라두 셰르반
Constantina Diță,콘스탄티나 디타
Adrian Diaconu,아드리안 디아코누
George Enescu,제오르제 에네스쿠
Șerban Ionescu,셰르반 이오네스쿠
Adrian Mutu,아드리안 무투
Mîndru Katz,민드루 카츠
Stefan W. Hell,스테판 헬
Mihaela Steff,미하엘라 스테프
Gheorghe Gheorghiu-Dej,게오르게 게오르기우데지
Eric Bicfalvi,에릭 빅팔비
Nicholas Georgescu-Roegen,니콜라서 제오르제스쿠 뢰겐
Gheorghe Dinică,게오르게 디니커
Nicolae Rainea,니콜라에 라이네아
Viorica Viscopoleanu,비오리카 비스코폴레아누
Walter Zenga,발테르 젠가
Mihai Ghimpu,미하이 김푸
Jean Alexandru Steriadi,장 알렉산드루 스테리아디
Mihai Pintilii,미하이 핀틸리
Cosmin Contra,코스민 콘트라
Valerică Găman,발레리커 거만
Erik Lincar,에리크 린카르
Bogdan Stelea,보그단 스텔레아
Cristian Dănălache,크리스티안 더널라케
Dan Lungu,단 룬구
Marius Urzică,마리우스 우르지커
Alexandru Chipciu,알렉산드루 키프치우
Radu Jude,라두 주데
Ilie Năstase,일리에 너스타세
Nichita Stănescu,니키타 스터네스쿠
Nicolae Dobrin,니콜라에 도브린
Dorin Goian,도린 고이안
Marius Niculae,마리우스 니쿨라에
Răzvan Cociș,러즈반 코치슈
Victor Pițurcă,빅토르 피추르커
Lucian Blaga,루치안 블라가
Cristian Săpunaru,크리스티안 서푸나루
Ștefan Kovács,슈테판 코바치
Nicu Vlad,니쿠 블라드
Mitică Popescu,미티커 포페스쿠
Mateiu Caragiale,마테이우 카라지알레
Radu Dărăban,라두 더러반
Eduard Pană,에두아르드 파너
Ion Draica,이온 드라이카
Ștefan Rusu,슈테판 루수
Ștefan Niculescu,슈테판 니쿨레스쿠
Alexandru Sirițeanu,알렉산드루 시리체아누
Simona Gherman,시모나 게르만
Agnès Ullmann,아녜스 울만
Nicolae Dică,니콜라에 디카
Theodor Rosetti,테오도르 로세티
Dacian Cioloș,다치안 치올로슈
Adrian Marius Stoian,아드리안 스토이안
Camil Ressu,카밀 레수
Gheorghe Berceanu,게오르게 베르체아누
Alfred Eisenbeisser,알프레드 에젠베이저
Iulian Tameș,이울리안 타메슈
Francisc Vaștag,프란치스크 바슈타그
Ion Coteanu,이온 코테아누
Mihai I al României,미하이 1세
Leonard Doroftei,레오나르드 도로프테이
Vasile Andrei,바실레 안드레이
Mircea Geoană,미르체아 제오아너
Tudor Arghezi,투도르 아르게지
Florin Prunea,플로린 프루네아
Dorinel Munteanu,도리넬 문테아누
Alexandra Bellow,알렉산드라 벨로
Tiberiu Dolniceanu,티베리우 돌니체아누
Florin Zalomir,플로린 잘로미르
Iorgu Iordan,이오르구 이오르단
Simona Păucă,시모나 퍼우커
Costel Pantilimon,코스텔 판틸리몬
Armand Călinescu,아르만드 컬리네스쿠
Crin Antonescu,크린 안토네스쿠
Paul Codrea,파울 코드레아
Dorin Mateuț,도린 마테우츠
Florin Gardoș,플로린 가르도쉬
Raul Rusescu,라울 루세스쿠
Mircea Cărtărescu,미르차 커르터레스쿠
Rovana Plumb,로바나 플룸브
Ioan Ovidiu Sabău,이오안 사버우
Ciprian Foiaș,치프리안 포이아슈
Maria-Victoria Drăguș,마리아빅토리아 드라구스
Ion Pîrcălab,이온 프르컬라브
George Piștereanu,조지 피스테레아누
Alla Baianova,알라 바이야노바
Horia Sima,호리아 시마
Nicolao Dumitru,니콜라오 두미트루
Fița Lovin,피타 로빈
Roxana Mărăcineanu,록사나 머러치네아누
Patriarhul Daniel,루마니아 총대주교 다니엘
Ștefan Mihăilescu-Brăila,슈테판 미허일레스쿠브러일라
Mirel Rădoi,미렐 러도이
Traian Lalescu,트라이안 랄레스쿠
Andrei Prepeliță,안드레이 프레펠리처
Elina Löwensohn,엘리나 뢰벤존
David Wechsler,데이비드 웩슬러
Bănel Nicoliță,버넬 니콜리처
Nelly Miricioiu,넬리 미리치오이우
Sebastian Stan,서배스천 스탠
Gabriel Torje,가브리엘 토르제
Dragoș Grigore,드라고슈 그리고레
Aurelian Chițu,아우렐리안 키추
Toma Caragiu,토마 카라지우
Silviu Lung Jr.,실비우 룬그 주니어
Ilie Dumitrescu,일리에 두미트레스쿠
Lazăr Șăineanu,라저르 셔이네아누
Bianca Pascu,비안카 파스쿠
Gheorghe Mureșan,게오르게 무레샨
Laura Cosoi,로라 코 코스이
Florentin Petre,플로렌틴 페트레
Horațiu Mălăele,호라치우 멀러엘레
Liviu Rebreanu,리비우 레브레아누
Lucian Sănmărtean,루치안 산머르테안
Răzvan Lucescu,러즈반 루체스쿠
Nicolae Stanciu,니콜라에 스탄치우
Șerban Foarță,셰르반 포아르처
Otilia Bădescu,오틸리아 바데스쿠
Alexandru Iulian Maxim,알렉산드루 막심
Gheorghe Tătărăscu,게오르게 터터레스쿠
Vlad Chiricheș,블라드 크리케슈
Alina Văcariu,알리나 버카리우
Radu Lupu,라두 루푸
Teoctist Arăpașu,루마니아 총대주교 테오치스트
Rodion Cămătaru,로디온 커머타루
Adrian Sînă,아드리안 시나
Eugen Lovinescu,에우젠 로비네스쿠
Daniel Ghiță,다니엘 기타
Ciprian Vasilache,치프리안 바실라케
Anca Măroiu,안카 머로이우
Florea Voinea,플로레아 보이네아
Gabriel Popescu,가브리엘 포페스쿠
Ana Caterina Morariu,아나 카테리나 모라리우
Cosmin Olăroiu,코스민 올러로이우
Ianis Zicu,이아니스 지쿠
Sorin Babii,소린 바비
Nicolae Kovács,니콜라에 코바치
Alexandru Macedonski,알렉산드루 마체돈스키
Cosmina Stratan,코스미나 스트라탄
Andrei Ivanovitch,안드레이 이바노비치
