Ernests Gulbis (tenisists),厄內斯特·古爾比斯
Mihails Barišņikovs,米哈伊尔·巴里什尼科夫
Kārlis Ulmanis,卡尔利斯·乌尔马尼斯
Frīdrihs Ketlers,腓特烈·克特勒
Juris Hartmanis,尤里斯·哈特马尼斯
Vitālijs Astafjevs,维塔利耶斯·阿斯塔夫耶夫斯
Aleksandrs Cauņa,亞歷山德克斯·考納
Mihails Tāls,米哈伊尔·塔尔
Pēteris Vasks,彼得里斯·瓦斯克斯
Valters Caps,瓦尔特·察普
Aleksandrs Fertovs,亞歷山德克斯·化圖夫斯
Andris Nelsons,安德里斯·尼尔森斯
Mareks Mejeris,馬雷克斯·梅耶里斯
Jānis Čakste,雅尼斯·恰克斯特
Andris Biedriņš,安德里斯·比耶德里尼什
Andris Šics,安德里斯·希茨
Andris Vaņins,安德里斯·瓦寧斯
Valdis Dombrovskis,瓦尔季斯·东布罗夫斯基斯
Guntis Ulmanis,貢季斯·烏爾馬尼斯
Rainis,瑞尼斯
Egils Levits,埃吉尔斯·莱维茨
Jānis Pujats,若望·普亞茲
Einars Repše,埃纳尔斯·雷普舍
Vitālijs Maksimenko,维塔利斯·马克西蒙科
Herberts Cukurs,赫柏茨·希庫爾斯
Jānis Bērziņš (militārpersona),扬·别尔津
Andris Bērziņš (Latvijas prezidents),安德里斯·貝爾津什·(拉脫維亞總統)
Latvieši,拉脫維亞人
Jēkabs Ketlers,雅各布·克特勒
Dzidra Ritenberga,德琪德拉·里腾贝加
Augusts Voss,奥古斯特·沃斯
Vaira Vīķe-Freiberga,維拉·薇契-斐柏嘉
Gidons Krēmers,基東·克雷默
Mariss Jansons,马里斯·扬颂斯
Miša Maiskis,米沙·麦斯基
"Andris Bērziņš (politiķis, 1951)",安德里斯·贝尔津什·(拉托维亚总理)
Dairis Bertāns,達里斯·貝坦斯
Vilis Lācis,维利斯·拉齐斯
Aleksandrs Koliņko,阿萊克桑德斯·科林科
Vilhelms Ketlers,威廉·克特勒
Pēteris Stučka,彼得·斯图奇卡
"Igors Stepanovs (futbolists, 1976)",伊戈尔斯·斯特帕诺夫斯
Valdis Zatlers,瓦尔季斯·扎特莱尔斯
Aleksandrs Šabalovs,亚历山大·沙巴洛夫
Juris Šics,尤里斯·希茨
Kristaps Janičenoks,克里斯塔普斯·揚尼切諾克斯
Alfrēds Rubiks,阿尔弗雷兹·鲁比克斯
Alberts Kviesis,阿尔贝茨·克维埃西斯
Dāvis Bertāns,戴維斯·貝坦斯
Aleksejs Višņakovs,阿萊克塞斯·維斯納科夫斯
Augusts Kirhenšteins,奥古斯特·基尔兴施泰因
Luīze Šarlote no Brandenburgas,布蘭登堡的路易絲·夏洛特
Uļjana Semjonova,乌莉娅娜·谢苗诺娃
Edvīns Šnore,埃德温·斯努尔
Ivars Smilga,伊瓦尔·斯米尔加
Indulis Emsis,因杜利斯·埃姆西斯
Aigars Kalvītis,艾加尔斯·卡尔维季斯
Māris Štrombergs,马里斯·斯特罗姆伯格斯
Alberts Rumba,艾伯茨·伦巴
Jēkabs Peterss,雅科夫·彼得斯
Kārlis Ozoliņš (valsts darbinieks),卡利斯·奥佐林什
Ivars Godmanis,伊瓦尔斯·戈德马尼斯
Māris Verpakovskis,马里斯·维尔帕科夫斯基斯
Alberts Kauls,阿尔伯特·考尔斯
