Россия,俄罗斯
Нижегородская область,下诺夫哥罗德州
Новгородская область,諾夫哥羅德州
Кострома,科斯特羅馬
Русская православная церковь,俄罗斯正教会
Жигули (возвышенность),日古利山脈
Нева,涅瓦河
Йошкар-Ола,约什卡尔奥拉
Внутренние войска МВД России,俄罗斯内卫部队
Ярославль,雅罗斯拉夫尔
Ярославская область,雅羅斯拉夫爾州
Санкт-Петербург,圣彼得堡
Уфтюга (приток Северной Двины),烏夫秋加河·(北德維納河支流)
Чувашия,楚瓦什共和国
Tinkoff,京科夫车队
Вага (приток Северной Двины),瓦加河
Балтийское море,波罗的海
Чёрное море,黑海
Волга,伏尔加河
Тверь,特维尔
Тверская область,特维尔州
АвтоВАЗ,AvtoVAZ
Москва,莫斯科
Смоленск,斯摩棱斯克
Смоленская область,斯摩棱斯克州
76-я гвардейская десантно-штурмовая дивизия,俄羅斯空降軍第76近衛空中突擊師
Лапландия,萨米·(地区)
Свердловская область,斯維爾德洛夫斯克州
Российско-британские отношения,俄英關係
Золотое кольцо России,俄羅斯金環
Новосибирск,新西伯利亚
Ивановская область,伊万诺沃州
Сакмара,薩克馬拉河
Вычегда,維切格達河
Большой Ик (приток Сакмары),大伊克河
Каспийское море,裏海
Усть-Куломский район,烏斯季庫洛姆區
Кумо-Манычская впадина,庫馬-馬內奇盆地
Российско-чешские отношения,捷克—俄羅斯關係
Кубань (река),庫班河
Чёрная речка (станция метро),黑溪站·(聖彼得堡地鐵)
Терек,捷列克河
Костромская область,科斯特罗马州
Абакан,阿巴坎
Иваново,伊万诺沃
Екатеринбург,葉卡捷琳堡
Лебедь (река),列別季河
Устья,烏斯季亞河
Уфтюга (приток Сухоны),烏夫秋加河·(蘇霍納河支流)
Лежа (река),列扎河
Нижний Новгород,下诺夫哥罗德
Индигирка,因迪吉爾卡河
Анабар,阿納巴爾河
Алазея,阿拉澤亞河
Сухона,蘇霍納河
Российская академия наук,俄羅斯科學院
Российско-германские отношения,德國—俄羅斯關係
Российско-французские отношения,法俄关系
Волчанск (Россия),沃爾昌斯克·(俄羅斯)
Российско-греческие отношения,希臘—俄羅斯關係
Российско-турецкие отношения,俄罗斯—土耳其关系
Самара,薩馬拉
Иланский,伊蘭斯基
Чебоксары,切博克萨雷
Кавказские горы,高加索山脉
Татарстан,鞑靼斯坦共和国
Тавда (река),塔夫達河
Катастрофа Ан-28 под Паланой (2012),2012年堪察加彼得罗巴甫洛夫斯克航空251号班机空难
Тульская область,图拉州
"Владимир (город, Россия)",弗拉基米尔·(俄罗斯)
Московский метрополитен,莫斯科地铁
Владимирская область,弗拉基米尔州
Кузнецкий Алатау,库兹涅茨克山
Знамя Победы,胜利旗
Чир (река),奇爾河
Заозёрный,扎奧焦爾內
Дмитриев (город),德米特里耶夫-利戈夫斯基
Дзержинск (Нижегородская область),捷尔任斯克·(下诺夫哥罗德州)
Пензенская область,奔萨州
Зеленоградск,澤列諾格拉茨克
Куршская коса,庫爾斯沙嘴
Кулой (приток Ваги),庫洛伊河·(瓦加河支流)
Вель (приток Ваги),韋利河
Тюменский район,秋明區
Селенга,色楞格河
Турки,土耳其人
Омск,鄂木斯克
Казань,喀山
Тула,圖拉·(圖拉州)
Рязань,梁赞
Рязанская область,梁赞州
Байкал,贝加尔湖
Пенза,奔萨
Курчатов (Россия),庫爾恰托夫
Обоянь,奧博揚
Суджа,蘇賈
Железногорск (Курская область),热列兹诺戈尔斯克·(库尔斯克州)
Волгоград,伏尔加格勒
Ростов-на-Дону,顿河畔罗斯托夫
Челябинск,車里雅賓斯克
Гвардейский район (Калининградская область),近衛軍城區
Инструч,因斯特魯奇河
Анграпа,安格拉普河
Балтийский городской округ,波羅的斯克區·(加里寧格勒州)
Лава (приток Преголи),維納河
Брянская область,布良斯克州
Куршский залив,庫爾斯潟湖
Балтийская коса,維斯瓦沙嘴
Евразийская степь,欧亚大草原
Яна (река),亚纳河
Гурьевский район (Калининградская область),古里耶夫斯克區·(加里寧格勒州)
Янтарный,扬塔尔内
Беловежские соглашения,別洛韋日協議
Багратионовский район,巴格拉季奧諾夫斯克區
Альянс зелёных,绿色联盟·(俄罗斯)
Черняховск,切尔尼亚霍夫斯克
Пермь,彼尔姆
Уфа,烏法
Калуга,卡盧加
Калужская область,卡卢加州
Брянск,布良斯克
Неман,尼曼河
Писса,皮薩河
1С,1C公司
Калининградский залив,维斯图拉潟湖
Преголя,普列戈利亚河
Енисей,葉尼塞河
Озёрский район (Калининградская область),奧焦爾斯克區
Нестеровский район,涅斯捷羅夫區
Неманский район,涅曼區
Томск,托木斯克
Камчатка,堪察加半島
Курская область,库尔斯克州
Белгород,别尔哥罗德
Гвардейск,近衛軍城
Неман (город),涅曼
Башкортостан,巴什科尔托斯坦共和国
Краснознаменский район,克拉斯諾茲納緬斯克區
Триумф-Палас,凱旋宮
Кур (приток Тунгуски),庫爾河·(通古斯卡河支流)
Убсу-Нур,烏布蘇湖
Тюмень,秋明
Надым (река),納德姆河
Курильские острова,千島群島
Зеленоградский район,澤列諾格拉茨克區
Тольятти,陶里亚蒂
Колыма,科力馬河
Кама,卡馬河
Онега (река),奧涅加河
Балтийск,波羅的斯克
Гусев (город),古谢夫·(加里宁格勒州)
Светлый (Калининградская область),斯韋特雷·(加里寧格勒州)
Мезень (река),梅津河
Урал (река),乌拉尔河
Гусевский район,古謝夫區
Нижняя Таймыра,泰梅爾河
Томская область,托木斯克州
Фигурное катание на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會花式滑冰比賽
Тамбовская область,坦波夫州
Чукотский полуостров,楚科奇半岛
Дон,頓河
Воронежская область,沃罗涅日州
Воронеж,沃罗涅日
Челябинская область,车里雅宾斯克州
Белгородская область,别尔哥罗德州
Красноярск,克拉斯諾亞爾斯克
Владивосток,海參崴
Орёл (город),奧廖爾
Тыва,图瓦共和国
Орловская область,奥廖尔州
Обь,鄂畢河
Шешупе,舍舒佩河
Ульяновск,乌里扬诺夫斯克
Виштынецкое,維什蒂蒂斯湖
Курск,库尔斯克
Советск (Калининградская область),苏维埃茨克·(加里宁格勒州)
Ульяновская область,乌里扬诺夫斯克州
Финский язык,芬兰语
Липецк,利佩茨克
Новосибирская область,新西伯利亚州
Таз (река),塔茲河
Пур,普爾河
Липецкая область,利佩茨克州
Тамбов,坦波夫
Пясина,皮亞西納河
Курганская область,库尔干州
Новая Земля,新地岛
Маньчжурия,满洲
Тюменская область,秋明州
Омская область,鄂木斯克州
Самарская область,萨马拉州
Московская область,莫斯科州
Краснодар,克拉斯诺达尔
Ростовская область,罗斯托夫州
Дивногорск,季夫諾戈爾斯克
Дзержинский (город),捷爾任斯基·(莫斯科州)
Десногорск,傑斯諾戈爾斯克
Демидов (город),傑米多夫·(斯摩棱斯克州)
Города России,俄羅斯城市和城鎮人口列表
Алтайский край,阿尔泰边疆区
Хатанга (река),哈坦加河
Алтайские горы,阿尔泰山脉
Республика Алтай,阿尔泰共和国
Калининградская область,加里宁格勒州
Краснодарский край,克拉斯诺达尔边疆区
Майкоп,邁科普
Адыгея,阿迪格共和国
Волгоградская область,伏尔加格勒州
Барнаул,巴尔瑙尔
Горно-Алтайск,戈爾諾-阿爾泰斯克
Архангельск,阿尔汉格尔斯克
Долгопрудный,多爾戈普魯德內
Долинск,多林斯克
Калининград,加里寧格勒
Добрянка,多布良卡
Дно (город),德诺
Астрахань,阿斯特拉罕
Мурманская область,摩爾曼斯克州
Дигора,季戈拉
Мурманск,摩爾曼斯克
Димитровград (Россия),季米特洛夫格勒·(俄罗斯)
Дмитровск,季米特洛夫斯克
Домодедово (город),多莫傑多沃
Донской (город),頓斯科伊
Астраханская область,阿斯特拉罕州
Калмыкия,卡尔梅克共和国
Чембар (река),大切姆巴爾河
Ханты-Мансийский автономный округ — Югра,汉特-曼西自治区
Дубовка,杜博夫卡
Дудинка,杜金卡
Духовщина,杜霍夫希納
Дюртюли,久爾秋利
Петрозаводск,彼得罗扎沃茨克
Карелия,卡累利阿共和国
Ханты-Мансийск,汉特-曼西斯克
Дрезна,德列茲納
Дорогобуж,多羅戈布日
Дубна,杜布纳
Кызыл,克孜勒
Кемерово,克麥羅沃
Кемеровская область,克麦罗沃州
Архангельская область,阿尔汉格尔斯克州
Ейск,葉伊斯克
Егорьевск,葉戈里耶夫斯克
Елабуга,叶拉布加
Дятьково,佳季科沃
Население России,俄罗斯人口
Элиста,埃利斯塔
Арчинцы,阿尔奇人
Приморский край,滨海边疆区
