Jūrmala,尤爾馬拉
Plostošana,木材漂流
Irbes šaurums,伊尔本海峡
Jelgava,叶尔加瓦
Rīgas Tehniskā universitāte,里加工业大学
Aknīste,阿克尼斯泰
Rīgas radio un televīzijas tornis,里加广播电视塔
Latvija,拉脫維亞
Latvijas brūnā,拉脱维亚褐牛
Pulvertornis,火药塔
lietuvieši,立陶宛人
Saeima,拉脱维亚议会
Limbažu rajons,林巴日區
latviešu mitoloģija,拉脫維亞神話
Latvijas futbola izlase,拉脫維亞國家足球隊
Kurzeme,庫爾蘭
Baltijas Basketbola līga,波羅的海籃球聯賽
Baltic International Airlines,波羅的海國際航空
Sabile,薩比萊
1949. gada marta deportācijas,冲浪行动
Rīgas Svētā Jēkaba Romas katoļu katedrāle,里加圣雅各伯主教座堂
ESR stacijas kods,ESR車站代碼
Tukums,圖庫姆斯
Piltene,皮尔泰内
Latvijas dzelzceļi,拉脱维亚铁路运输
Latvijas Futbola federācija,拉脫維亞足球總會
Sigulda,錫古爾達
Latvijas Nacionālie bruņotie spēki,拉脫維亞國家武裝部隊
Viesīte,維耶西泰
Arēna Rīga,里加體育館
Bauskas pils,包斯卡城堡
Aloja,阿洛亞
Salacgrīva,薩拉茨格里瓦
Rēzekne,雷澤克內
Liepājas diecēze,天主教利耶帕亞教區
Varakļānu novads,瓦拉克利亞尼市鎮
Rīgas Centrāltirgus,里加中央市場
Jēkabpils,葉卡布皮爾斯
Pāvilosta,帕維洛斯塔
Durbe,杜爾貝
Alsunga,阿尔松加
Alūksnes ezers,阿盧克斯內湖
Zinātņu akadēmijas augstceltne,拉脱维亚科学院
Aizpute,艾茲普泰
Ainaži,艾納日
Aizkraukle,艾兹克劳克莱
Brocēni,布羅采尼
Smiltene,斯米爾泰內
Saulkrasti,紹爾克拉斯蒂
Jaunjelgava,新葉爾加瓦
Viļāni,維利亞尼
Zilupe,濟盧佩
PSRS basketbola izlase,蘇聯國家籃球隊
Valpurģu nakts,沃普尔吉斯之夜
Zilupe,錫尼亞亞河
Baltijas Asambleja,波罗的海会议
Baltijas Līga futbolā,波羅的海聯賽
Baltijas jūra,波罗的海
Venta,文塔河
Latvijas Valsts prezidents,拉脫維亞總統
Strūves ģeodēziskais loks,斯特鲁维测地弧
Kuldīgas rajons,庫爾迪加區
LNB identifikators,拉脫維亞國家圖書館識別碼
Tukuma rajons,圖庫姆斯區
Valmieras rajons,瓦爾米耶拉區
Rīga,里加
transkripcija latviešu valodā,拉脱维亚语转写
Vienotais reģistrācijas numurs,拉脱维亚统一注册号码
jidišs,意第緒語
Krāslava,克拉斯拉瓦
Rīgas rajons,里加區
Kurzemes cietoksnis,库尔兰包围战
Mežaparka koncentrācijas nometne,凱薩梅斯集中營
Balvi,巴爾維
NUTS:LV,拉脫維亞地域統計單位命名法
Rumāņi,羅馬尼亞人
Latvijas ģerbonis,拉脱维亚国徽
Līdztiesība,平權黨
Cēsu kaujas,采西斯战役
Aizkraukles rajons,艾茲克勞克萊區
Saldus rajons,薩爾杜斯區
Latvijas Kauss futbolā,拉脫維亞杯
inguši,印古什人
eiro,歐元
Līvi,利沃尼亚人
2009. gada Eiropas čempionāts basketbolā sievietēm,2009年欧洲女子篮球联赛
Latvijas Banka,拉脫維亞銀行
2003. gada Eirovīzijas dziesmu konkurss,2003年欧洲歌唱大赛
Latvijas okupācija,蘇聯入侵拉脫維亞
Rīgas Svētā Pētera baznīca,圣彼得教堂
Staicele,斯泰采萊
Gulbene,古爾貝內
Dobele,多貝萊
Jēkabpils rajons,葉卡布皮爾斯區
Liepājas rajons,利耶帕亞區
Latvijas administratīvais iedalījums,拉脫維亞行政區劃
Ogre,奧格雷
Salaspils,薩拉斯皮爾斯
Talsu rajons,塔爾西區
Ogres rajons,奧格雷區
Saldus,薩爾杜斯
Ludza,盧扎
Pērkonkrusts,雷十字
dienvidigauņu dialekts,南爱沙尼亚语
FK Ventspils,文茨皮尔斯足球俱乐部
Daugavpils rajons,陶格夫匹爾斯區
Vidzeme,維澤梅
Kārsava,卡爾薩瓦
Skonto halle,斯孔托體育館
Koknese,科肯胡森
Starptautiskā lidosta "Rīga",里加国际机场
Latgale,拉特加爾
Latvijas Republikas Civillikums,拉脱维亚共和国民法典
Gauja,高亞河
Latvija Bērnu Eirovīzijas dziesmu konkursā,拉脫維亞在歐洲青少年歌唱大賽之歷年表現
Varakļāni,瓦拉克利亞尼
Viļaka,維利亞卡
Svētā Mārtiņa diena,聖瑪爾定節
Eiropas autoceļš E67,欧洲E67公路
Preiļu rajons,普雷利區
Ikšķile,伊克斯基萊
Mazsalaca,馬茲薩拉察
Lubāna,盧巴納
Bauskas rajons,包斯卡區
Dobeles rajons,多貝萊縣
Valkas rajons,瓦爾卡區
FB Gulbene,古爾貝內足球俱樂部
Krāslavas rajons,克拉斯拉瓦區
Latvijas Sociālistiskā partija,拉脱维亚社会党
Kandava,坎達瓦
Līvāni,利瓦尼
Cesvaine,采斯瓦伊內
Dagda,達格達
Zemgale,瑟米加利亞
Lielupe,利耶盧佩河
latviešu valoda,拉脫維亞語
