Tratado de Lisboa,리스본 조약
Portugal,포르투갈
identificador PTBNP,포르투갈 국립도서관 ID
Universidade do Minho,미뉴 대학
Metro do Porto,포르투 지하철
Rio Vouga,보가강
Rio Mondego,몬데구강
Ilha da Madeira,마데이라섬
Classificação Nacional de Profissões (CPP-2010),포르투갈 직업분류2010 식별자
Francesinha,프란세지냐
Rio Sado,사두강
Qualificações para o Campeonato Europeu de Futebol de 2004,UEFA 유로 2004 예선
Porto,포르투
Casamento entre pessoas do mesmo sexo em Portugal,포르투갈의 동성결혼
Igreja dos Clérigos,클레리구스 교회
Lisboa,리스본
.pt,.pt
Coimbra,코임브라
Alentejo,알렌테주 지방
Algarve,알가르브 지방
língua tétum,테툼어
Ilhas Selvagens,새비지 제도
Porto Santo,포르투산투섬
português,포르투갈어
Funchal,푼샬
Grande Prémio de Portugal,포르투갈 그랑프리
Açores,아소르스 제도
galego,갈리시아어
Praia da Vitória,프라이아다비토리아
Taça de Portugal,타사 드 포르투갈
Comboios de Portugal,포르투갈 철도
Torres Novas,토흐스노바스
Vinho da Madeira,마데이라 포도주
Ilhas Desertas,데제르타스 제도
Madeira,마데이라 제도
Sporting Clube de Braga,SC 브라가
Sporting Clube de Portugal,스포르팅 CP
Estradas europeias,유럽 고속도로
Macaronésia,마카로네시아
entidade intermunicipal,만코무니다드
Estação Ferroviária de Lisboa-Santa Apolónia,산타아폴로니아역
euro,유로
Região Norte,북부 지역
Área Metropolitana de Lisboa,리스본 수도권
Campeonato Europeu de Futebol de 2004,UEFA 유로 2004
estrada europeia 802,유럽 고속도로 802호선
Região do Centro,센트루 지방
Supercopa da UEFA de 2004,2004년 UEFA 슈퍼컵
Euronext,유로넥스트
Associação Naval 1º de Maio,아소시아상 나발 1º 드 마이우
transferência da soberania de Macau,마카오 반환
Covilhã,코빌량
Estádio Municipal de Braga,이스타디우 무니시팔 드 브라가
Península Ibérica,이베리아반도
Cartaxo,카르타슈
Ribatejo,히바테주주
asturiano,아스투리아스어
Partido Socialista,사회당
Braga,브라가
Matosinhos,마토지뉴스
Guadiana,과디아나강
Palácio Nacional de Sintra,신트라궁
rio Tejo,타구스강
Grupo Desportivo de Chaves,GD 샤베스
Portimão,포르티망
mirandês,미란다어
Resende,헤젠드
Santarém (cidade),산타렝군
Rio Minho,미뉴강
árabe,아랍어
Rio Douro,도루강
Vinhais,비냐이스
Viseu,비제우
Sacavém,사카벵
Futebol Clube do Porto,FC 포르투
estrada europeia 80,유럽 고속도로 80호선
Tratado de Amizade e Não Agressão Luso-Espanhol,이베리아 조약
Bloco de Esquerda,좌파연합
Aeroporto João Paulo II,요한 바오로 2세 공항
Lamego,라메고
Moura,모라
Cuba,쿠바
Castro Verde,카스트루베르드
Aeroporto do Porto Santo,포르투산투 공항
Sport Lisboa e Benfica,SL 벤피카
Al-Andalus,알안달루스
Varzim Sport Club,바르징 SC
Lagoa,라고아
Nordeste,노르데스트
Santa Maria da Feira,산타마리아다페이라
estrada europeia 805,유럽 고속도로 805호선
Portugal nos Jogos Olímpicos de Inverno de 2010,2010년 동계 올림픽 포르투갈 선수단
Portugal nos Jogos Olímpicos de Verão de 2000,2000년 하계 올림픽 포르투갈 선수단
Portugal nos Jogos Olímpicos de Verão de 1948,1948년 하계 올림픽 포르투갈 선수단
estrada europeia 806,유럽 고속도로 806호선
Contra armada inglesa,잉글랜드 무적함대
Vila Franca do Campo,빌라프랑카두캄푸
Arouca,아로카
Portugal nos Jogos Olímpicos de Verão de 1912,1912년 하계 올림픽 포르투갈 선수단
Portugal nos Jogos Olímpicos de Verão de 1960,1960년 하계 올림픽 포르투갈 선수단
Vila do Conde,빌라두콘드
Ansião,안시앙
Terceira Travessia do Tejo,제3테주교
Vizela,비젤라
Esposende,이스포젠드
Benavente,베나벤트
Armamar,아르마마르
Estação Ferroviária de Porto — São Bento,상벤투역
Final da Liga Europa da UEFA de 2010-11,2011 UEFA 유로파리그 결승전
Ordem dos Frades Menores,작은형제회
Linha do Sul,술선
Moedas de euro portuguesas,포르투갈의 유로 주화
Santo Tirso,산투티르수
Seleção Portuguesa de Futebol Feminino,포르투갈 여자 축구 국가대표팀
Ribeira Grande,히베이라그란드
Povoação,포보아상
Portugal nos Jogos Olímpicos de Verão de 1980,1980년 하계 올림픽 포르투갈 선수단
Convento do Carmo,카르모 수도원
português europeu,유럽 포르투갈어
Portel,포르텔
Ilha Graciosa,그라시오자섬
Fundão,푼당
Loures,로르스
Mosteiro de Alcobaça,알코바사 수도원
Sátão,사탕
Oeiras,오에이라스
Elevador de Santa Justa,산타주스타 리프트
padrão,파드랑
Hanno,한노
Instituto Camões,카몽이스 문화원
Guerra Colonial Portuguesa,포르투갈 식민지 전쟁
Loulé,롤레
Partido Social Democrata,사회민주당
Gil Vicente Futebol Clube,질 비센트 FC
A Portuguesa,포르투갈의 국가
Faro,파루 (도시)
Montanha do Pico,피쿠산
Primeira República Portuguesa,포르투갈 제1공화국
Supercopa da UEFA de 2003,2003년 UEFA 슈퍼컵
Cabo da Roca,호카곶
Brasões de antigos territórios portugueses,포르투갈 식민지의 문장
Alcochete,알코셰트
Portimonense Sporting Clube,포르티모넨스 SC
Sporting Clube Olhanense,SC 올랴넨스
Estádio Municipal de Aveiro,이스타디우 무니시팔 드 아베이루
Aeroporto Francisco Sá Carneiro,프란시스쿠 드 사 카르네이루 공항
Ponta do Sol,폰타두솔
Caminho Português de Santiago,포르투갈 순례길
Guimarães,기마랑이스
Rio Maior,히우마이오르
Portugália Airlines,포르투갈리아
White Airways,화이트 항공
Ilha do Corvo,코르부섬
EuroAtlantic Airways,유로 애틀랜틱 항공
Clube Desportivo de Mafra,C.D. 마프라
Primeira Liga de 2012/2013,2012-13 프리메이라리가
União Nacional,국가연합당
Grupo Desportivo Estoril Praia,GD 이스토릴 프라이아
Descoberta do caminho marítimo para a Índia,포르투갈의 인도 항로 개척
Rio Ave Futebol Clube,히우 아브 FC
Paredes,파레드스
Praça de D. Pedro IV,호시우 광장
