Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Angela Merkel,安格拉·默克尔
Gustl Bayrhammer,古斯特尔·拜勒哈默
Ottfried Fischer,奥特弗莱德·费舍尔
Markus Lanz,马库斯·兰兹
Klaus Ernst,克劳斯·恩斯特
Giovane Élber,吉奥瓦尼·埃尔伯
Georg Schwarzenbeck,格奥尔格·施瓦岑贝克
Franz Mehring,弗兰茨·梅林
Björn Otto,比约恩·奥托
David Storl,大卫·斯托尔
Roman Neustädter,羅曼·諾伊施泰特
Sabine Bau,扎比内·鲍
Romano Guardini,郭蒂尼
Rupprecht von Bayern,鲁普雷希特
Jürgen Grabowski,尤尔根·格拉博夫斯基
Peter Sloterdijk,彼得·斯洛特戴克
Bernd Hölzenbein,贝恩德·霍尔岑拜因
Alexander Herrmann,亚历山大·赫尔曼
Patrick Ebert,帕特里克·埃伯特
Katja Ebstein,赫伯特·奈普
Andreas Eschbach,安德里亚斯·埃施巴赫
Luise Rainer,露薏絲·蕾娜
Albert Einstein,阿尔伯特·爱因斯坦
Fritz Lang,弗里茨·朗
Jan Delay,乔·德来尼
Franzl Lang,弗朗茨·郎
Rainer Bonhof,莱纳·邦霍夫
Johann Jürgens,约翰·于尔根斯
Tom Schilling,汤姆·希林
Wolfgang Fierek,沃尔夫冈·菲耶里克
Bernhard Langer,伯納德·蘭格
Franz von Stuck,弗朗茨·冯·施图克
Thomas Kraft,托馬斯·克拉夫特
Robert Harting,罗伯特·哈丁
Karl Lehmann,卡爾·萊曼
Friedrich Wetter,費德廉·維特爾
Benedikt XVI.,本篤十六世
Hark Bohm,哈爾克·波姆
Gonzalo Castro,干沙路·卡斯度
Johannes Schmoelling,约翰内斯·施默林
Ernst Karl August Klemens von Mann,恩斯特·卡爾·奧古斯特·克萊門斯·馮·曼
Martin Schulz,馬丁·舒爾茨
Carl Amery,卡尔·阿莫瑞
Winfried Frey,温弗里德·弗雷
Hanna Schygulla,漢娜·許古拉
Willy Astor,威利·阿斯特
Bernd Helfrich,伯恩德·赫尔弗里奇
