Tokyo,東京
Sapporo,札幌市
Nagoya,名古屋市
Osaka,大阪市
Honshū Island,本州
Kyushu,九州
Kyoto,京都
Kobe,神户市
Japan,日本
Fukuoka,福岡市
Shikoku,四國
Kawasaki,川崎市
Matsuyama,松山市
Takamatsu,高松市
Shizuoka,靜岡市
Hokkaido,北海道
Hakodate,函館市
Aomori,青森市
Morioka,盛岡市
Akita,秋田市
Anjō,安城市
Nara-shi,奈良市
Naha,那霸市
Matsue,松江市
Kumamoto,熊本市
Tsu,津市
Tottori,鳥取市
Tokyo Prefecture,东京都
Saga,佐賀市
Ōtsu,大津市
Okinawa,沖繩縣
Kōfu,甲府市
Kitakyushu,北九州市
Kawaguchi,川口市
Hamamatsu,滨松市
Gifu-shi,岐阜市
Honchō,船橋市
Kushiro,釧路市
Kitami,北見市
Hirosaki,弘前市
Asahikawa,旭川市
Narita,成田市
Kōriyama,郡山市
Iwaki,磐城市
Ishinomaki,石卷市
Ichinoseki,一关市
Ichihara,市原市
Hitachi,日立市
Abiko,我孫子市
Otaru,小樽市
Beppu,別府市
Ashikaga,足利市
Niihama,新居濱市
Niigata-ken,新潟縣
Nagasaki Prefecture,長崎縣
Nagareyama,流山市
Nagaoka,長岡市
Musashino,武藏野市
Moriguchi,守口市
Miyakonojō,都城市
Mishima,三島市
Matsumoto,松本市
Matsudo,松戶市
Machida,町田市
Kurume,久留米市
Kure,吳市
Kurashiki,倉敷市
Kumagaya,熊谷市
Atsugi,厚木市
Akashi,明石市
Zama,座間市
Yonago,米子市
Yokosuka,橫須賀市
Yokkaichi,四日市市
Yaizu,燒津市
Urayasu,浦安市
Uji,宇治市
Ueda,上田市
Ube,宇部市
Tsuyama,津山市
Toyota,丰田市
Toyohashi,豐橋市
Tokorozawa,所澤市
Tochigi,栃木市
Takasaki,高崎市
Takarazuka,寶塚市
Takaoka,高岡市
Suzuka,鈴鹿市
Suita,吹田市
Shimonoseki,下关市
Seto,瀨戶市
Satsumasendai,薩摩川內市
Sasebo,佐世保市
Sakai,堺市
Ōmuta,大牟田市
Ōme,青梅市
Okazaki,岡崎市
Odawara,小田原市
Numazu,沼津市
