王明娟,왕밍쥐안
唐奕,탕이
滕尚华,텅상화
张国政 (举重运动员),장궈정
张昊,장하오
陈定,천딩
胡耀邦,후야오방
张会,장후이
于文霞,위원샤
许昱华,쉬위화
周春秀,저우춘슈
周海滨,저우하이빈
张吉龙,장지룽
刘春红,류춘훙
陈艳青,천옌칭
庞清,팡칭
李彦宏,리옌훙
刘天祺,류톈치
李艳凤,리옌펑
邢慧娜,싱후이나
郭跃,궈웨
李婷,리팅
陈丹燕,천단옌
李磊,리레이
毛澤東,마오쩌둥
刘亦菲,류이페이
巩立姣,궁리자오
巴金,바진
梁振英,렁춘잉
郑智,정즈
佟文,퉁원
易思玲,이쓰링
杜丽,두리
张军,장쥔
孙雯,쑨원
丁宁,딩닝
白雪,바이쉐
黄现璠,황샨판
仲满,중만
李冰冰,리빙빙
张继科,장지커
胡锦涛,후진타오
赵紫阳,자오쯔양
邓颖超,덩잉차오
俞正声,위정성
哈金,하진
张强,장창
莫言,모옌
習近平,시진핑
梁洛施,이사벨라 롱
阳蕾,양레이
周继红,저우지훙
曾蔭權,쩡인취안
董建華,둥젠화
王北星,왕베이싱
李晓霞,리샤오샤
朱广沪,주광후
赵乐际,자오러지
赵季平,자오지핑
张琳,장린
章明,장밍
张楠,장난
王小雲,왕샤오윈
郭士强,궈스창
劉少奇,류사오치
錢琳,첸링
許鞍華,허안화
程菲,청페이
曹磊,차오레이
王曼麗,왕만리
余文樂,여문락
周强,저우창
邹市明,쩌우스밍
黎明,여명
周璐璐,주룰루
鄧朴方,덩푸팡
邓小平,덩샤오핑
载沣,재풍
臧家亮,장자량
张娟娟,장쥐안쥐안
張樂平,장러핑
张连伟,장롄웨이
郭富城,궈푸청
溫家寶,원자바오
劉德華,유덕화
周文重,저우원중
卫慧,웨이후이
江澤民,장쩌민
楊利偉,양리웨이
張玉良,판위량
杨维,양웨이
罗雪娟,뤄쉐좐
庞佳颖,팡자잉
萨顶顶,사딩딩
第十四世達賴喇嘛,텐진 갸초
丁玲,딩링
谢富治,셰푸즈
范徐麗泰,리타 판
张庆伟,장칭웨이
白岩松,바이옌쑹
马凯,마카이
周小川,저우샤오촨
周妍,저우옌
周迅,저우쉰
陈露,천루
李娜,리나
谭雪,탄쉐
宋慶齡,쑹칭링
余男,위난
巩俐,궁리
周恩來,저우언라이
张希 (排球运动员),장시
张小平,장샤오핑
严隽琪,옌쥔치
胡海峰,후하이펑
朱茵,주인
朱光亚,주광야
朱国,주궈
李克強,리커창
任慧,런후이
王岐山,왕치산
高行健,가오싱젠
李连杰,이연걸
薄熙来,보시라이
朱德,주더
林鄭月娥,캐리 람
曾俊華,존 창
郑哲敏,정저민
章子怡,장쯔이
張栢芝,장바이즈
湯唯,탕웨이
艾未未,아이웨이웨이
郭晶晶,궈징징
