Kazimierz III Wielki,卡齐米日三世
Kazimierz II Sprawiedliwy,卡齐米日二世
Lech Wałęsa,萊赫·瓦文薩
Mieczysław Pemper,米特克·彭帕
Andrzej Wajda,安傑伊·維爾托德·瓦伊達
Tomasz Majewski,托马什·马耶夫斯基
David Blacha,戴维·布拉查
Artur Barciś,阿图尔・巴奇斯
Paul Baran,保羅·巴蘭
Eugen Polanski,尤根·波兰斯基
Jennifer Suhr,詹尼弗·蘇爾
Laurent Koscielny,羅倫·哥斯尼
Joanna Rutkowska,乔安娜·鲁特克丝卡
Kacper Przybyłko,卡斯帕·普热贝乌科
Jacek Pyl,雅欽多·佩爾
Bogdan Musiol,波格丹·穆肖乌
Tomasz Wylenzek,托马什·维伦热克
Anni Friesinger-Postma,安妮·弗里辛格-波斯特马
Max Fleischer,馬克思·弗萊舍
Konrad I mazowiecki,康拉德一世
Leszek Czarny,萊謝克二世
Krzysztof Kieślowski,克日什托夫·基斯洛夫斯基
Anita Włodarczyk,安妮塔·沃達雷茲克
Jan Englert,贾恩·恩格勒
Stanisław Lem,斯坦尼斯瓦夫·莱姆
Andrzej Ehrenfeucht,安德热·伊伦弗赫特
Przemysław Prusinkiewicz,普热梅斯瓦夫·普鲁辛凯维奇
Fryderyk Scherfke,弗雷德里希·舍夫克
Bogdan Musiał,博格丹·穆夏夫
Krzysztof Zanussi,克里斯多夫·贊努西
Bogusław Linda,波戈斯路·琳達
Donald Tusk,唐納德·圖斯克
Paweł Kukiz,帕维乌·库基兹
Renate von Natzmer,雷娜特·冯·纳茨默
Jan Paweł II,若望保祿二世
Władysław II Wygnaniec,瓦迪斯瓦夫二世
Władysław III Laskonogi,瓦迪斯瓦夫三世
Zbigniew Boniek,日比格涅夫·博涅克
Zygmunt Chychła,齐格蒙特·黑赫瓦
Bohdan Smoleń,博赫丹·斯莫倫
Katarzyna Bujakiewicz,卡塔尔兹纳·布贾基维奇
Zygmunt I Stary,齐格蒙特一世
Lech Kaczyński,萊赫·卡欽斯基
Franciszek Smuda,弗兰西斯泽克·斯姆达
Stephanie Kwolek,斯蒂芬妮·克沃勒克
Jerzy Stuhr,傑吉·斯圖爾
Piotr Fronczewski,皮奥特·弗朗切夫斯基
Jan Frycz,让·弗里兹
Przemysł II,普熱梅斯瓦夫二世
Władysław I Herman,瓦迪斯瓦夫一世
Zbigniew Zamachowski,齊伯尼·查馬修瓦斯基
Bronisław Baczko,布罗尼斯瓦夫·巴齐科
Wojciech Rubinowicz,沃伊切赫·鲁比诺维奇
Isaac Bashevis Singer,艾薩克·巴甚維斯·辛格
Julius Axelrod,朱利叶斯·阿克塞尔罗德
Thomas Godoj,湯瑪斯·高德
Emil Hirschfeld,埃米尔·希施费尔德
Ignace Gelb,伊格纳斯·盖尔布
Albert Battel,阿尔伯特·巴特尔
Aleksander Famuła,亚历山大·法穆拉
Claudia Ciesla,克羅迪亞·西斯拉
Adam Mickiewicz,亞當·密茨凱維奇
Aleksander Kwaśniewski,亞歷山大·克瓦希涅夫斯基
Teresa Orlowski,特雷莎·奥洛斯基
Natalia Avelon,娜塔莉·爱娃隆
Karol Stefan Habsburg,奧地利的查理大公斯蒂芬
Otylia Jędrzejczak,奥蒂利娅·延杰伊恰克
Arkady Fiedler,阿卡迪·菲德勒
Franciszek Macharski,弗朗齊歇克·馬哈爾斯基
Zygmunt Kęstowicz,齐格蒙特·克斯托维茨
Andrzej Szeptycki,安德略·蕭普提斯基
Suzanna von Nathusius,蘇珊娜·馮·納特修斯
Agnieszka Brugger,阿格涅什卡·布鲁格
Ryszard Szurkowski,理夏德·舒尔科夫斯基
Maria Skłodowska-Curie,瑪麗·居禮
Kazimierz Funk,卡西米尔·冯克
Hilmar Kopper,希尔马·科珀
Magdalena Mroczkiewicz,玛格达莱娜·姆罗奇凯维奇
Alana Beard,阿兰娜·比尔德
Dorota Chotecka,多罗塔·乔特奇卡
Filip Bajon,菲利普·巴勇
Marian Woronin,马里安·沃罗宁
Miroslav Klose,米罗斯拉夫·克洛泽
Benita von Falkenhayn,贝妮塔·冯·法金汉
Igo Sym,伊戈·赛姆
Majka Jeżowska,马约卡·杰佐斯卡
Jacek Kuroń,雅切克·库隆
Edward Bernard Raczyński,爱德华·伯纳德·拉陈斯基
Agata Kulesza,阿嘉塔·庫雷札
Jerzy Janowicz,傑西·詹努維克茲
Andrzej Sypytkowski,安杰伊·瑟佩特科夫斯基
Józef Gosławski,约瑟夫·高斯瓦夫斯基
Stanisław Ostrowski,斯坦尼斯瓦夫·奥斯特洛夫斯基
Władysław Raczkiewicz,瓦迪斯瓦夫·拉奇凯维奇
Jan Puzyna,若望·普西那·迪·科伊伊萊
Adam Krzesiński,亚当·克热辛斯基
Tadeusz Reichstein,塔德乌什·赖希施泰因
Jan z Kolna,约翰·斯科尔武斯
Ryszard Sobczak,理夏德·索布恰克
Jarosław Rodzewicz,雅罗斯瓦夫·罗泽维奇
Barbara Wolnicka,芭尔芭拉·沃尔尼茨卡-谢夫奇克
Radosław Kawęcki,拉多斯瓦夫·卡域斯基
Ryksa śląska,波蘭的希莉西亞
Jerzy Buzek,耶日·布澤克
Kazimierz Sabbat,卡兹米尔兹·萨巴
Stanisław Wojciechowski,斯坦尼斯瓦夫·沃伊切霍夫斯基
Katarzyna Piter,卡塔西妮·皮特
Jan Krzysztof Bielecki,扬·克日什托夫·别莱茨基
Monika Sozanska,莫妮卡·索扎斯卡
Kazimierz Graff,卡西米尔·格拉夫
Ryszard Kaczorowski,雷沙尔德·卡丘罗夫斯基
Wojciech Jaruzelski,沃伊切赫·維爾托德·雅魯澤爾斯基
Michał Sopoćko,米哈乌·索波奇科
Henryk Kasperczak,亨利·卡斯帕萨克
Leszek Miller,莱舍克·米莱尔
Kazimierz Marcinkiewicz,卡齐米日·马尔钦凯维奇
Tadeusz Mazowiecki,塔德乌什·马佐维耶茨基
Łukasz Fabiański,烏卡什·法比安斯基
Jarosław Lindner,雅罗斯拉夫·林德纳
Marcel Reich-Ranicki,馬塞爾·萊希·拉尼奇
Paweł Klecki,保罗·克列茨基
Bezprym,貝斯普里姆
Lestek,萊斯泰克
Mieszko II Lambert,梅什科二世
Raymond Kopa,雷蒙·科帕
Kazimierz Moczarski,卡齐米日·莫察斯基
Anna Rybicka,安娜·雷比茨卡
Piotr Kiełpikowski,彼得·凯乌皮科夫斯基
Julius Fromm,朱利葉斯·弗洛姆
Karol Radek,卡尔·拉狄克
Zyta Gilowska,齊塔·基洛夫斯卡
Aleksander Krupa,亞歷山大·克魯帕
Benoît Mandelbrot,本華·曼德博
Tadeusz Pikus,狄鐸·皮庫斯
Zygmunt Smalcerz,齐格蒙特·斯马尔采日
Henryk Sienkiewicz,亨利克·亞當·亞歷山大·皮烏斯·显克微支
Waldemar Pawlak,瓦尔德马·帕夫拉克
Hanna Suchocka,漢娜·蘇霍茨卡
Jan Olszewski,扬·奥尔谢夫斯基
Jarosław Kaczyński,雅罗斯瓦夫·卡钦斯基
Victor Klemperer,维克托·克伦佩勒
Radosław Sikorski,拉多斯瓦夫·西科尔斯基
Józef Oleksy,約瑟夫·奧萊克西
Włodzimierz Cimoszewicz,沃齐米日·齐莫谢维奇
Marcin Możdżonek,馬爾欽·莫兹德兹雷克
August Zaleski,奥古斯特·扎勒斯基
Marek Belka,马雷克·贝尔卡
Jerzy Skolimowski,傑齊·史柯里莫斯基
Bronisław Komorowski,布羅尼斯瓦夫·科莫羅夫斯基
Hans Lukaschek,汉斯·卢卡舍克
Heinrich Köbner,海因里希·寇伯納
Adrian Mierzejewski,阿德里安·梅澤耶夫斯基
Leon Jogiches,列奥·约基希斯
Wojtek Wolski,沃伊泰克·沃尔斯基
Sabine Kalter,萨拜因·卡尔特
Wisława Szymborska,维斯瓦娃·辛波斯卡
Karol Wedel,卡爾·恩斯特·威德尔
Adam Gierek,亞當·吉瑞克
Tomasz Wałdoch,托马什·瓦乌多赫
Sławomir Skrzypek,斯瓦沃米尔·斯克日普克
Marcin Matkowski,馬辛·麥考斯基
Roman Ingarden,罗曼·英伽登
Anna Maria Jopek,安娜·瑪莉亞·約佩克
Ludwik Hirszfeld,路德维克·希尔斯菲尔德
Leszek Balcerowicz,莱谢·巴塞罗维茨
Czesław Miłosz,切斯瓦夫·米沃什
Leszek Cichy,列社克·奇希
Marcin Gortat,马尔钦·戈塔特
Harry Warner,哈利·华纳
Filip Adamski,菲利普·亚当斯基
Kamil Glik,卡米爾·格里克
Kazimierz Nycz,卡吉米日·內茲
Cezary Siess,采扎里·谢斯
Marian Sypniewski,马里安·瑟普涅夫斯基
Adam Joseph Maida,亞當·梅達
Rafał Wolski,拉法爾·沃爾斯基
Bolesław Kominek,博萊斯瓦夫·科米內克
