Россия,ロシア
Новгородская область,ノヴゴロド州
АвтоВАЗ,アフトヴァース
Волга,ヴォルガ川
Тверская область,トヴェリ州
Ярославская область,ヤロスラヴリ州
Каспийское море,カスピ海
Татский язык,ムスリム・タート語
Горско-еврейский язык,ユダヤ・タート語
Кубань (река),クバン川
Чёрное море,黒海
Балтийское море,バルト海
Нижегородская область,ニジニ・ノヴゴロド州
Жигули (возвышенность),ジグリ山塊
Смоленск,スモレンスク
Тверь,トヴェリ
Нева,ネヴァ川
Йошкар-Ола,ヨシュカル・オラ
Москва,モスクワ
Свердловская область,スヴェルドロフスク州
Чувашия,チュヴァシ共和国
Чебоксары,チェボクサル
Санкт-Петербург,サンクトペテルブルク
Новосибирск,ノヴォシビルスク
Абакан,アバカン
Татарстан,タタールスタン共和国
Костромская область,コストロマ州
Московский метрополитен,モスクワ地下鉄
Южноюкагирский язык,コリマ・ユカギール語
Смоленская область,スモレンスク州
76-я гвардейская десантно-штурмовая дивизия,第76親衛空挺師団・(ロシア空挺軍)
Ярославль,ヤロスラヴリ
Кострома,コストロマ
Кавказские горы,コーカサス山脈
Югский язык,ユグ語
Туманная,豆満江
Терек,テレク川
Чжурчжэньский язык,女真語
Северноюкагирский язык,ツンドラ・ユカギール語
Коми-пермяцкий язык,コミ・ペルミャク語
Анабар,アナバル川
Сухона,スホナ川
Индигирка,インディギルカ川
Алазея,アラゼヤ川
Российская академия наук,ロシア科学アカデミー
Екатеринбург,エカテリンブルク
Нижний Новгород,ニジニ・ノヴゴロド
Самара,サマーラ
Иваново,イヴァノヴォ
Байкал,バイカル湖
Выборы в Государственную думу (2011),2011年ロシア下院選挙
Курильское течение,親潮
Ойратский язык,オイラト語
Аэрофлот (российская авиакомпания),アエロフロート・ロシア航空
Омск,オムスク
Ивановская область,イヴァノヴォ州
"Владимир (город, Россия)",ウラジーミル・(ウラジーミル州)
Пенза,ペンザ
Казань,カザン
Куршская коса,クルシュー砂州
Челябинск,チェリャビンスク
Пензенская область,ペンザ州
Зеленоградск,ゼレノグラーツク
Академгородок (Новосибирск),アカデムゴロドク
Башня Меркурий,マーキュリー・シティ・タワー
Тавда (река),タヴダ川
Турки,トルコ人
Волгоград,ヴォルゴグラード
Ульяновск,ウリヤノフスク
Владимирская область,ヴラジーミル州
Транссибирская магистраль,シベリア鉄道
Рязань,リャザン
Сибирские траппы,シベリア・トラップ
Федеральная служба безопасности,ロシア連邦保安庁
Пермь,ペルミ
Тульская область,トゥーラ州
Брянск,ブリャンスク
Шешупе,シェシュペ川
Виштынецкое,ヴィシュティーティス湖
Русская православная церковь,ロシア正教会
Ростов-на-Дону,ロストフ・ナ・ドヌ
Уфа,ウファ
Рязанская область,リャザン州
Неман,ネマン川
Тула,トゥーラ・(ロシア)
Преголя,プレゴリャ川
Анграпа,アングラパ川
Нивхи,ニヴフ
Внутренние войска МВД России,ロシア国内軍
Владивосток,ウラジオストク
Красноярск,クラスノヤルスク
Тыва,トゥヴァ共和国
Брянская область,ブリャンスク州
Орёл (город),オリョール
Ульяновская область,ウリヤノフスク州
Обь,オビ川
Калуга,カルーガ
Калужская область,カルーガ州
Орловская область,オリョール州
Камчатка,カムチャツカ半島
Светлый (Калининградская область),スヴェトルイ
Курск,クルスク
Звезда-2005,WFCズヴェズダ2005ペルミ
Томск,トムスク
Вычегда,ヴィチェグダ川
Советск (Калининградская область),ソヴィェツク・(カリーニングラード州)
Золотое кольцо России,黄金の環
Черняховск,チェルニャホフスク
Лапландия,ラップランド
Tinkoff,ティンコフ
Балтийск,バルチースク
Гусев (город),グセフ
Чукотский полуостров,チュクチ半島
Дон,ドン川
Белгород,ベルゴロド
Курская область,クルスク州
Тольятти,トリヤッチ
Знамя Победы,勝利の旗
Кумо-Манычская впадина,クマ＝マヌィチ窪地
Гвардейск,グヴァルジェイスク
Горин (река),ゴリン川
Башкортостан,バシコルトスタン共和国
Неман (город),ネマン
Челябинская область,チェリャビンスク州
Курганская область,クルガン州
Финский язык,フィンランド語
Белгородская область,ベルゴロド州
Воронеж,ヴォロネジ
Тюмень,チュメニ
Тюменская область,チュメニ州
Воронежская область,ヴォロネジ州
Самарская область,サマラ州
Калининградская область,カリーニングラード州
Липецкая область,リペツク州
Тамбов,タンボフ
Томская область,トムスク州
Дзержинск (Нижегородская область),ジェルジンスク
Московская область,モスクワ州
