George Washington,ジョージ・ワシントン
Lisa Raymond,リサ・レイモンド
Picabo Street,ピカボ・ストリート
Kim Carnes,キム・カーンズ
Chris Rock,クリス・ロック
Carolyn Bertozzi,キャロライン・ベルトッツィ
Nancy Leveson,ナンシー・レブソン
Nancy Lynch,ナンシー・リンチ
John Adams,ジョン・アダムズ
Jack Bauer,ジャック・バウアー
Barack Obama,バラク・オバマ
Kevin Mitnick,ケビン・ミトニック
Catherine Coleman,キャスリン・コールマン
Mary Peters Fieser,メアリー・ピーターズ・フィーザー
Mary L. Good,メアリー・グッド
Dwayne Johnson,ドウェイン・ジョンソン
John McCain,ジョン・マケイン
Mick Foley,ミック・フォーリー
Ned Beatty,ネッド・ビーティ
James Coburn,ジェームズ・コバーン
Miley Cyrus,マイリー・サイラス
Stephanie Kwolek,ステファニー・クオレク
Jonny Lee Miller,ジョニー・リー・ミラー
Louise Nevelson,ルイーズ・ネヴェルソン
Henriette Avram,ヘンリエッテ・エイブラム
Thomas Jefferson,トーマス・ジェファーソン
Tiger Woods,タイガー・ウッズ
Abraham Lincoln,エイブラハム・リンカーン
Tom DeLonge,トム・デロング
Mark Hoppus,マーク・ホッパス
Peyton Manning,ペイトン・マニング
Prince (musician),プリンス・(ミュージシャン)
Valerie Solanas,ヴァレリー・ソラナス
Sonia Sotomayor,ソニア・ソトマイヨール
James Madison,ジェームズ・マディソン
Elena Kagan,エレナ・ケイガン
Emily Dickinson,エミリー・ディキンソン
Troian Bellisario,トローヤン・ベリサリオ
Radia Perlman,ラディア・パールマン
Jimmy Wales,ジミー・ウェールズ
Jon Abrahams,ジョン・エイブラハムズ
Jimmy Bennett,ジミー・ベネット
Rodger Bumpass,ロジャー・バンパス
Stephen Breyer,スティーブン・ブライヤー
Ruth Bader Ginsburg,ルース・ベイダー・ギンズバーグ
John Paul Stevens,ジョン・ポール・スティーブンス
Ward Cunningham,ウォード・カニンガム
Sandra Day O'Connor,サンドラ・デイ・オコナー
George W. Bush,ジョージ・W・ブッシュ
Ken Jennings,ケン・ジェニングス
Zach Gilford,ザック・ギルフォード・(俳優)
Clancy Brown,クランシー・ブラウン
Jennette McCurdy,ジェネット・マッカーディ
Anna Faris,アンナ・ファリス
James Monroe,ジェームズ・モンロー
Larry Sanger,ラリー・サンガー
Homer Simpson,ホーマー・シンプソン
Samuel Alito,サミュエル・アリート
Clarence Thomas,クラレンス・トーマス
John Roberts,ジョン・ロバーツ
Antonin Scalia,アントニン・スカリア
Anthony Kennedy,アンソニー・ケネディ
John Quincy Adams,ジョン・クィンシー・アダムズ
Andrew Jackson,アンドリュー・ジャクソン
Mitt Romney,ミット・ロムニー
Vince Gilligan,ヴィンス・ギリガン
Chloë Grace Moretz,クロエ・グレース・モレッツ
Alison Lohman,アリソン・ローマン
Marge Simpson,マージ・シンプソン
Frank Herbert,フランク・ハーバート
Nelson Rockefeller,ネルソン・ロックフェラー
Martin Van Buren,マーティン・ヴァン・ビューレン
Alastair G. W. Cameron,アルステア・キャメロン
William Henry Harrison,ウィリアム・ハリソン
Marlene Dietrich,マレーネ・ディートリヒ
Jenna Jameson,ジェナ・ジェイムソン
Bob Dylan,ボブ・ディラン
Marilyn Monroe,マリリン・モンロー
Serena Williams,セリーナ・ウィリアムズ
Evelyn Berezin,イヴリン・ベレジン
Elvis Presley,エルヴィス・プレスリー
Franklin D. Roosevelt,フランクリン・ルーズベルト
Martin Luther King Jr.,マーティン・ルーサー・キング・ジュニア
Edmund H. Hansen,エドマンド・H・ハンセン
John Knoll,ジョン・ノール
David Rockefeller,デイヴィッド・ロックフェラー
Bill Maher,ビル・マー
Rachel Maddow,レイチェル・マドー
Barbra Streisand,バーブラ・ストライサンド
James K. Polk,ジェームズ・ポーク
Jonathan Winters,ジョナサン・ウィンタース
Daniel Craig,ダニエル・クレイグ
Jean Bartik,ジーン・バーティク
Jack Sholder,ジャック・ショルダー
John Tyler,ジョン・タイラー
Axl Rose,アクセル・ローズ
