Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Hermann von Ihering,ヘルマン・フォン・イーエリング
Hulk,ジヴァニウド・ヴィエイラ・ジ・ソウザ
Giovanni Piccolomo,ジオヴァンニ・ピッコローモ
Gustavo Tsuboi,グスターボ・ツボイ
João Carlos dos Santos,ジョアン・カルロス・ドス・サントス
Marcos Alberto Skavinski,マルコス・アルベルト・スカビンスキ
Oscar Niemeyer,オスカー・ニーマイヤー
Deodoro da Fonseca,デオドロ・ダ・フォンセカ
Heitor Villa-Lobos,エイトル・ヴィラ＝ロボス
Neuton,ネウトン・セルジオ・ピッコーリ
Nelson Prudêncio,ネルソン・プルデンシオ
Hebe Camargo,ヘーペ・カマルゴ
Clodovil Hernandes,クロードビル・エルナンデス
Luiz Adriano,ルイス・アドリアーノ
Márcio Miranda Freitas Rocha da Silva,マルシオ・ミランダ・フレイタス・ロシャ・ダ・シルバ
Valdir Benedito,バウディール・ベネディット
Otto Wucherer,オットー・エドワード・ワッシャー
Ricardo Luís Pozzi Rodrigues,リカルド・ルイス・ポッズィ・ロドリゲス
Adriano Ferreira Martins,アドリアーノ・フェヘイラ・マルティンス
Ricardo Alexandre dos Santos,リカルド・アレッシャンドレ・ドス・サントス
Luís Fernando Lojudice Martinez,ルイス・フェルナンド・マルチネス
Éverton Leandro dos Santos Pinto,エヴェルトン・レアンドロ・ドス・サントス・ピント
Ralf de Souza Teles,ラルフ・デ・ソウザ・テレス
José Paulo Bezerra Maciel Junior,ジョゼ・パウロ・ベセーラ・マシエル・ジュニオール
Austregésilo de Athayde,アウストレジェジロ・デ・アタイデ
João Havelange,ジョアン・アヴェランジェ
Igor Cavalera,イゴール・カヴァレラ
Claudiano Bezerra da Silva,クラウディアーノ・ベセーラ・ダ・シウヴァ
Juninho Pernambucano,ジュニーニョ・ペルナンブカーノ
Curt Nimuendajú,クルト・ニムエンダジュ
Willian Borges da Silva,ウィリアン・ボルジェス・ダ・シウヴァ
Vítor Meira,ヴィトール・メイラ
Assis Chateaubriand,アシス・シャトーブリアン
Rafael Farias Tavares,マギヌン・ラファエル・ファリアス・タバレス
Leandro Montera da Silva,レアンドロ・モンテーラ・ダ・シルバ
Edmilson dos Santos Silva,エジミウソン・ドス・サントス・シルバ
Maria Emilie Snethlage,エミーリエ・スネトラーゲ
Helmut Sick,ヘルムート・ジック
Alexandre Paes Lopes,アレシャンドレ・パエス・ロペス
Donizete Oliveira,ドニゼッチ・フランシスコ・デ・オリベイラ
Ramon Menezes,ラモン・メネゼス・ウブネル
Bernardo Fernandes da Silva,ベルナルド・フェルナンデス・ダ・シルバ
Ramires,ラミレス・サントス・ド・ナシメント
Zinho,ジーニョ
Mário de Andrade,マリオ・デ・アンドラーデ
Alessandra Ambrósio,アレッサンドラ・アンブロジオ
Guga,アレシャンドレ・ダ・シルバ
Roger Silva,ホジェル・ロドリゲス・ダ・シルバ
Paulinho McLaren,パウロ・セザール・ヴィエイラ・ローザ
Neymar,ネイマール
Ayrton Senna,アイルトン・セナ
Felipe Melo,フェリペ・メロ
Antônio Naelson Matias,アントニオ・ナエルソン
Paulo Roberto Jamelli Júnior,パウロ・ロベルト・ジャメーリ・ジュニオール
Nádson Rodrigues de Souza,ナジソン・ロドリゲス・デ・ソウザ
Guimarães Rosa,ジョアン・ギマランエス・ローザ
Carlos Alexandre Souza Silva,カルロス・アレシャンドレ・デ・ソウザ・シウヴァ
Reinaldo da Cruz Oliveira Nascimento,レイナウド・ダ・クルズ・オリベイラ
Zilda Arns,ジウダ・アルンス
Juan Silveira dos Santos,フアン・シルヴェイラ・ドス・サントス
Jean Carlo Witte,ジャーン・カルロ・ウィッテ
Pelé,ペレ
Leandro Domingues,レアンドロ・ドミンゲス・バルボーザ
Esmeralda Garcia,エスメラルダ・ガルシア
Nélson Luís Kerchner,ネルソン・ルイス・カーシュナー
Kléber Laube Pinheiro,クレーベ・ラウベ・ピニェイロ
Leandro Lessa Azevedo,レアンドロ・レッサ・アセヴェド
Fernando Rech,フェルナンド・ルイス・レッキ
Julio César Pinheiro,ジュリオ・セザール・ピニェイロ・ガルシア
Hernane Vidal de Souza,エルナーネ・ヴィダウ・ジ・ソウザ
Dante Bonfim Costa Santos,ダンテ・ボンフィム・コスタ・サントス
Mano Menezes,マノ・メネーゼス
Elano,エラーノ・ブルメル
Nilmar,ニウマール
Carlos Lacerda,カルロス・ラセルダ
Anderson Bamba,アンデルソン・ソアレス・ジ・オリヴェイラ
Bernard Anício Caldeira Duarte,ベルナルジ・アニシオ・カルデイラ・ドゥアルテ
Alexandre Pato,アレシャンドレ・ロドリゲス・ダ・シウヴァ
Bruno Quadros,ブルーノ・エベルトン・クアドロス
Pita,エジヴァウド・オリヴェイラ・シャヴェス
Brandão,エヴァエヴェルソン・レモス・ダ・シウヴァ
Fátima Bernardes,ファティマ・ベルナルデス
Oscar dos Santos Emboaba Júnior,オスカル・ドス・サントス・エンボアバ・ジュニオール
Julio Cesar Soares Espíndola,ジュリオ・セザル・ソアレス・エスピンドラ
Bebeto,ジョゼ・ロベルト・ガマ・デ・オリベイラ
Júlio Baptista,ジュリオ・バティスタ
Rafael Pereira da Silva,ラファエウ・ペレイラ・ダ・シウヴァ
Emerson Thome,エメルソン・アウグスト・トーメ
Uéslei,ウェズレイ・ハイムンド・ペレイラ・ダ・シルヴァ
Adilson Ferreira de Souza,アジウソン・ペレイラ・デ・ソウザ
Nílton Santos,ニウトン・サントス
Karin Rodrigues,カリン・ロドリゲス
Olga Benário Prestes,オルガ・ベナリオ
Augusto Pestana,アウグスト・ペスタナ
William Bonner,ウィリアム・ボナー
Thiago Alcântara,ティアゴ・アルカンタラ・ド・ナシメント
Jorge Amado,ジョルジェ・アマード
Bruno Senna,ブルーノ・セナ
Fumagalli,ジョゼ・フェルナンド・フマガリ
Luiz Felipe Scolari,ルイス・フェリペ・スコラーリ
Isabeli Fontana,イザベリ・フォンタナ
Rodolfo Amoedo,ロドルフォ・アモエド
Adriana Lima,アドリアナ・リマ
Ataliba,カルロス・エドゥアルド・ソアレス
Sandro Cardoso dos Santos,サンドロ・カルドソ・ドス・サントス
Marcio Richardes de Andrade,マルシオ・リシャルデス・デ・アンドラーデ
Carlos Alberto Souza dos Santos,カルロス・アルベルト・ソーザ・ドス・サントス
Anderson Andrade Antunes,アンデルソン・アンドラージ・アントゥネス
Joanna,ジョアンナ
Ziraldo,ジラルド・アウヴェス・ピント
Zizinho,ジジーニョ
Landrinho,レアンドロ・バリオス・ヒタ・ドス・マルティレス
Felipe Massa,フェリペ・マッサ
Raphael Botti,ラファエル・ジョゼ・ボッティ・ザカリアス・セナ
Edmilson Alves,エジミウソン・アウヴェス
Kevin Kurányi,ケヴィン・クラニー
Getúlio Vargas,ジェトゥリオ・ドルネレス・ヴァルガス
Josué Anunciado de Oliveira,ジョズエ・アヌンシアト・デ・オリヴェイラ
Paulo Coelho,パウロ・コエーリョ
Jorge de Amorim Campos,ジョルジ・デ・アモリン・カンポス
Paulo Assunção,パウロ・アスンソン
Grafite,エジナウド・バチスタ・リバノ
Aílton Gonçalves da Silva,アイウトン・ゴンサウヴェス・ダ・シウヴァ
Alcindo Sartori,アルシンド・サルトーリ
Geílson de Carvalho Soares,ジェイウソン・デ・カルバーリョ・ソアレス
Lúcio,ルシマール・ダ・シウヴァ・フェレイラ
Ânderson Luís da Silva,アンデルソン・ルイス・ダ・シウバ
Glória Pires,グロリア・ピレス
Achim Steiner,アヒム・シュタイナー
Mariano Ferreira Filho,マリアーノ・フェレイラ・フィーリョ
Jussiê,ジュシエ・フェレイラ・ヴィエイラ
Clemens Holzmeister,クレメンス・ホルツマイスター
Pedro II do Brasil,ペドロ2世
Bruno Barreto,ブルーノ・バレット
Wellington Nogueira Lopes de Avellar,ウェリントン・ノゲイラ・ロペス
Diego de Souza Gama Silva,ディエゴ・デ・ソウザ・ガマ・シルバ
José Carlos Ferreira Filho,ジョゼ・カルロス・フェレイラ・フィーリョ
Gisele Bündchen,ジゼル・ブンチェン
Nathalia Dill,ナタリア・ディル
Ilan Araújo Dall'Igna,イラン・アラウージョ・ダッリーニャ
Renato Dirnei Florêncio,レナト・ヂルネイ・フロレンシオ
Jorge Samir Cruz Campos,ジョルジ・サミール・クルス・カンポス
Éder Citadin Martins,エデル・チタディン・マルティンス
Cléverson Gabriel Córdova,クレヴェルソン・ガブリエウ・コルドヴァ
Carlos Henrique dos Santos Souza,カルロス・エンリケ・ドス・サントス・ソウザ
Thiago Motta,ティアゴ・モッタ
João Gilberto,ジョアン・ジルベルト
Rafael Albuquerque,ラファエル・アルバカーキ
Eduardo Ribeiro dos Santos,エドゥアルド・リベイロ・ドス・サントス
Emerson Ferreira da Rosa,エメルソン・フェレイラ
Juscelino Kubitschek,ジュセリーノ・クビチェック
Marinaldo Cícero da Silva,マリナウド・シセロ・ダ・シルバ
Thiago Silva,チアゴ・エミリアーノ・ダ・シウバ
Paulo Freire,パウロ・フレイレ
Bruno Mendes,ブルーノ・ペレイラ・メンデス
Nelson de Jesus Silva,ネウソン・デ・ジェズス・シウヴァ
Luiz Demétrio Valentini,ルイス・デメトリオ・バレンティーニ
Maria Leopoldina de Áustria,マリア・レオポルディナ・デ・アウストリア
Benny Feilhaber,ベニー・ファイルハーバー
Gustavo Kuerten,グスタボ・クエルテン
Carlos Alberto Parreira,カルロス・アルベルト・パレイラ
Luiz Inácio Lula da Silva,ルイス・イナシオ・ルーラ・ダ・シルヴァ
