Madrid,馬德里
Barcelona,巴塞罗那
Sevilla,塞维利亚
Málaga,马拉加
Zaragoza,萨拉戈萨
Kingdom of Spain,西班牙
Valencia,巴倫西亞
Santa Cruz de Tenerife,圣克鲁斯-德特内里费
Santiago de Compostela,聖地亞哥-德孔波斯特拉
Santander,桑坦德
Logroño,洛格罗尼奥
Valladolid,巴利亚多利德
Pamplona,潘普洛納
Oviedo,奥维耶多
Bilbao,毕尔巴鄂
Torrevieja,托雷维耶哈
Toledo,托萊多
Jerez de la Frontera,赫雷斯-德拉弗龙特拉
Granada,格拉纳达
Elche,埃爾切
Córdoba,科爾多瓦
Cartagena,卡塔赫纳
Cadiz,加的斯
Almería,阿尔梅里亚
Alicante,阿利坎特
Algeciras,阿尔赫西拉斯
Albacete,阿尔瓦塞特
Melilla,梅利利亚
Marbella,马贝拉
Mataró,马塔罗
A Coruña,拉科魯尼亞
Gijón,希洪
Getafe,赫塔费
Burgos,布尔戈斯
Badalona,巴达洛纳
Avilés,阿维莱斯
Vigo,維戈
Alcalá de Henares,埃纳雷斯堡
Telde,特尔德
La Orotava,劳罗塔瓦
Ciudad Real,雷阿爾城
Cáceres,卡塞雷斯
Benidorm,贝尼多尔姆
Arona,阿罗纳
Alcoy,阿尔科伊
Molina de Segura,莫利纳德塞古拉
San Sebastián de los Reyes,圣塞瓦斯蒂安德洛斯雷埃斯
Leganés,萊加內斯
Cuenca,昆卡
Coslada,科斯拉达
Teruel,特鲁埃尔
Soria,索里亚
Segovia,塞哥维亚
Pozuelo de Alarcón,波苏埃洛德亚拉尔孔
Ponferrada,蓬费拉达
Parla,帕尔拉
Palencia,帕伦西亚
Móstoles,莫斯托莱斯
Huesca,韦斯卡
Fuenlabrada,丰拉夫拉达
Alcorcón,阿尔科尔孔
Alcobendas,阿尔科文达斯
Canary Islands,加那利群岛
Castilla-La Mancha,卡斯蒂利亚-拉曼恰
Extremadura,埃斯特雷马杜拉
Comunitat Valenciana,巴倫西亞自治區
Talavera de la Reina,塔拉韦拉德拉雷纳
Tacoronte,塔科龙特
Sanlúcar de Barrameda,桑卢卡尔德瓦拉梅达
San Fernando,圣费尔南多
La Línea de la Concepción,拉利内亚德拉孔塞普西翁
