Douglas Adams,道格拉斯·亞當斯
Robin Williams,罗宾·威廉姆斯
Charles Samuel Franklin,查爾斯·薩繆爾·富蘭克林
Clifford Edmund Bosworth,克利福德 埃德蒙 波斯伍斯
Henry Gray,亨利·格雷
Patrick Stewart,帕特里克·斯图尔特
Ashleigh Ball,阿什莉·鲍尔 (曲棍球运动员)
Sarah Walker,莎拉·沃克
Charles K. Kao,高錕
Simon Wells,西蒙·威尔斯
Kate Bush,凱特·布希
Judi Dench,茱蒂·丹契
Hertha Ayrton,赫莎·馬克斯·艾爾頓
David Cameron,戴维·卡梅伦
Lonnie Donegan,朗尼·多尼根
Robert Page,罗伯特·佩奇
Danny Graham,丹尼·格拉咸
Kieran Gibbs,基蘭·基比斯
Han Suyin,韩素音
Charles Oman,查尔斯·奥曼
Sacha Baron Cohen,沙查·諾姆·巴隆·科恩
Kenny Jackett,肯尼·杰基特
Adrian Mariappa,阿德里安·馬里亞柏
Monty Python,蒙提·派森
Tim Berners-Lee,提姆·柏納-李
Ashley Young,阿什利·扬
Tom Cleverley,汤姆·克莱维利
Nicola White,妮古拉·怀特
Helen Richardson,海伦·理查森-沃尔什
Hannah Macleod,汉娜·麦克劳德
Eddie Redmayne,埃迪·雷德梅尼
Alex Danson,亚历克丝·丹森
Doris Lessing,多丽丝·莱辛
Frank Lampard,弗兰克·兰帕德
Marcus Gayle,馬庫斯·蓋爾
Luther Blissett,路德·比利席特
John Barnes,约翰·巴恩斯
Vanessa Branch,范妮莎·布兰奇
Richard G. Morris,理查德·G·莫里斯
David James,大卫·詹姆斯
Timothy Dalton,蒂莫西·道尔顿
J. R. R. Tolkien,約翰·羅納德·魯埃爾·托爾金
Emily Maguire,埃米莉·马圭尔
Chloe Rogers,克洛艾·罗杰斯
Anne Panter,安妮·潘特
Laura Bartlett,劳拉·巴特利特
Alma Deutscher,阿尔玛·多伊彻
Jimmy Wales,吉米·威爾斯
Laura Unsworth,劳拉·昂斯沃思
David Mitchell,大卫·米切尔
Marvin Sordell,马尔文·索德尔
Marlon King,馬龍·京治
Gavin Mahon,加文·马洪
Charlie Chaplin,差利·卓別靈
Clive Sarstedt,罗宾·萨斯泰特
John Lennon,約翰·列儂
John Rhys-Davies,约翰·里斯·戴维斯
Tommy Smith,托米·史密斯
Ben Foster,本·福斯特
Sean Dyche,肖恩·戴彻
Ray Lewington,雷·利文頓
Stephen Hawking,史蒂芬·霍金
Charles Buxton,查爾斯·巴克斯頓
Caroline Haslett,卡羅琳·哈斯萊特
Harry Haslam,哈里·哈斯拉姆
Arthur Leighton,阿瑟·莱顿
Sophie Wilson,索菲·威爾遜
Pauline Gower,波林·戈爾
David Bowers,大卫·博维斯
Mary Lee Woods,瑪麗·李·伍茲
Scott Adkins,斯科特·阿金斯
Desmond Llewelyn,戴斯蒙·李維林
Virginia Woolf,弗吉尼亚·吴尔夫
Arthur Balfour,亞瑟·貝爾福
James Bevis,詹姆斯·贝维斯
Jessie J,洁西J
Harold Pinter,哈罗德·品特
James DeGale,詹姆斯·德盖尔
Tom Ince,湯馬士·恩斯
Robert Louis Stevenson,罗伯特·路易斯·史蒂文森
Chris Iwelumo,克里斯·埃维鲁莫
Stephen McGinn,斯蒂芬·麥克金
Nicky Hopkins,尼基·霍普金斯
Theo Walcott,西奥·沃尔科特
Mo Farah,穆罕默德·法拉
Alex Salmond,亚历克斯·萨尔蒙德
Friedrich Hayek,弗里德里希·奧古斯特·馮·哈耶克
Neville Chamberlain,内维尔·张伯伦
Greg Rutherford,格雷格·卢瑟福
"Queen Elizabeth, The Queen Mother",伊麗莎白·鮑斯-萊昂
Gladwyn Jebb,格拉德温·杰布
Michael Johnson,迈克尔·约翰逊
Carl Jenkinson,卡尔·詹金森
Leanne Wood,莉安·伍德
Delia Derbyshire,戴莉亞·德比夏
Helen Porter,海伦·波特
Victoria Beckham,维多利亚·贝克汉姆
Aidy Boothroyd,安迪·保夫萊特
Hugo Weaving,曉高·韋榮
Sean Murray,肖恩·莫瑞
Ikechi Anya,伊克基·安亞
H. G. Wells,赫伯特·喬治·威爾斯
Ralph Fiennes,雷夫·范恩斯
Jack Clayton,傑克·克萊頓
Lee Hodson,李·霍德森
Rachel Brown,蕾切尔·布朗
Siobhan Chamberlain,西沃恩·张伯伦
Faye White,法耶·怀特
Katie Chapman,凯蒂·查普曼
Arthur Percival,白思華
Scott Loach,史葛·路治
Nyron Nosworthy,奈伦·诺斯沃西
Kathleen Booth,凯瑟琳·布思
Michael Carrick,迈克尔·卡里克
Ellen White,埃伦·怀特
Rachel Williams,蕾切尔·威廉斯
Keira Knightley,凯拉·奈特利
Ian Porterfield,伊恩·波特菲尔德
Jonathan Bond,喬納森·邦德
George Bernard Shaw,萧伯纳
Tommie Hoban,托米·霍班
Nathaniel Chalobah,納撒尼爾·查洛巴
Gordon Brown,戈登·布朗
Stanley Kubrick,斯坦利·库布里克
Adam Miller,阿當·米拿
Troy Deeney,特罗伊·迪尼
Kim Wilde,金·怀尔德
"David Cecil, 6th Marquess of Exeter",第六代艾克希特侯爵 大衛·塞西爾
Rupert Grint,魯伯特·葛林
Geri Horner,潔芮·哈利維爾
Carrie Lam,林鄭月娥
Hans Wilsdorf,漢斯·威爾司多夫
Frank Lloyd,弗蘭克·洛伊德
Toni Duggan,托妮·达根
George William Gray,乔治·威廉·格雷
Alan Carr,艾倫·卡爾
Alesha Dixon,阿丽莎·迪克森
John Eustace,约翰·尤斯塔斯
Jonathan Hogg,喬納森·霍格
Kenny Miller,肯尼·米勒
Chris Smalling,克里斯·斯莫林
Louise Johnson,路易絲·約翰遜
Karl Henry,卡爾·亨利
Alun Michael,阿龍·邁克爾
Martyn Lloyd-Jones,鍾馬田
Roshan Seth,羅森·賽斯
Peter Lilley,彼得·萊利
Maurice Cook,莫里斯·库克
Jonny Evans,乔尼·埃文斯
Gabrielle Aplin,蓋艾琳
Eniola Aluko,埃妮奥拉·阿卢科
Fara Williams,法拉·威廉姆斯
Karen Carney,卡伦·卡尼
Mark Millar,馬克·米勒
Steph Houghton,史特夫·休頓
Laura Bassett,劳拉·巴西特
Sophie Bradley-Auckland,索菲·布拉德利-奥克兰
Claire Rafferty,克莱尔·拉弗蒂
Jean Shrimpton,珍·诗琳普顿
John Farnham,約翰·法納姆
Hope Powell,霍普·鲍威尔
Casey Stoney,凯西·斯托尼
Amy Johnson,愛咪·強森
Robert Cecil,罗伯特·塞西尔，第一代切尔伍德的塞西尔子爵
John Pritchard,约翰·普里查德
Angus Young,安格斯·楊
Rachel Yankey,蕾切尔·扬基
Peter Connelly,彼得·坎乃利
Jill Scott,吉尔·斯科特
Anita Asante,安妮塔·阿桑特
Matthew Vaughn,马修·沃恩
James Key,詹姆斯·基
Wendy Hall,温迪·霍尔
Ringo Starr,林格·斯塔
John C. Wells,约翰·C·韦尔斯
Bertrand Russell,伯特兰·罗素
Mike Oldfield,麦克·欧菲尔德
Robert Grabarz,罗比·格拉巴兹
Graham Hill,诺曼·格拉汉姆·希尔
Lance Tingay,蘭斯·汀蓋
Sergey Kapitsa,谢尔盖·彼得罗维奇·卡皮察
Luigi Cherubini,路易吉·凱魯比尼
Jack the Ripper,開膛手傑克
"Robert Baden-Powell, 1st Baron Baden-Powell",羅伯特·貝登堡
Audrey Hepburn,奥黛丽·赫本
Ellie Goulding,艾麗·高登
Charles III of the United Kingdom,查尔斯三世
Paul McCartney,保罗·麦卡特尼
Mike Hawthorn,约翰·麦克·霍索恩
Richard Dawkins,理查德·道金斯
"Arthur Nicolson, 1st Baron Carnock",第一代卡諾克男爵阿瑟·尼克森
"Herbrand Russell, 11th Duke of Bedford",第十一代貝德福德公爵赫布蘭德·羅素
Anne V. Coates,安妮·沃斯·科茨
James Hilton,詹姆斯·希爾頓
Jackie Stewart,约翰·杨·杰基·斯图尔特
John Surtees,约翰·苏尔特斯
Adele,愛黛兒
Kylie Minogue,凯莉·米诺格
William Golding,威廉·戈尔丁
Justin Chadwick,賈斯汀·喬維克
Jim Clark,吉姆·克拉克
Rudyard Kipling,魯德亞德·吉卜林
Ryan Fraser,萊安·弗雷澤
Eric Hobsbawm,埃里克·霍布斯鲍姆
J. K. Rowling,喬安娜·凱薩琳·羅琳
Chris Patten,彭定康
Salman Rushdie,薩爾曼·魯西迪
Keith Campbell,基思·坎贝尔
Orlando Bloom,奥兰多·布鲁姆
Jane Goldman,珍·古德曼
V. S. Naipaul,V·S·奈波爾
Simon Gallup,賽門·加勒普
Alex Harvey,亞歷克斯·哈維
Dave Taylor,戴夫·泰勒
Ricky Gervais,瑞吉·葛文
Lyndsey Marshal,琳赛·马歇尔
Robin Janvrin,罗宾·扬夫林
