Douglas Adams,더글러스 애덤스
John Barnes,존 반스
Patrick Stewart,패트릭 스튜어트
Robin Williams,로빈 윌리엄스
Tim Berners-Lee,팀 버너스리
Sarah Walker,세라 워커
Robert Page,롭 페이지
Danny Graham,대니 그레이엄
Sophie Wilson,소피 윌슨
David James,데이비드 제임스
Mary Lee Woods,메리 리 우즈
Helen Richardson,헬렌 리처드슨
Marcus Gayle,마커스 게일
Ashleigh Ball,애슐리 볼
Henry Gray,헨리 그레이
Charles K. Kao,찰스 K. 가오
Vanessa Branch,버네사 브랜치
Kate Bush,케이트 부시
Eddie Redmayne,에디 레드메인
Kieran Gibbs,키런 기브스
Tommy Smith,토미 스미스
Ben Foster,벤 포스터
Monty Python,몬티 파이톤
Nicky Hopkins,니키 홉킨스
Ralph Fiennes,레이프 파인스
Hertha Ayrton,허사 에어턴
Judi Dench,주디 덴치
Adrian Mariappa,아드리안 마리아파
Tom Cleverley,톰 클레벌리
Desmond Llewelyn,데즈먼드 루엘린
Sean Dyche,숀 다이치
Charlie Chaplin,찰리 채플린
Chloe Rogers,클로이 로저스
Doris Lessing,도리스 레싱
Scott Adkins,스콧 애드킨스
Jimmy Wales,지미 웨일스
Harold Pinter,해럴드 핀터
David Cameron,데이비드 캐머런
Simon Wells,사이먼 웰스
Marvin Sordell,마빈 소델
Lloyd Doyley,로이드 도일리
Ian Porterfield,이언 포터필드
David Mitchell,데이비드 미첼
John Rhys-Davies,존 리스데이비스
Marlon King,말런 킹
Stephen Hawking,스티븐 호킹
Michael Johnson,마이클 존슨
Alex Salmond,앨릭스 새먼드
Virginia Woolf,버지니아 울프
Timothy Dalton,티머시 돌턴
Rupert Grint,루퍼트 그린트
Jessie J,제시 J
J. R. R. Tolkien,J. R. R. 톨킨
Robert Louis Stevenson,로버트 루이스 스티븐슨
Gordon Brown,고든 브라운
Scott Loach,스콧 로치
Hans Wilsdorf,한스 윌스도르프
Frank Lloyd,프랭크 로이드
John Lennon,존 레논
Frederick Keeping,프랭크 키핑
Arthur Percival,아서 퍼시벌
Peter Connelly,피터 코널리
Ashley Young,애슐리 영
Kenny Miller,케니 밀러
"David Cecil, 6th Marquess of Exeter",데이비드 세실
Sacha Baron Cohen,사샤 바론 코헨
George Bernard Shaw,조지 버나드 쇼
Alesha Dixon,알레샤 딕슨
"Queen Elizabeth, The Queen Mother",엘리자베스 보우스라이언
Frank Lampard,프랭크 램퍼드
Arthur Balfour,아서 밸푸어
Jonny Evans,조니 에번스
Anne V. Coates,앤 V. 코츠
Chris Smalling,크리스 스몰링
Michael Carrick,마이클 캐릭
Jean Shrimpton,진 슈림프턴
James Hilton,제임스 힐턴
David Bowers,데이비드 바워스
Stanley Kubrick,스탠리 큐브릭
Charles Buxton,찰스 벅스턴
James Key,제임스 키
Carl Jenkinson,칼 젱킨슨
Theo Walcott,시오 월컷
Keira Knightley,키이라 나이틀리
Carrie Lam,캐리 람
Nathaniel Chalobah,나다니엘 찰로바
Gabby Logan,개비 로건
Ellie Goulding,엘리 굴딩
Neville Chamberlain,네빌 체임벌린
Lee Hodson,리 호드슨
Greg Rutherford,그레그 러더퍼드
Mo Farah,모 패러
Friedrich Hayek,프리드리히 하이에크
Gladwyn Jebb,글래드윈 젭
Leanne Wood,린 우드
Kelly Cates,켈리 케이츠
Gabrielle Aplin,가브리엘 애플린
Martyn Lloyd-Jones,마틴 로이드 존스
Roshan Seth,로산 세스
Salman Rushdie,살만 루슈디
Keith Campbell,키스 캠벨
Hugo Weaving,휴고 위빙
Mark Millar,마크 밀러
Matthew Vaughn,매슈 본
H. G. Wells,H. G. 웰스
Peter Lilley,피터 릴리
Geri Horner,제리 할리웰
Audrey Hepburn,오드리 헵번
Jane Goldman,제인 골드먼
Casey Stoney,케이시 스토니
Charles III of the United Kingdom,찰스 3세
Luigi Cherubini,루이지 케루비니
Kim Wilde,킴 와일드
William Golding,윌리엄 골딩
Slash,슬래시
Troy Deeney,트로이 디니
Paul McCartney,폴 매카트니
Bertrand Russell,버트런드 러셀
Marlon Roudette,말런 루뎃
Ringo Starr,링고 스타
