Klaus Ernst,클라우스 에른스트
Josef Schreiner,요제프 슈라이너
Giovane Élber,지오바니 에우베르
Georg Schwarzenbeck,한스게오르크 슈바르첸베크
Markus Lanz,마르쿠스 란츠
Angela Merkel,앙겔라 메르켈
Patrick Ebert,파트릭 에베르트
Franzl Lang,프란츨 랑
Bernhard Langer,베른하르트 랑거
Roman Neustädter,로만 노이슈테터
Tom Schilling,톰 쉴링
Ulrich Karger,울리히 카르거
Peter Sloterdijk,페터 슬로터다이크
Bernd Hölzenbein,베른트 횔첸바인
Thomas Kraft,토마스 크라프트
Romano Guardini,로마노 구아르디니
Michael Lerchenberg,마이클 레첸 버그
Albert Einstein,알베르트 아인슈타인
Robert Harting,로베르트 하르팅
Peter Steiner,페터 슈타이너
Emre Can,엠레 잔
Martin Schulz,마르틴 슐츠
Rupprecht von Bayern,루프레히트 폰 바이에른 왕세자
Jürgen Grabowski,위르겐 그라보프스키
Peter Schüler,페터 쉴러
Hark Bohm,하르크 봄
Gonzalo Castro,곤잘로 카스트로
Konrad Adenauer,콘라트 아데나워
Paul Deussen,파울 도이센
Rainer Bonhof,라이너 본호프
Michael Herbig,미카엘 헤르비그
Hanna Schygulla,하나 쉬굴라
Winfried Frey,윈프레드 프레이
Heinz Paula,하인츠 파울라
Nicolas König,니콜라스 쾨니그
Markus Wasmeier,마르쿠스 바스마이어
Hans Wilsdorf,한스 윌스도르프
Dirk Nowitzki,디르크 노비츠키
Georg Sterzinsky,게오르그 스테르진스키
Joseph Höffner,요제프 회프너
Joachim Meisner,요아힘 마이스너
Herbert Achternbusch,헤르베르트 아흐테른부슈
Ludwig Thoma,루트비히 토마
Christian Ude,크리스티안 우데
Fritz Lang,프리츠 랑
Luise Rainer,루이제 라이너
Andreas Eschbach,안드레아스 에슈바흐
Benedikt XVI.,교황 베네딕토 16세
Kurt Georg Kiesinger,쿠르트 게오르크 키징거
Helmut Schmidt,헬무트 슈미트
Arno Peters,아르노 페터스
Marc Forster,마르크 포르스터
Gerhard Ludwig Müller,게르하르트 루트비히 뮐러
Helmut Kohl,헬무트 콜
Carl Orff,카를 오르프
Alexander Koch,알렉산더 코흐
Reinhold Schünzel,라인홀트 쉰첼
Wolfgang Schulte,볼프강 슐테
Karl Valentin,카를 발렌틴
Reinhard Marx,라인하르트 마르크스
Gerhard Schröder,게르하르트 슈뢰더
Ulrike Nasse-Meyfarth,울리케 마이파르트
Johannes Schmoelling,요하네스 슈모일 링
Fritz Walter,프리츠 발터
Sepp Maier,제프 마이어
Hans Clarin,한스 클라린
Wolfgang Müller-Wiener,볼프강 뮐러비너
Peter Kleist,페터 클라이스트
Karl Albrecht,카를 알브레히트
Albrecht von Bayern,알브레히트 폰 바이에른
