Lionel Messi,リオネル・メッシ
Massimo Troisi,マッシモ・トロイージ
Ettore Scola,エットーレ・スコラ
Renato Dirnei Florêncio,レナト・ジルネイ・フロレンシオ・サントス
Ilan Araújo Dall'Igna,イラン・アラウージョ・ダッリーニャ
Antonio Pietrangeli,アントニオ・ピエトランジェリ
Gabriele Salvatores,ガブリエレ・サルヴァトレス
Ferzan Özpetek,フェルザン・オズペテク
Salvatore Quasimodo,サルヴァトーレ・クァジモド
Nino Manfredi,ニーノ・マンフレディ
Augusto Genina,アウグスト・ジェニーナ
Sandro Pertini,アレッサンドロ・ペルティーニ
Francesco Cossiga,フランチェスコ・コッシガ
Alessandro Matri,アレッサンドロ・マトリ
Robert De Niro,ロバート・デ・ニーロ
Vittorio Gassman,ヴィットリオ・ガスマン
Damiano Damiani,ダミアーノ・ダミアーニ
Andrea Segre,アンドレア・セグレ
Giuseppe Battiston,ジュゼッペ・バッティストン
Guido Calabresi,グイド・カラブレイジ
Angelo Di Livio,アンジェロ・ディ・リービオ
Giovanni Gronchi,ジョヴァンニ・グロンキ
Antonio Segni,アントニオ・セーニ
Giuseppe Saragat,ジュゼッペ・サーラガト
Giovanni Leone,ジョヴァンニ・レオーネ
Papa Giovanni Paolo I,ヨハネ・パウロ1世・(ローマ教皇)
Luciano Pavarotti,ルチアーノ・パヴァロッティ
Romano Prodi,ロマーノ・プローディ
Ugo Tognazzi,ウーゴ・トニャッツィ
Gina Lollobrigida,ジーナ・ロロブリジーダ
Luigi Zampa,ルイジ・ザンパ
Alessandro Del Piero,アレッサンドロ・デル・ピエロ
Eugenio Montale,エウジェーニオ・モンターレ
Marcello Mastroianni,マルチェロ・マストロヤンニ
Elio Petri,エリオ・ペトリ
Giuseppe Tornatore,ジュゼッペ・トルナトーレ
Carlo Azeglio Ciampi,カルロ・アツェリオ・チャンピ
Carlo Verdone,カルロ・ヴェルドーネ
Federico Marchetti,フェデリコ・マルケッティ
Giorgio Napolitano,ジョルジョ・ナポリターノ
Franco Zeffirelli,フランコ・ゼフィレッリ
Valerio Zurlini,ヴァレリオ・ズルリーニ
Steno,ステーノ
Francesco Rosi,フランチェスコ・ロージ
Mario Bava,マリオ・バーヴァ
Pupi Avati,プピ・アヴァティ
Liliana Cavani,リリアーナ・カヴァーニ
Walter Bonatti,ヴァルテル・ボナッティ
Michelangelo Antonioni,ミケランジェロ・アントニオーニ
Sergio Corbucci,セルジオ・コルブッチ
Emanuele Crialese,エマヌエーレ・クリアレーゼ
Monica Bellucci,モニカ・ベルッチ
Oscar Luigi Scalfaro,オスカル・ルイージ・スカルファロ
Camila Giorgi,カミラ・ジョルジ
Giorgio Chiellini,ジョルジョ・キエッリーニ
Gennaro Gattuso,ジェンナーロ・ガットゥーゾ
Noemi (cantante),ノエミ・(歌手)
Diego Abatantuono,ディエゴ・アバタントゥオーノ
Valentina Cervi,ヴァレンティナ・チェルヴィ
Sandro Lopopolo,サンドロ・ロポポロ
Dario Fo,ダリオ・フォ
Ludovico Einaudi,ルドヴィコ・エイナウディ
Luciano Liggio,ルチアーノ・リッジョ
Iván Piris,イバン・ピリス
Paola Ruffo di Calabria,パオラ・ルッフォ・ディ・カラブリア
Emiliano Sala,エミリアーノ・サラ
Andrea Chiesa,アンドレア・キエーザ
Carlo Clerici,カルロ・クレリーチ
Alfredo Dinale,アルフレード・ディナーレ
Valentino Gasparella,ヴァレンティーノ・ガスパレッラ
Antonio Candreva,アントニオ・カンドレーヴァ
Lina Wertmüller,リナ・ウェルトミューラー
Gustav Thöni,グスタヴォ・トエニ
Deborah Compagnoni,デボラ・コンパニョーニ
Alberto Tomba,アルベルト・トンバ
Nino Farina,ジュゼッペ・ファリーナ
Cesare Pavese,チェーザレ・パヴェーゼ
Sophia Loren,ソフィア・ローレン
Marcello Lippi,マルチェロ・リッピ
Enrico De Nicola,エンリコ・デ・ニコラ
Luigi Einaudi,ルイージ・エイナウディ
Alberto Lattuada,アルベルト・ラットゥアーダ
Ricardo Martinelli,リカルド・マルティネリ
Valentina Arrighetti,ヴァレンティナ・アリゲッティ
Zucchero Fornaciari,ズッケロ
Giorgio Francia,ジョルジオ・フランシア
Primo Nebiolo,プリモ・ネビオロ
Fabrizio Donato,ファブリツィオ・ドナート
Mauro Goicoechea,マウロ・ゴイコエチェア
Anita Pallenberg,アニタ・パレンバーグ
Danilo Gallinari,ダニーロ・ガリナリ
Mario Soldati,マリオ・ソルダーティ
Fabio Cannavaro,ファビオ・カンナヴァーロ
Ermanno Wolf-Ferrari,エルマンノ・ヴォルフ＝フェラーリ
Rocco Siffredi,ロッコ・シフレディ
Emanuele Filiberto di Savoia (1972),エマヌエーレ・フィリベルト・ディ・サヴォイア・(1972-)
Kaspar Capparoni,カスパー・カパローニ
Romeo Bertini,ロメオ・ベルティーニ
Gianni Infantino,ジャンニ・インファンティーノ
Valerio Arri,ヴァレリオ・アリ
Filippo Inzaghi,フィリッポ・インザーギ
Massimo Oddo,マッシモ・オッド
Martin Scorsese,マーティン・スコセッシ
Andrea Bocelli,アンドレア・ボチェッリ
Luciano Moggi,ルチアーノ・モッジ
Roberta Vinci,ロベルタ・ビンチ
Anna Magnani,アンナ・マニャーニ
Alberto Ascari,アルベルト・アスカリ
Totò,トト・(俳優)
Andrea Pirlo,アンドレア・ピルロ
Tarcisio Bertone,タルチジオ・ベルトーネ
Marco Borriello,マルコ・ボリエッロ
Papa Benedetto XVI,ベネディクト16世・(ローマ教皇)
Giorgio Pantano,ジョルジオ・パンターノ
Christian Abbiati,クリスティアン・アッビアーティ
José Altafini,ジョゼ・アルタフィーニ
Amauri,アマウリ・カルヴァーリョ・デ・オリヴェイラ
Papa Pio XII,ピウス12世・(ローマ教皇)
Yves Montand,イヴ・モンタン
Virna Lisi,ヴィルナ・リージ
Giovanni Trapattoni,ジョバンニ・トラパットーニ
Nicola Amoruso,ニコラ・アモルーゾ
Paolo Di Canio,パオロ・ディ・カーニオ
Monica Vitti,モニカ・ヴィッティ
Lucas Piazon,ルーカス・ドミンゲス・ピアソン
Giuseppe Olmo,ジュゼッペ・オルモ
Silvana Mangano,シルヴァーナ・マンガーノ
Giulietta Masina,ジュリエッタ・マシーナ
Eugenio Calabi,エウジェニオ・カラビ
Sara Simeoni,サラ・シメオニ
Pietro Mennea,ピエトロ・メンネア
Pietro Anastasi,ピエトロ・アナスタージ
Francesca Piccinini,フランチェスカ・ピッチニーニ
Manolo Gabbiadini,マノロ・ガッビアディーニ
Maria Montessori,マリア・モンテッソーリ
Claudio Pizarro,クラウディオ・ピサーロ
Mario Balotelli,マリオ・バロテッリ
Renato Dulbecco,レナート・ドゥルベッコ
Federico Fellini,フェデリコ・フェリーニ
Matteo Renzi,マッテオ・レンツィ
Pier Luigi Bersani,ピエル・ルイジ・ベルサーニ
Agnolo Bronzino,アーニョロ・ブロンズィーノ
Antonietta Di Martino,アントニエッタ・ディマルティーノ
Eddy Ottoz,エディ・オットツ
Matteo Darmian,マッテオ・ダルミアン
Anna Maria Pierangeli,ピア・アンジェリ
Alida Valli,アリダ・ヴァリ
Claudia Cardinale,クラウディア・カルディナーレ
Fabio Quagliarella,ファビオ・クアリャレッラ
Gabriel Heinze,ガブリエル・エインセ
Gundi Busch,ガンディ・ブッシュ
Raffaele Marciello,ラファエル・マルチェッロ
Marco Cimatti,マルコ・チマッティ
Marco Terrazzino,マルコ・テラッツィーノ
Marco Benassi (calciatore),マルコ・ベナッシ
Roberto Baggio,ロベルト・バッジョ
Andrea Barzagli,アンドレア・バルツァッリ
Leo Franco,レオ・フランコ
Antonio Di Pietro,アントニオ・ディ・ピエトロ
Ermanno Olmi,エルマンノ・オルミ
Franco Margola,フランコ・マルゴーラ
Lola Pagnani,ローラ・パニーニ
Alberto Paloschi,アルベルト・パロスキ
Romeo Benetti,ロメオ・ベネッティ
Alessandro Birindelli,アレッサンドロ・ビリンデッリ
Roberto Bettega,ロベルト・ベッテガ
Edmond Fischer,エドモンド・フィッシャー
Giampiero Boniperti,ジャンピエロ・ボニペルティ
Livio Berruti,リビオ・ベルッティ
Bernardino Luini,ベルナルディーノ・ルイーニ
Enrico Fermi,エンリコ・フェルミ
Gianfranco Fini,ジャンフランコ・フィーニ
Sergio Brio,セルジオ・ブリオ
Daniel Bovet,ダニエル・ボベット
Massimo D'Alema,マッシモ・ダレマ
Beppe Grillo,ベッペ・グリッロ
Antonio Cabrini,アントニオ・カブリーニ
Gianluigi Buffon,ジャンルイジ・ブッフォン
Riccardo Scamarcio,リッカルド・スカマルチョ
Julio Hernán Rossi,フリオ・エルナン・ロッシ
Fabrizio Miccoli,ファブリツィオ・ミッコリ
Marco Di Vaio,マルコ・ディ・ヴァイオ
Mauro Icardi,マウロ・イカルディ
Simone Collio,シモーネ・コリオ
Marco Cassetti,マルコ・カッセッティ
Silvio Berlusconi,シルヴィオ・ベルルスコーニ
Emma Bonino,エンマ・ボニーノ
Alberto Sordi,アルベルト・ソルディ
Ilona Staller,シュターッレル・イロナ
Giulio Andreotti,ジュリオ・アンドレオッティ
Parmigianino,パルミジャニーノ
Gae Aulenti,ガエ・アウレンティ
Ildebrando D'Arcangelo,イルデブランド・ダルカンジェロ
Abdul Rahman (pacifista),アブドル・ラフマン・(キリスト教改宗者)
Zita di Borbone-Parma,ツィタ・フォン・ブルボン＝パルマ
Ettore Sottsass,エットレ・ソットサス
Gianfranco Zola,ジャンフランコ・ゾラ
Luis Durnwalder,ルイス・ドゥルンヴァルダー
Giampaolo Pozzo,ジャンパオロ・ポッツォ
Andrea Stramaccioni,アンドレア・ストラマッチョーニ
Potito Starace,ポティート・スタラーチェ
Giuseppe Gabrielli,ジュゼッペ・ガブリエッリ
Giorgio Manganelli,ジョルジョ・マンガネッリ
Giuseppe Sinopoli,ジュゼッペ・シノーポリ
Kengiro Azuma,吾妻兼治郎
Stefano Mauri (calciatore),ステファノ・マウリ
Leonardo Sciascia,レオナルド・シャーシャ
Damiano Cunego,ダミアーノ・クネゴ
Gian Maria Volonté,ジャン・マリア・ヴォロンテ
Enzo Maresca,エンツォ・マレスカ
Andrea Agnelli,アンドレア・アニェッリ
Gaetano Martino,ガエターノ・マルティーノ
Tommaso Rocchi,トンマーゾ・ロッキ
Masolino da Panicale,マソリーノ
Alfredo Binda,アルフレッド・ビンダ
Mario Monti,マリオ・モンティ
Umberto Bossi,ウンベルト・ボッシ
Antonio Langella,アントニオ・ランジェッラ
Giorgio Rocca,ジョルジョ・ロッカ
Giuliano Razzoli,ジュリアーノ・ラッツォーリ
Roberto Mancini,ロベルト・マンチーニ
Giovanna Mezzogiorno,ジョヴァンナ・メッツォジョルノ
Umberto Eco,ウンベルト・エーコ
Carlo Scarpa,カルロ・スカルパ
Frank Capra,フランク・キャプラ
Vittorio De Sica,ヴィットリオ・デ・シーカ
Roberto Rossellini,ロベルト・ロッセリーニ
Ivan Santaromita,イヴァン・サンタロミータ
Vittorio Emanuele III di Savoia,ヴィットーリオ・エマヌエーレ3世
Alfred Duncan,アルフレッド・ダンカン
Poggio Bracciolini,ポッジョ・ブラッチョリーニ
Stefano Fiore,ステファノ・フィオーレ
Giuseppe Giannini (calciatore),ジュゼッペ・ジャンニーニ
Arisa,アリーザ・(イタリアの歌手)
Alessandro Blasetti,アレッサンドロ・ブラゼッティ
Pietro Germi,ピエトロ・ジェルミ
Mauro Bolognini,マウロ・ボロニーニ
Bernardo Bertolucci,ベルナルド・ベルトルッチ
Marco Bellocchio,マルコ・ベロッキオ
Dario Argento,ダリオ・アルジェント
Guido Brignone,グイド・ブリニョーネ
Vanessa Beecroft,ヴァネッサ・ビークロフト
Claudio Abbado,クラウディオ・アバド
Gian Francesco Malipiero,ジャン・フランチェスコ・マリピエロ
Arturo Benedetti Michelangeli,アルトゥーロ・ベネデッティ・ミケランジェリ
Danilo Di Luca,ダニーロ・ディルーカ
Riccardo Montolivo,リッカルド・モントリーヴォ
Rodolfo Graziani,ロドルフォ・グラツィアーニ
Manuele Blasi,マヌエレ・ブラージ
Romano Mussolini,ロマーノ・ムッソリーニ
Andrea Bosic,アンドレア・ボシック
Dario Dainelli,ダリオ・ダイネッリ
Filippa Giordano,フィリッパ・ジョルダーノ
Carlo Bergonzi,カルロ・ベルゴンツィ
Luigi Comencini,ルイジ・コメンチーニ
Arturo Toscanini,アルトゥーロ・トスカニーニ
Renato Corsetti,レナート・コルセッティ
Stephan El Shaarawy,ステファン・エル・シャーラウィ
Nanni Loy,ナンニ・ロイ
Carmine Gallone,カルミネ・ガローネ
Giuseppe De Santis,ジュゼッペ・デ・サンティス
