Tours,투르
Union astronomique internationale,국제천문연맹
Rhône-Alpes,론알프
Brive-la-Gaillarde,브리브라가야르드
Montpellier,몽펠리에
Eure-et-Loir,외레루아르
Guyane,프랑스령 기아나
Le Havre,르아브르
"Matra (entreprise, 1941-2003)",마트라
Lourdes,루르드
Euskadi ta Askatasuna,바스크 조국과 자유
Nouméa,누메아
Jeux olympiques d'hiver de 1968,1968년 동계 올림픽
Conseil de l'Europe,유럽 평의회
Le Monde,르 몽드
Avenue des Champs-Élysées,샹젤리제 거리
Musée des Beaux-Arts de Lyon,리옹 미술관
Rennes,렌 (프랑스)
Loire,루아르강
Lille,릴
Bouches-du-Rhône,부슈뒤론주
Mer du Nord,북해
Primatiale Saint-Jean de Lyon,리옹 대성당
Loire (département),루아르 (데파르트망)
Hispano-Suiza,이스파노 수이자
Tour de France,투르 드 프랑스
Maine-et-Loire,메네루아르
Mayenne (département),마옌 (데파르트망)
Nord (département français),노르 (데파르트망)
Prix Sakharov,사하로프상
Arles,아를
Charleville-Mézières,샤를빌메지에르
Châlons-en-Champagne,샬롱앙샹파뉴
Franche-Comté,프랑슈콩테
Tarn-et-Garonne,타른에가론
Union pour un mouvement populaire,대중운동연합
Créole réunionnais,레위니옹 크리올
Championnat de France de football,리그 1
Les Abymes,레자빔
Polynésie,폴리네시아
Le Canard enchaîné,르 카나르 앙셰네
Villeneuve-d'Ascq,빌뇌브다스크
.wf,.wf
Aisne (affluent de l'Oise),엔강
Festival de Cannes,칸 영화제
Charte européenne des langues régionales ou minoritaires,유럽 지방 언어·소수 언어 헌장
Conciergerie de Paris,콩시에르주리
Somme (département),솜 (데파르트망)
Brest,브레스트 (프랑스)
Vienne (département),비엔주
Vaulx-en-Velin,보앙벨랭
Ligne 6 du métro de Paris,파리 메트로 6호선
Ligne 9 du métro de Paris,파리 메트로 9호선
Ligne 11 du métro de Paris,파리 메트로 11호선
Ligne 12 du métro de Paris,파리 메트로 12호선
Ministère des Armées,프랑스 국방부
Gers (département),제르스 (데파르트망)
La Rochelle,라로셸
100 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900년 하계 올림픽 육상 남자 100m
Hautes-Pyrénées,오트피레네주
Île-de-France,일드프랑스
Mamoudzou,마무주 (마요트)
Maubeuge,모뵈주
Haute-Savoie,오트사부아주
Papeete,파페에테
Ardenne,아르덴
Air France,에어 프랑스
Canton de Plateau d'Hauteville,오트빌롱느 캉통
Zazas,자자족
Arras,아라스
Toulouse Football Club,툴루즈 FC
Intercity-Express,인터시티익스프레스
Haguenau,아그노
Gagny,가니
Groupe PSA,그루프 PSA
Margaux (Gironde),마르고
Jardin du rocher des Doms,로셰 데 돔
Institut polytechnique des sciences avancées,고급 과학 폴리 테크닉 연구소
Givet,지베
7e arrondissement de Paris,파리 7구
Internationaux de France de tennis 2010,2010년 프랑스 오픈
Delage (entreprise),들라주
Funiculaire de Montmartre,퓌니퀼레르 드 몽마르트르
Droit numérique,디지털 권리
Racing 92,라싱 92
France aux Jeux olympiques d'hiver de 1928,1928년 동계 올림픽 프랑스 선수단
Pas de Calais,도버 해협
Argenteuil (Val-d'Oise),아르장퇴유
Saint-Pierre (Saint-Pierre-et-Miquelon),생피에르 (생피에르 미클롱)
Abondance (Haute-Savoie),아봉당스
Saint-Laurent-du-Maroni,생로랑뒤마로니
France 24,프랑스 24
Auxerre,오세르
Ordre cistercien,시토회
Croix (Nord),크루아
France au Moyen Âge,중세 프랑스
Metz,메스 (프랑스)
Saint-Priest,생프리에스트
Aéroport de Toulouse-Blagnac,툴루즈 블라냐크 공항
Polo aux Jeux olympiques de 1900,1900년 하계 올림픽 폴로
Fontainebleau,퐁텐블로
Groupe B de la Coupe du monde de football 1998,1998년 FIFA 월드컵 B조
Gradignan,그라디냥
Grigny (Essonne),그리니
Gymnastique aux Jeux olympiques de 1900,1900년 하계 올림픽 체조
Légion étrangère,프랑스 외인부대
Parti communiste français,프랑스 공산당
Bègles,베글
Mont-de-Marsan,몽드마르상
Montluçon,몽뤼송
Montigny-le-Bretonneux,몽티니르브르토뇌
Société générale,소시에테 제네랄
École centrale de Lille,에콜 상트랄 릴
Liste des communes de l'Aude,오드주의 코뮌 목록
Liste des communes des Alpes-de-Haute-Provence,알프드오트프로방스주의 코뮌 목록
Arrondissement français,프랑스의 아롱디스망
Provins,프로뱅
SÉCAM,SÉCAM
Palais de l'Élysée,엘리제궁
Saône,손강 (프랑스)
Château de Chenonceau,슈농소성
Saint-Émilion,쌩떼밀리옹
Bobigny,보비니
Île Clipperton,클리퍼턴섬
Symbolisme (art),상징주의
Île Saint-Paul (océan Indien),생폴섬
Colombes,콜롱브
Pantin,팡탱
Antony,앙토니
Gironde (Révolution française),지롱드파
3e arrondissement de Paris,파리 3구
Franc Pacifique,CFP 프랑
1er régiment de parachutistes d'infanterie de marine,제1낙하산해병보병연대
Conflans-Sainte-Honorine,콩플랑생토노린
Zone rouge (séquelles de guerre),존 루주
Entzheim,엔츠하임
Illkirch-Graffenstaden,일키르슈그라펜스타덴
Sainte-Geneviève-des-Bois (Essonne),생트준비에브데부아
Vitré (Ille-et-Vilaine),비트레 (일에빌렌주)
Dassault Mirage 2000,다소 미라주 2000
Guéret,게레
Terreur (Révolution française),공포 정치
Beaupont,보퐁
Bondy,봉디
Saint-Médard-en-Jalles,생메다르앙잘
Saint-Martin-d'Hères,생마르탱데르
Le Plessis-Robinson,르플레시로뱅송
Villemomble,빌몽블
Le Petit-Quevilly,르프티케비
Fécamp,페캉
8e arrondissement de Paris,파리 8구
Pointe du Hoc,프앙테 뒤 오크
Orléanisme,오를레앙파
Briançon,브리앙송
Ars-sur-Formans,아르쉬르포르망
Riom,리옹 (퓌드돔주)
Embrun (Hautes-Alpes),앙브룅
Traité de Nice,니스 조약
Bellignat,벨리냐
Biziat,비지아
Arandas,아랑다
Brégnier-Cordon,브레니에코르동
Charenton-le-Pont,샤랑통르퐁
Lanmeur,랑뫼르
Château-Chinon (Ville),샤토시농 (빌)
Liévin,리에뱅
Île du Diable,악마섬
Rezé,르제
Dexia (banque),덱시아
Landivisiau,랑디비지오
Île aux Cygnes (Paris),시뉴섬
Îles du Salut,살뤼섬
Délégation générale du Québec à Paris,주파리 퀘벡 정부 대표부
Union sportive Orléans Loiret football,US 오를레앙
Parti radical de gauche,좌익급진당
Association sportive Beauvais Oise,AS 보베 우아즈
Direction générale de la Sécurité extérieure,대외안보총국
Liste des communes de la Loire,루아르주의 코뮌 목록
Monteux (Vaucluse),몽퇴
France Football,프랑스 풋볼
Chevreuse,슈브르즈
La Chapelle-Saint-Luc,라샤펠생뤼크
Mazingarbe,마쟁가르브
Grotte Chauvet,쇼베 동굴
Noisy-le-Sec,누아지르세크
Armagnac (eau-de-vie),아르마냐크 (술)
Liste des communes du Rhône,론주의 코뮌 목록
Alcatel-Lucent,알카텔-루슨트
Dijon Football Côte-d'Or,디종 FCO
Tableau des médailles des Jeux olympiques d'hiver de 1992,1992년 동계 올림픽 메달 집계
Cotentin,코탕탱반도
Pont de Normandie,노르망디교
Équipe de Guadeloupe de football,과들루프 축구 국가대표팀
Langues régionales ou minoritaires en France,프랑스의 언어
Les Pavillons-sous-Bois,레파비용수부아
Relations entre la Corée du Sud et la France,한불 관계
Natixis,나틱시스
Orchestre philharmonique de Radio France,라디오 프랑스 필하모니 관현악단
Jeu de paume (centre d'art),죄드폼 국립미술관
Orchestre national de France,프랑스 국립 관현악단
Chanoz-Châtenay,샤노샤트네
Laguiole (fromage),라욜 (치즈)
Prix Salem,살렘상
Chaveyriat,샤베리아
Route européenne 25,유럽 고속도로 25호선
Football Club gueugnonnais,FC 괴뇽
Ski de fond aux Jeux olympiques de 1924,1924년 동계 올림픽 크로스컨트리
Deezer,Deezer
Collectivité d'outre-mer,해외 집합체
Championnats du monde de judo 2011,2011년 세계 유도 선수권 대회
Tours préliminaires à la Coupe du monde de football 1938,1938년 FIFA 월드컵 예선
Bassin parisien,파리 분지
