Andrzej Wajda,アンジェイ・ワイダ
Przemysł II,プシェミスウ2世・(ポーランド王)
Leszek Czarny,レシェク2世
Konrad I mazowiecki,コンラト1世・(マゾフシェ公)
Kazimierz II Sprawiedliwy,カジミェシュ2世
Kazimierz III Wielki,カジミェシュ3世・(ポーランド王)
Zygmunt Chychła,ジグムント・チチラ
Margareta Kozuch,マルガレーテ・コズーフ
Paul Baran (informatyk),ポール・バラン
Laurent Koscielny,ローラン・コシールニー
Krzysztof Kieślowski,クシシュトフ・キェシロフスキ
Zygmunt I Stary,ジグムント1世・(ポーランド王)
Jerzy Stuhr,イエルジー・スチュエル
Hermann Friedmann,ヘルマン・フリートマン
Zbigniew Boniek,ズビグニェフ・ボニエク
Emil Hirschfeld,エミール・ヒルシュフェルト
Władysław III Laskonogi,ヴワディスワフ3世ラスコノギ
Władysław II Wygnaniec,ヴワディスワフ2世ヴィグナニェツ
Władysław I Herman,ヴワディスワフ1世ヘルマン
Krzysztof Zanussi,クシシュトフ・ザヌッシ
Zbigniew Zamachowski,ズビグニェフ・ザマホフスキ
Donald Tusk,ドナルド・トゥスク
Julius Axelrod,ジュリアス・アクセルロッド
Jan Paweł II,ヨハネ・パウロ2世・(ローマ教皇)
Kacper Przybyłko,カツペル・プシビウコ
Tomasz Majewski,トマシュ・マエフスキ
Aleksander Kwaśniewski,アレクサンデル・クファシニェフスキ
Isaac Bashevis Singer,アイザック・バシェヴィス・シンガー
Karol Stefan Habsburg,カール・シュテファン・フォン・エスターライヒ
Ignace Gelb,イグナス・ゲルブ
Benoît Mandelbrot,ブノワ・マンデルブロ
Raymond Kopa,レイモン・コパ
Leon Jogiches,レオ・ヨギヘス
Otylia Jędrzejczak,オティリア・イェジェイチャク
Anni Friesinger-Postma,アンニ・フリージンガー
Kevin Mirocha,ケビン・ミロチャ
Lech Kaczyński,レフ・カチンスキ
Krystyna Feldman,クリスティーナ・フェルドマン
Maciej Kozłowski (aktor),マチェイ・コズラウスキー
Lech Wałęsa,レフ・ヴァウェンサ
Alexander Granach,アレクサンダー・グラナック
Leon Karol Habsburg,レオ・カール・フォン・エスターライヒ
Adam Mickiewicz,アダム・ミツキェヴィチ
Edyta Piecha,エディタ・ピエーハ
Miroslav Klose,ミロスラフ・クローゼ
Harry Warner,ハリー・ワーナー
Olek Krupa,オレク・クルパ
Moris Rosenfeld,モリス・ローゼンフェルド
Ryksa śląska,リクサ・シロンスカ
Henryk Kasperczak,ヘンリク・カスペルチャク
Anita Włodarczyk,アニタ・ヴォダルチク
Stanisław Lem,スタニスワフ・レム
Eugen Polanski,オイゲン・ポランスキ
Jennifer Suhr,ジェニファー・サー
Tadeusz Reichstein,タデウシュ・ライヒスタイン
Małgorzata Musierowicz,マウゴジャタ・ムシェロヴィチ
Marian Woronin,マリアン・ヴォロニン
Adam Harasiewicz,アダム・ハラシェヴィチ
Maria Skłodowska-Curie,マリ・キュリー
Ryszard Kaczorowski,リシャルト・カチョロフスキ
Wojciech Jaruzelski,ヴォイチェフ・ヤルゼルスキ
