陈定,チンサダ,chén dìng,chinsada
万钢,マンコウ,wàn gāng,mankou
王选,オウセン,wáng xuǎn,ousen
张昊,チョウヒロシ,zhāng hào,chouhiroshi
张洁,チョウキヨシ,zhāng jié,choukiyoshi
阳蕾,ヒツボミ,yáng lěi,hitsubomi
张帅,チョウソチ,zhāng shuài,chousochi
杜丽,モリウララ,dù lì,moriurara
张立,チョウリツ,zhāng lì,chouritsu
张军,チョウグン,zhāng jūn,chougun
仲满,ナカミツル,zhòng mǎn,nakamitsuru
郑智,テイサトシ,zhèng zhì,teisatoshi
周强,シュウツヨシ,zhōu qiáng,shuutsuyoshi
郭跃,カクオド,guō yuè,kakuodo
巴金,トモエキン,bā jīn,tomoekin
张宁,チョウヤスシ,zhāng níng,chouyasushi
周洋,シュウヒロシ,zhōu yáng,shuuhiroshi
张楠,チョウクスノキ,zhāng nán,choukusunoki
丁宁,テイネイ,dīng níng,teinei
白雪,ハクユキ,bái xuě,hakuyuki
梁挺,ヤナテイ,liáng tǐng,yanatei
丁玲,チョウレイ,dīng líng,chourei
韩端,カンタダシ,hán duān,kantadashi
钱琳,リンリン,qián lín,rinrin
刘翔,リュウショウ,liú xiáng,ryuushou
陈露,チンロ,chén lù,chinro
何姿,ナニスガタ,hé zī,nanisugata
胡佳,エビスケイ,hú jiā,ebisukei
金庸,キムイサオ,jīn yōng,kimuisao
赵丹,チョウマコト,zhào dān,choumakoto
王楠,オウクスノキ,wáng nán,oukusunoki
郑义,テイヨシ,zhèng yì,teiyoshi
郑洁,テイキヨシ,zhèng jié,teikiyoshi
刘芳,リュウカオル,liú fāng,ryuukaoru
申雪,サルユキ,shēn xuě,saruyuki
刘洋,リュウヒロシ,liú yáng,ryuuhiroshi
溥仪,アイシンサトシラフギ,pǔ yí,aishinsatoshirafugi
江青,コウセイ,jiāng qīng,kousei
汤唯,ユタダ,tāng wéi,yutada
方方,ホウボウ,fāng fāng,houbou
李玉,リタマ,lǐ yù,ritama
李鹏,リホウ,lǐ péng,rihou
陈毅,チンアツシ,chén yì,chinatsushi
龙云,リュウクモ,lóng yún,ryuukumo
陈好,チンヨシミ,chén hǎo,chinyoshimi
乔红,タカシベニ,qiáo hóng,takashibeni
刘艳,リュウツヤ,liú yàn,ryuutsuya
田佳,タケイ,tián jiā,takei
张丹,チョウマコト,zhāng dān,choumakoto
刘虹,リュウニジ,liú hóng,ryuuniji
韩聪,カンサトシ,hán cōng,kansatoshi
朱德,シュイサオ,zhū dé,shuisao
孔杰,アナスグル,kǒng jié,anasuguru
张阳,チョウヨウ,zhāng yáng,chouyou
热比娅·卡德尔,ラビア・カーディル,rè bǐ yà · kǎ dé ěr,rabia・kādiru
阿来,オモネコ,ā lái,omoneko
艾斯海提·克里木拜,アシハテ・クリムバ,ài sī hǎi tí · kè lǐ mù bài,ashihate・kurimuba
陈仪,チンタダシ,chén yí,chintadashi
王皓,オウアキラ,wáng hào,ouakira
李宁,リヤスシ,lǐ níng,riyasushi
谭盾,タンタテ,tán dùn,tantate
吴京,ゴミヤコ,wú jīng,gomiyako
卢汉,ノカン,lú hàn,nokan
陈方安生,チンカタヤスセイ,chén fāng ān shēng,chinkatayasusei
吴仪,ゴタダシ,wú yí,gotadashi
韩正,カンタダシ,hán zhèng,kantadashi
老舍,ロウシャ,lǎo shè,rousha
林彪,ハヤシピョウ,lín biāo,hayashipyou
王君,オウクン,wáng jūn,oukun
刀郎,カタナロウ,dāo láng,katanarou
高峰,タカミネ,gāo fēng,takamine
潘岳,ハンタケシ,pān yuè,hantakeshi
李山,スモモヤマ,lǐ shān,sumomoyama
郎平,ロウタイラ,láng píng,routaira
潘松,ハンマツ,pān sōng,hanmatsu
宁浩,ヤスシヒロシ,níng hào,yasushihiroshi
茅盾,カヤタテ,máo dùn,kayatate
黄昆,キコン,huáng kūn,kikon
吐赫提·土亚兹,トフティ・トゥニヤズ,tǔ hè tí · tǔ yà zī,tofuti・tuniyazu
汪晖,ヒロシアキラ,wāng huī,hiroshiakira
柴静,シバシズ,chái jìng,shibashizu
李平,スモモダイラ,lǐ píng,sumomodaira
宋茜,ビクトリア,sòng qiàn,bikutoria
胡风,エビスフウ,hú fēng,ebisufuu
陈楠,チンクスノキ,chén nán,chinkusunoki
姜文,キョウブン,jiāng wén,kyoubun
石俊,イシシュン,shí jùn,ishishun
德穆楚克栋鲁普,デムチュクドンロブ,dé mù chǔ kè dòng lǔ pǔ,demuchukudonrobu
王刚,オウツヨシ,wáng gāng,outsuyoshi
王兵,オウヘイ,wáng bīng,ouhei
吕林,リョリン,lǚ lín,ryorin
雷锋,カミナリホコサキ,léi fēng,kaminarihokosaki
余华,ヨハナ,yú huá,yohana
包尔汉·沙希迪,ブルハン・シャヒディ,bāo ěr hàn · shā xī dí,buruhan・shahidi
柳超,ヤナギチョウ,liǔ chāo,yanagichou
刘霞,リュウカスミ,liú xiá,ryuukasumi
陈静,チンシズ,chén jìng,chinshizu
伊力哈木·土赫提,イリハム・トフティ,yī lì hā mù · tǔ hè tí,irihamu・tofuti
黄华,キハナ,huáng huá,kihana
徐冰,ジョコオリ,xú bīng,jokoori
春丽,ハルウララ,chūn lì,haruurara
李俊,リシュン,lǐ jùn,rishun
韩庚,カンカノエ,hán gēng,kankanoe
铃木惠美,スズキエミ,líng mù huì měi,suzukiemi
王力,オウツトム,wáng lì,outsutomu
吕乐,リョラク,lǚ lè,ryoraku
金晶,キムアキラ,jīn jīng,kimuakira
田汉,タカン,tián hàn,takan
班禅额尔德尼·确吉杰布,ギェンツェン・ノルブ,bān chán é ěr dé ní · què jí jié bù,giェntsen・norubu
汪洋,オウヨウ,wāng yáng,ouyou
天宝,テンポウ,tiān bǎo,tenpou
汤汉,ユカン,tāng hàn,yukan
徐星,ジョホシ,xú xīng,johoshi
苏童,ソワラベ,sū tóng,sowarabe
王洁,オウキヨシ,wáng jié,oukiyoshi
叶群,ハグン,yè qún,hagun
夏达,ナツイタル,xià dá,natsuitaru
丁伟,ヒノトエラ,dīng wěi,hinotoera
谢飞,シャヒ,xiè fēi,shahi
朱启,シュアキラ,zhū qǐ,shuakira
王超,オウチョウ,wáng chāo,ouchou
何洁,ナニキヨシ,hé jié,nanikiyoshi
李玲,リレイ,lǐ líng,rirei
粟裕,アワヒロシ,sù yù,awahiroshi
陈飞,チンヒ,chén fēi,chinhi
周挺,シュウテイ,zhōu tǐng,shuutei
朱波,シュナミ,zhū bō,shunami
阿英,オモネエイ,ā yīng,omoneei
古华,コハナ,gǔ huá,kohana
孙楠,マゴクスノキ,sūn nán,magokusunoki
马健,ウマケン,mǎ jiàn,umaken
田野,デンヤ,tián yě,denya
刘健,リュウケン,liú jiàn,ryuuken
朴成,ボクシゲル,pǔ chéng,bokushigeru
梦鸽,ユメドバト,mèng gē,yumedobato
铁凝,テツコゴ,tiě níng,tetsukogo
端木正和,ハジキショウワ,duān mù zhèng hé,hajikishouwa
荣昊,サカエヒロシ,róng hào,sakaehiroshi
孟克巴特尔,トモエトクナンジ,mèng kè bā tè ěr,tomoetokunanji
宋丹,ソウマコト,sòng dān,soumakoto
卢兰,ノラン,lú lán,noran
王喜,オウキ,wáng xǐ,ouki
丰云,ユタカクモ,fēng yún,yutakakumo
李帅,リソチ,lǐ shuài,risochi
马龙,ウマリュウ,mǎ lóng,umaryuu
格非,カクヒ,gé fēi,kakuhi
唐豪,トウゴウ,táng háo,tougou
王勇,オウイサム,wáng yǒng,ouisamu
李强,リツヨシ,lǐ qiáng,ritsuyoshi
姜波,キョウナミ,jiāng bō,kyounami
田刚,タツヨシ,tián gāng,tatsuyoshi
艾尔肯·阿布甫泰肯,エルキン・アルプテキン,ài ěr kěn · ā bù fǔ tài kěn,erukin・aruputekin
韩红,カラクレナイ,hán hóng,karakurenai
李铁,リテツ,lǐ tiě,ritetsu
王菲,ウォンフェイ,wáng fēi,wonfei
启功,ケイコウ,qǐ gōng,keikou
小悦悦事件,チュウゴクホトケヤマシジョジヒキニゲジケン,xiǎo yuè yuè shì jiàn,chuugokuhotokeyamashijojihikinigejiken
李明,リアキラ,lǐ míng,riakira
葛优,カズラユウ,gě yōu,kazurayuu
许岩,モトイワ,xǔ yán,motoiwa
韩寒,カンカン,hán hán,kankan
李锐,リスルド,lǐ ruì,risurudo
万里,バンリ,wàn lǐ,banri
慧文,ケイブン,huì wén,keibun
朱玲,シュレイ,zhū líng,shurei
董洁,タダシキヨシ,dǒng jié,tadashikiyoshi
易纲,エキツナ,yì gāng,ekitsuna
韩松,カンマツ,hán sōng,kanmatsu
黄菊,キキク,huáng jú,kikiku
苏聪,ソサトシ,sū cōng,sosatoshi
杜威,モリイ,dù wēi,morii
周济,シュウワタル,zhōu jì,shuuwataru
巴燕,トモエツバメ,bā yàn,tomoetsubame
汪嵩,ヒロシカサ,wāng sōng,hiroshikasa
白洁,ハクキヨシ,bái jié,hakukiyoshi
周觅,チョウミ,zhōu mì,choumi
张杰,チョウスグル,zhāng jié,chousuguru
吐尔贡·阿力玛斯,トルグン・アルマス,tǔ ěr gòng · ā lì mǎ sī,torugun・arumasu
马洪,ウマヒロシ,mǎ hóng,umahiroshi
陆昊,リクヒロシ,lù hào,rikuhiroshi
常昊,ツネヒロシ,cháng hào,tsunehiroshi
曲波,キョクハ,qū bō,kyokuha
王震,オウシン,wáng zhèn,oushin
孙悦,マゴエツ,sūn yuè,magoetsu
黄鸣,キナ,huáng míng,kina
黄宏,キヒロシ,huáng hóng,kihiroshi
何勇,ナニイサム,hé yǒng,naniisamu
金山,カナヤマ,jīn shān,kanayama
许晴,モトハレ,xǔ qíng,motohare
秦晖,ハタアキラ,qín huī,hataakira
孙震,マゴシン,sūn zhèn,magoshin
田亮,タアキラ,tián liàng,taakira
绿川英子,ハセガワテル,lǜ chuān yīng zǐ,hasegawateru
安替,ヤスカワ,ān tì,yasukawa
残雪,ザンセツ,cán xuě,zansetsu
崔健,チェケン,cuī jiàn,cheken
康生,ヤスオ,kāng shēng,yasuo
孙锐,マゴスルド,sūn ruì,magosurudo
田沅,タハラ,tián yuán,tahara
孔泉,アナイズミ,kǒng quán,anaizumi
巴森,バーサンジャブ,bā sēn,bāsanjabu
谭政,タンセイ,tán zhèng,tansei
姜昆,キョウコン,jiāng kūn,kyoukon
张迪,チョウススム,zhāng dí,choususumu
刘星,リュウホシ,liú xīng,ryuuhoshi
宋佳,ソウケイ,sòng jiā,soukei
何金,ナニキン,hé jīn,nanikin
哈达,ハダ,hǎ dá,hada
吉田海伟,ヨシダウミエラ,jí tián hǎi wěi,yoshidaumiera
唐鹏,トウオオトリ,táng péng,touootori
马可,ウマカ,mǎ kě,umaka
陆俊,リクシュン,lù jùn,rikushun
陈云,チンクモ,chén yún,chinkumo
胡杰,エビススグル,hú jié,ebisusuguru
胡歌,エビスカ,hú gē,ebisuka
严浩,イムヒロシ,yán hào,imuhiroshi
王伟,オウエラ,wáng wěi,ouera
苍国来荣吉,アオコクライエイキチ,cāng guó lái róng jí,aokokuraieikichi
王檄,オウゲキ,wáng xí,ougeki
黄宽,キヒロシ,huáng kuān,kihiroshi
韩雪,カンユキ,hán xuě,kanyuki
劳义,ロウヨシ,láo yì,rouyoshi
马云,ウマクモ,mǎ yún,umakumo
梁相,ヤナショウ,liáng xiāng,yanashou
地下浩多,チカヒロシタ,dì xià hào duō,chikahiroshita
孙祥,マゴサチ,sūn xiáng,magosachi
谢晋,シャススム,xiè jìn,shasusumu
王蒙,オウコウム,wáng méng,oukoumu
艾达·王,エイダ・ウォン,ài dá · wáng,eida・won
楼云,ロウクモ,lóu yún,roukumo
努尔·白克力,ヌル・ベクリ,nǔ ěr · bái kè lì,nuru・bekuri
古力,コチカラ,gǔ lì,kochikara
李敏,リサトシ,lǐ mǐn,risatoshi
凯尔·安德森,カイル・アンダーソン,kǎi ěr · ān dé sēn,kairu・andāson
秦昊,ハタヒロシ,qín hào,hatahiroshi
秦岚,ハタアラシ,qín lán,hataarashi
强卫,ツヨマモル,qiáng wèi,tsuyomamoru
齐佳,ヒトシケイ,qí jiā,hitoshikei
葛然朗巴·平措汪杰,プンツォク・ワンギャル,gě rán lǎng bā · píng cuò wāng jié,puntsoku・wangyaru
董斌,タダシアキラ,dǒng bīn,tadashiakira
魏巍,ギタカシ,wèi wēi,gitakashi
凌力,リョウリョク,líng lì,ryouryoku
王旭,オウアサヒ,wáng xù,ouasahi
胡军,エビスグン,hú jūn,ebisugun
艾敬,アイタカシ,ài jìng,aitakashi
赛福鼎·艾则孜,セイプディン・エズィズィ,sài fú dǐng · ài zé zī,seipudin・ezizi
肖钢,アヤカハガネ,xiào gāng,ayakahagane
阿不来提·阿不都热西提,アブラテ・アブドルシテ,ā bù lái tí · ā bù dōu rè xī tí,aburate・abudorushite
王丹,オウマコト,wáng dān,oumakoto
柴玲,シバレイ,chái líng,shibarei
李博,リヒロシ,lǐ bó,rihiroshi
夏衍,シアーイエン,xià yǎn,shiāien
宋平,ソウタイラ,sòng píng,soutaira
任航,ニンコウ,rèn háng,ninkou
白光,ハッコウ,bái guāng,hakkou
宋楠,ソウクスノキ,sòng nán,soukusunoki
乔石,キョウセキ,qiáo shí,kyouseki
李勇,リイサム,lǐ yǒng,riisamu
列确,レーチョク,liè què,rēchoku
夏雨,ナツウ,xià yǔ,natsuu
韩鹏,カンホウ,hán péng,kanhou
林夕,ハヤシユウ,lín xī,hayashiyuu
程潜,ホドセン,chéng qián,hodosen
王明,オウアキラ,wáng míng,ouakira
林虎,ハヤシトラ,lín hǔ,hayashitora
孙旭,マゴアサヒ,sūn xù,magoasahi
江平,ゴウビラ,jiāng píng,goubira
林丹,ハヤシマコト,lín dān,hayashimakoto
郑龙,テイリュウ,zhèng lóng,teiryuu
周伟,シュウエラ,zhōu wěi,shuuera
贺龙,ガリュウ,hè lóng,garyuu
朱旭,シュアサヒ,zhū xù,shuasahi
李典,リノリ,lǐ diǎn,rinori
黎原,ハジムハラ,lí yuán,hajimuhara
陈蕾,チンツボミ,chén lěi,chintsubomi
林雪,ハヤシユキ,lín xuě,hayashiyuki
劳安,ロウヤス,láo ān,rouyasu
罗京,ラミヤコ,luó jīng,ramiyako
王毅,オウアツシ,wáng yì,ouatsushi
刘源,リュウハジメ,liú yuán,ryuuhajime
张毅,チョウアツシ,zhāng yì,chouatsushi
王军,オウグン,wáng jūn,ougun
陈坤,チンヒツジサル,chén kūn,chinhitsujisaru
铁瑛,テツアキラ,tiě yīng,tetsuakira
孙奇,マゴキ,sūn qí,magoki
符浩,フヒロシ,fú hào,fuhiroshi
古力娜扎,グーリーナーザー,gǔ lì nà zhā,gūrīnāzā
罗干,ラミキ,luó gān,ramiki
穆青,キヨシアオ,mù qīng,kiyoshiao
刘鹤,リュウツル,liú hè,ryuutsuru
王晶,オウアキラ,wáng jīng,ouakira
方强,ホウツヨシ,fāng qiáng,houtsuyoshi
程虹,ホドニジ,chéng hóng,hodoniji
刘毅,リュウアツシ,liú yì,ryuuatsushi
魏亮,ギアキラ,wèi liàng,giakira
田中,タナカ,tián zhōng,tanaka
柳岩,ヤナギイワ,liǔ yán,yanagiiwa
王林,オウリン,wáng lín,ourin
陶铸,スエイ,táo zhù,suei
陈希,チンノゾミ,chén xī,chinnozomi
巫丹,ミコニ,wū dān,mikoni
吴楠,ゴクスノキ,wú nán,gokusunoki
熊飞,クマヒ,xióng fēi,kumahi
秦刚,ハタツヨシ,qín gāng,hatatsuyoshi
殷茵,インシトネ,yīn yīn,inshitone
车俊,クルマシュン,chē jùn,kurumashun
王平,オウタイラ,wáng píng,outaira
龙潜,リュウセン,lóng qián,ryuusen
谷牧,タニマキ,gǔ mù,tanimaki
李希,リノゾミ,lǐ xī,rinozomi
吕东,リョヒガシ,lǚ dōng,ryohigashi
麦家,ムギカ,mài jiā,mugika
王克,オウカツ,wáng kè,oukatsu
苗华,ナエハナ,miáo huá,naehana
唐军,トウグン,táng jūn,tougun
陈武,チンタケシ,chén wǔ,chintakeshi
宋健,ソウケン,sòng jiàn,souken
马原,マバル,mǎ yuán,mabaru
王垚,オウタカシ,wáng yáo,outakashi
孙可,マゴカ,sūn kě,magoka
许勤,モトツトム,xǔ qín,mototsutomu
陈垣,チンカキ,chén yuán,chinkaki
连笑,レンエミ,lián xiào,renemi
刘刚,リュウツヨシ,liú gāng,ryuutsuyoshi
石平,イシダイラ,shí píng,ishidaira
张壮,チョウタケシ,zhāng zhuàng,choutakeshi
林武,ハヤシタケシ,lín wǔ,hayashitakeshi
连岳,レンダケ,lián yuè,rendake
韩栋,カントウ,hán dòng,kantou
郑弘,テイヒロシ,zhèng hóng,teihiroshi
雷军,カミナリグン,léi jūn,kaminarigun
郭达,カクイタル,guō dá,kakuitaru
母其弥雅,ムチミヤ,mǔ qí mí yǎ,muchimiya
郁秀,ユウシュウ,yù xiù,yuushuu
郑岩,テイイワ,zhèng yán,teiiwa
童瑶,ワラベヨウ,tóng yáo,warabeyou
刘奇,リュウキ,liú qí,ryuuki
齐·宝力高,チ・ボラグ,qí · bǎo lì gāo,chi・boragu
伍芳,ゴカオル,wǔ fāng,gokaoru
康辉,カンアキラ,kāng huī,kanakira
张希,チョウノゾミ,zhāng xī,chounozomi
王群,オウグン,wáng qún,ougun
陈健,チンケン,chén jiàn,chinken
杜宪,モリケン,dù xiàn,moriken
董卿,タダシキョウ,dǒng qīng,tadashikyou
任泉,ニンイズミ,rèn quán,ninizumi
时越,トキコシ,shí yuè,tokikoshi
铁流,テツリュウ,tiě liú,tetsuryuu
陈数,チンスウ,chén shù,chinsuu
宋洋,ソウヒロシ,sòng yáng,souhiroshi
梅方,ウメカタ,méi fāng,umekata
董浩,タダシヒロシ,dǒng hào,tadashihiroshi
当年明月,トウネンメイゲツ,dāng nián míng yuè,tounenmeigetsu
陈钢,チンコウ,chén gāng,chinkou
姜帆,キョウカイ,jiāng fān,kyoukai
许嵩,モトカサ,xǔ sōng,motokasa
王宁,オウヤスシ,wáng níng,ouyasushi
潘蕾,ハンツボミ,pān lěi,hantsubomi
田雄,タユウ,tián xióng,tayuu
侯斌,ホウアキラ,hóu bīn,houakira
尚红,ナオベニ,shàng hóng,naobeni
何康,ナニヤスシ,hé kāng,naniyasushi
黄明,キアキラ,huáng míng,kiakira
叶桂,ハカツラ,yè guì,hakatsura
陈晓,チンアキラ,chén xiǎo,chinakira
忍,ニン,rěn,nin
胡兵,エビスヘイ,hú bīng,ebisuhei
海霞,ウミカスミ,hǎi xiá,umikasumi
傅明,デンアキラ,fù míng,denakira
小松,コマツ,xiǎo sōng,komatsu
容庚,ヨウカノエ,róng gēng,youkanoe
陈梦,チンユメ,chén mèng,chinyume
司徒美堂,ツカサトビドウ,sī tú měi táng,tsukasatobidou
刚强,ツヨシキョウ,gāng qiáng,tsuyoshikyou
刘雷,リュウカミナリ,liú léi,ryuukaminari
陈旭,チンアサヒ,chén xù,chinasahi
刘正,リュウタダシ,liú zhèng,ryuutadashi
刘达,リュウイタル,liú dá,ryuuitaru
库尔班·吐鲁木,クルバン・トゥルム,kù ěr bān · tǔ lǔ mù,kuruban・turumu
黄轩,キノキ,huáng xuān,kinoki
刘敏,リュウサトシ,liú mǐn,ryuusatoshi
江庸,コウイサオ,jiāng yōng,kouisao
正珠尔扎布,ジョンジュルジャブ,zhèng zhū ěr zhā bù,jonjurujabu
唐兰,トウラン,táng lán,touran
周骏,シュウシュン,zhōu jùn,shuushun
额尔德尼乌拉,エルデンオール,é ěr dé ní wū lā,erudenōru
李红,リクレナイ,lǐ hóng,rikurenai
李荣,リサカエ,lǐ róng,risakae
陈豪,チンツヨシ,chén háo,chintsuyoshi
张平,チョウタイラ,zhāng píng,choutaira
孙力,マゴリョク,sūn lì,magoryoku
王火,オウヒ,wáng huǒ,ouhi
雪克来提·扎克尔,ショハラト・ザキル,xuě kè lái tí · zhā kè ěr,shoharato・zakiru
