кирилл,基里尔,jī lǐ ěr
борис акунин,鲍里斯·阿库宁,bào lǐ sī · ā kù níng
согдиана,索格狄安娜,suǒ gé dí ān nà
крейвенохотник,猎人克莱文,liè rén kè lái wén
наташа королёва,娜塔莎·科罗廖娃,nà tǎ shā · kē luó liào wá
алсу,阿尔苏,ā ěr sū
полина дашкова,波莉娜·达许可娃,bō lì nà · dá xǔ kě wá
иларион,伊拉里雍,yī lā lǐ yōng
хамелеон,变色龙,biàn sè lóng
витас,维塔斯,wéi tǎ sī
онуфрий,欧诺菲力,ōu nuò fēi lì
мэджик,秘客,mì kè
натали,娜塔莉,nà tǎ lì
жасмин,茉莉,mò lì
саид бурятский,赛义德·布里亚茨基,sài yì dé · bù lǐ yà cí jī
малком,马尔甘,mǎ ěr gān
антоний,安东尼,ān dōng ní
моргенштерн,摩根施特恩,mó gēn shī tè ēn
лана,拉娜,lā nà
энди картрайт,安迪·卡特赖特,ān dí · kǎ tè lài tè
владлен татарский,弗拉德连·塔塔尔斯基,fú lā dé lián · tǎ tǎ ěr sī jī
россия,俄罗斯,é luó sī
кострома,科斯特罗马,kē sī tè luó mǎ
жигули,日古利山脉,rì gǔ lì shān mài
йошкарола,约什卡尔奥拉,yuē shén kǎ ěr ào lā
ярославль,雅罗斯拉夫尔,yǎ luó sī lā fū ěr
тверь,特维尔,tè wéi ěr
москва,莫斯科,mò sī kē
смоленск,斯摩棱斯克,sī mó léng sī kè
лапландия,萨米,sà mǐ
новосибирск,新西伯利亚,xīn xī bǎi lì yà
абакан,阿巴坎,ā bā kǎn
иваново,伊万诺沃,yī wàn nuò wò
волчанск,沃尔昌斯克,wò ěr chāng sī kè
самара,萨马拉,sà mǎ lā
иланский,伊兰斯基,yī lán sī jī
чебоксары,切博克萨雷,qiè bó kè sà léi
заозёрный,扎奥焦尔内,zhā ào jiāo ěr nèi
дмитриев,德米特里耶夫利戈夫斯基,dé mǐ tè lǐ yē fū lì gē fū sī jī
дзержинск,捷尔任斯克,jié ěr rèn sī kè
зеленоградск,泽列诺格拉茨克,zé liè nuò gé lā cí kè
омск,鄂木斯克,è mù sī kè
казань,喀山,kā shān
тула,图拉,tú lā
рязань,梁赞,liáng zàn
пенза,奔萨,bēn sà
курчатов,库尔恰托夫,kù ěr qià tuō fū
обоянь,奥博扬,ào bó yáng
суджа,苏贾,sū jiǎ
железногорск,热列兹诺戈尔斯克,rè liè zī nuò gē ěr sī kè
волгоград,伏尔加格勒,fú ěr jiā gé lè
ростовнадону,顿河畔罗斯托夫,dùn hé pàn luó sī tuō fū
челябинск,车里雅宾斯克,chē lǐ yǎ bīn sī kè
янтарный,扬塔尔内,yáng tǎ ěr nèi
черняховск,切尔尼亚霍夫斯克,qiè ěr ní yà huò fū sī kè
пермь,彼尔姆,bǐ ěr mǔ
уфа,乌法,wū fǎ
калуга,卡卢加,kǎ lú jiā
брянск,布良斯克,bù liáng sī kè
томск,托木斯克,tuō mù sī kè
белгород,别尔哥罗德,bié ěr gē luó dé
неман,涅曼,niè màn
тюмень,秋明,qiū míng
тольятти,陶里亚蒂,táo lǐ yà dì
балтийск,波罗的斯克,bō luó de sī kè
гусев,古谢夫,gǔ xiè fū
светлый,斯韦特雷,sī wéi tè léi
воронеж,沃罗涅日,wò luó niè rì
красноярск,克拉斯诺亚尔斯克,kè lā sī nuò yà ěr sī kè
владивосток,海参崴,hǎi shēn wǎi
орёл,奥廖尔,ào liào ěr
ульяновск,乌里扬诺夫斯克,wū lǐ yáng nuò fū sī kè
курск,库尔斯克,kù ěr sī kè
советск,苏维埃茨克,sū wéi āi cí kè
липецк,利佩茨克,lì pèi cí kè
тамбов,坦波夫,tǎn bō fū
маньчжурия,满洲,mǎn zhōu
краснодар,克拉斯诺达尔,kè lā sī nuò dá ěr
дивногорск,季夫诺戈尔斯克,jì fū nuò gē ěr sī kè
дзержинский,捷尔任斯基,jié ěr rèn sī jī
десногорск,杰斯诺戈尔斯克,jié sī nuò gē ěr sī kè
демидов,杰米多夫,jié mǐ duō fū
майкоп,迈科普,mài kē pǔ
барнаул,巴尔瑙尔,bā ěr nǎo ěr
горноалтайск,戈尔诺阿尔泰斯克,gē ěr nuò ā ěr tài sī kè
архангельск,阿尔汉格尔斯克,ā ěr hàn gé ěr sī kè
долгопрудный,多尔戈普鲁德内,duō ěr gē pǔ lǔ dé nèi
долинск,多林斯克,duō lín sī kè
калининград,加里宁格勒,jiā lǐ níng gé lè
добрянка,多布良卡,duō bù liáng kǎ
дно,德诺,dé nuò
астрахань,阿斯特拉罕,ā sī tè lā hǎn
дигора,季戈拉,jì gē lā
мурманск,摩尔曼斯克,mó ěr màn sī kè
димитровград,季米特洛夫格勒,jì mǐ tè luò fū gé lè
дмитровск,季米特洛夫斯克,jì mǐ tè luò fū sī kè
домодедово,多莫杰多沃,duō mò jié duō wò
донской,顿斯科伊,dùn sī kē yī
дубовка,杜博夫卡,dù bó fū kǎ
дудинка,杜金卡,dù jīn kǎ
духовщина,杜霍夫希纳,dù huò fū xī nà
дюртюли,久尔秋利,jiǔ ěr qiū lì
петрозаводск,彼得罗扎沃茨克,bǐ dé luó zhā wò cí kè
хантымансийск,汉特曼西斯克,hàn tè màn xī sī kè
дрезна,德列兹纳,dé liè zī nà
дорогобуж,多罗戈布日,duō luó gē bù rì
дубна,杜布纳,dù bù nà
кызыл,克孜勒,kè zī lè
кемерово,克麦罗沃,kè mài luó wò
ейск,叶伊斯克,yè yī sī kè
егорьевск,叶戈里耶夫斯克,yè gē lǐ yē fū sī kè
елабуга,叶拉布加,yè lā bù jiā
дятьково,佳季科沃,jiā jì kē wò
элиста,埃利斯塔,āi lì sī tǎ
салехард,萨列哈尔德,sà liè hā ěr dé
вологда,沃洛格达,wò luò gé dá
хабаровск,伯力,bǎi lì
приладожский,普里拉多日斯基,pǔ lǐ lā duō rì sī jī
елизово,叶利佐沃,yè lì zuǒ wò
еманжелинск,叶曼热林斯克,yè màn rè lín sī kè
енисейск,叶尼塞斯克,yè ní sāi sī kè
емва,叶姆瓦,yè mǔ wǎ
череповец,切列波韦茨,qiè liè bō wéi cí
тотьма,托季马,tuō jì mǎ
иркутск,伊尔库茨克,yī ěr kù cí kè
ермолино,叶尔莫利诺,yè ěr mò lì nuò
надым,纳德姆,nà dé mǔ
рахья,拉希亚,lā xī yà
ефимовский,叶菲莫夫斯基,yè fēi mò fū sī jī
никольский,尼科利斯基,ní kē lì sī jī
вырица,维里察,wéi lǐ chá
сыктывкар,瑟克特夫卡尔,sè kè tè fū kǎ ěr
лебяжье,列比亚日耶,liè bǐ yà rì yē
лесогорский,列索戈尔斯基,liè suǒ gē ěr sī jī
дубровка,杜布罗夫卡,dù bù luó fū kǎ
железногорскилимский,热列兹诺戈尔斯克伊利姆斯基,rè liè zī nuò gē ěr sī kè yī lì mǔ sī jī
железнодорожный,热列兹诺多罗日内,rè liè zī nuò duō luó rì nèi
жердевка,热尔杰夫卡,rè ěr jié fū kǎ
махачкала,马哈奇卡拉,mǎ hā qí kǎ lā
грозный,格罗兹尼,gé luó zī ní
владикавказ,弗拉季高加索,fú lā jì gāo jiā suǒ
жуковский,茹科夫斯基,rú kē fū sī jī
заводоуковск,扎沃多乌科夫斯克,zhā wò duō wū kē fū sī kè
завитинск,扎维京斯克,zhā wéi jīng sī kè
