inna,茵娜,yīn nà
george emil palade,乔治·埃米尔·帕拉德,qiáo zhì · āi mǐ ěr · pà lā dé
alexandra stan,亚历山德拉·斯坦,yà lì shān dé lā · sī tǎn
alexandra nechita,亚莉山卓·妮齐塔,yà lì shān zhuó · nī qí tǎ
lidia șimon,利迪娅·希蒙,lì dí yà · xī méng
georgeta damian,杰奥尔杰塔·安德鲁安凯,jié ào ěr jié tǎ · ān dé lǔ ān kǎi
argentina menis,阿尔真蒂娜·梅尼斯,ā ěr zhēn dì nà · méi ní sī
vika jigulina,维多利亚·科涅娃,wéi duō lì yà · kē niè wá
gheorghe albu,格奥尔基·阿尔布,gé ào ěr jī · ā ěr bù
gabriela szabó,加布里埃拉·萨博,jiā bù lǐ āi lā · sà bó
angela gheorghiu,安杰拉·乔治乌,ān jié lā · qiáo zhì wū
paul celan,保罗·策兰,bǎo luó · cè lán
miklós bánffy,班菲·米克洛斯,bān fēi · mǐ kè luò sī
roxana scarlat,罗克萨娜·斯卡拉特,luó kè sà nà · sī kǎ lā tè
ion c brătianu,扬·康斯坦丁·布勒蒂亚努,yáng · kāng sī tǎn dīng · bù lè dì yà nǔ
laura badea,劳拉·巴代亚,láo lā · bā dài yà
tristan tzara,卓斯坦·查拉,zhuó sī tǎn · chá lā
liviu librescu,利维乌·利布雷斯库,lì wéi wū · lì bù léi sī kù
constantin brâncuși,康斯坦丁·布朗库西,kāng sī tǎn dīng · bù lǎng kù xī
cristian mungiu,克里斯蒂安·蒙久,kè lǐ sī dì ān · méng jiǔ
ana pauker,安娜·波克尔,ān nà · bō kè ěr
alexandra dulgheru,亚历山德拉·杜尔盖鲁,yà lì shān dé lā · dù ěr gài lǔ
iulian filipescu,尤利安·菲利佩斯库,yóu lì ān · fēi lì pèi sī kù
nadia comăneci,纳迪娅·科马内奇,nà dí yà · kē mǎ nèi qí
petre roman,彼得·罗曼,bǐ dé · luó màn
edward maya,爱德华·玛雅,ài dé huá · mǎ yǎ
victor hănescu,维克托·哈内斯库,wéi kè tuō · hā nèi sī kù
andreea grigore,安德烈娅·格里戈雷,ān dé liè yà · gé lǐ gē léi
angelica adelsteinrozeanu,安杰莉卡·罗泽亚努,ān jié lì kǎ · luó zé yà nǔ
diana chelaru,迪亚娜·凯拉鲁,dí yà nà · kǎi lā lǔ
gheorghe popescu,格奥尔基·朴比斯古,gé ào ěr jī · pǔ bǐ sī gǔ
ion antonescu,扬·安东内斯库,yáng · ān dōng nèi sī kù
emil boc,埃米尔·博克,āi mǐ ěr · bó kè
helmut duckadam,赫尔穆特·杜卡达姆,hè ěr mù tè · dù kǎ dá mǔ
răzvan raț,勒兹万·拉茨,lè zī wàn · lā cí
mihai răzvan ungureanu,米哈伊·勒兹万·温古雷亚努,mǐ hā yī · lè zī wàn · wēn gǔ léi yà nǔ
sorana cîrstea,索拉娜·科斯蒂亚,suǒ lā nà · kē sī dì yà
monica niculescu,莫妮卡·尼古列斯库,mò nī kǎ · ní gǔ liè sī kù
andrei pavel,安德烈·帕维尔,ān dé liè · pà wéi ěr
maia morgenstern,马娅·莫根施特恩,mǎ yà · mò gēn shī tè ēn
henri coandă,亨利·科安德,hēng lì · kē ān dé
ella zeller,埃拉·泽勒,āi lā · zé lè
sandra izbașa,桑德拉·伊兹巴沙,sāng dé lā · yī zī bā shā
doina ignat,多依娜·伊格纳特,duō yī nà · yī gé nà tè
elisabeta lipă,伊丽莎白·利珀,yī lì shā bái · lì pò
eugen ionescu,欧仁·尤内斯库,ōu rén · yóu nèi sī kù
nicolae lupescu,尼古拉·卢佩斯库,ní gǔ lā · lú pèi sī kù
nicolae văcăroiu,尼古拉·沃克罗尤,ní gǔ lā · wò kè luó yóu
theodor stolojan,特奥多尔·斯托洛然,tè ào duō ěr · sī tuō luò rán
valeriu bularca,瓦列留·布拉尔卡,wǎ liè liú · bù lā ěr kǎ
elena georgescu,埃列娜·杰奥尔杰斯库,āi liè nà · jié ào ěr jié sī kù
bogdan lobonț,波格丹·洛邦茨,bō gé dān · luò bāng cí
zsolt muzsnay,穆日瑙伊·若尔特,mù rì nǎo yī · ruò ěr tè
elena ceaușescu,埃列娜·齐奥塞斯库,āi liè nà · qí ào sāi sī kù
simona halep,西蒙娜·哈勒普,xī méng nà · hā lè pǔ
iolanda balaș,约兰达·巴拉什,yuē lán dá · bā lā shén
chivu stoica,基伏·斯托伊卡,jī fú · sī tuō yī kǎ
gabriela drăgoi,加布里埃拉·德勒戈伊,jiā bù lǐ āi lā · dé lè gē yī
daniel prodan,达尼埃尔·普罗丹,dá ní āi ěr · pǔ luó dān
lavinia miloșovici,拉维尼娅·米洛绍维奇,lā wéi ní yà · mǐ luò shào wéi qí
