françois hollande,프랑수아 올랑드,peurangsua olrangdeu
vilfredo pareto,빌프레도 파레토,bilpeuredo pareto
louis de beaufront,루이 드 보프롱,rui deu bopeurong
joachim du bellay,조아섕 뒤 벨레,joasyaeng dwi belre
guibert de nogent,기베르 드 노장,gibereu deu nojang
pierre abélard,피에르 아벨라르,piereu abelrareu
charles baudelaire,샤를 보들레르,syareul bodeulrereu
nicolas sarkozy,니콜라 사르코지,nikolra sareukoji
rémi garde,레미 가르드,remi gareudeu
adrien rabiot,아드리앵 라비오,adeuriaeng rabio
théophile cart,테오필 카르,teopil kareu
bérénice bejo,베레니스 베조,bereniseu bejo
alexis claude clairaut,알렉시 클로드 클레로,alregsi keulrodeu keulrero
auguste comte,오귀스트 콩트,ogwiseuteu kongteu
luce irigaray,뤼스 이리가레,rwiseu irigare
georges brassens,조르주 브라상,joreuju beurasang
arthur rimbaud,아르튀르 랭보,areutwireu raengbo
sarah bernhardt,사라 베르나르,sara bereunareu
jeanfrançois champollion,장프랑수아 샹폴리옹,jangpeurangsua syangpolriong
georges duhamel,조르주 뒤아멜,joreuju dwiamel
henry dunant,앙리 뒤낭,angri dwinang
claude monet,클로드 모네,keulrodeu mone
gaston waringhien,가스통 바랭기앵,gaseutong baraenggiaeng
paul doumer,폴 두메르,pol dumereu
edmond privat,에드몽 프리바,edeumong peuriba
jeanclaude killy,장클로드 킬리,jangkeulrodeu kilri
chrétien de troyes,크레티앵 드 트루아,keuretiaeng deu teurua
stendhal,스탕달,seutangdal
émile zola,에밀 졸라,emil jolra
jean jaurès,장 조레스,jang joreseu
bafétimbi gomis,바페팀비 고미스,bapetimbi gomiseu
bernard werber,베르나르 베르베르,bereunareu bereubereu
luigi cherubini,루이지 케루비니,ruiji kerubini
jeanmartin charcot,장마르탱 샤르코,jangmareutaeng syareuko
olivier besancenot,올리비에 브장스노,olribie beujangseuno
jacques chabandelmas,자크 샤방델마스,jakeu syabangdelmaseu
arlette laguiller,아를레트 라기예르,areulreteu ragiyereu
rené maurice fréchet,모리스 르네 프레셰,moriseu reune peuresye
henri farman,앙리 파르망,angri pareumang
le corbusier,르 코르뷔지에,reu koreubwijie
yassine benzia,야신 벤지아,yasin benjia
félix tisserand,펠릭스 티세랑,pelrigseu tiserang
sylvain marveaux,실뱅 마르보,silbaeng mareubo
léon blum,레옹 블룸,reong beulrum
gustave eiffel,귀스타브 에펠,gwiseutabeu epel
émile boirac,에밀 부아라크,emil buarakeu
michel hazanavicius,미셸 하자나비시우스,misyel hajanabisiuseu
sławomir mrożek,스와보미르 므로제크,seuwabomireu meurojekeu
aly cissokho,알리 시소코,alri sisoko
bérénice marlohe,베레니스 마를로,bereniseu mareulro
louis pasteur,루이 파스퇴르,rui paseutoereu
michel rocard,미셸 로카르,misyel rokareu
alain poher,알랭 포에르,alraeng poereu
raymond barre,레몽 바르,remong bareu
jeanaugustedominique ingres,장오귀스트도미니크 앵그르,jangogwiseuteudominikeu aenggeureu
jacques balutin,자크 밸루틴,jakeu baelrutin
octave mirbeau,옥타브 미르보,ogtabeu mireubo
avril lavigne,에이브릴 라빈,eibeuril rabin
jean moulin,장 물랭,jang mulraeng
victor hugo,빅토르 위고,bigtoreu wigo
hedi slimane,에디 슬리먼,edi seulrimeon
andrémarie ampère,앙드레마리 앙페르,angdeuremari angpereu
samuel umtiti,사뮈엘 움티티,samwiel umtiti
édouard balladur,에두아르 발라뒤르,eduareu balradwireu
louis blériot,루이 블레리오,rui beulrerio
pierre barouh,피에르 바루,piereu baru
jean gabin,장 가뱅,jang gabaeng
steed malbranque,스티드 말브랑크,seutideu malbeurangkeu
auguste rodin,오귀스트 로댕,ogwiseuteu rodaeng
stéphane mallarmé,스테판 말라르메,seutepan malrareume
andreï tarkovski,안드레이 타르콥스키,andeurei tareukobseuki
hector berlioz,엑토르 베를리오즈,egtoreu bereulriojeu
jeanpierre papin,장피에르 파팽,jangpiereu papaeng
grégory coupet,그레고리 쿠페,geuregori kupe
paul verlaine,폴 베를렌,pol bereulren
henri matisse,앙리 마티스,angri matiseu
rémy vercoutre,레미 베르쿠트르,remi bereukuteureu
alexandre lacazette,알렉상드르 라카제트,alregsangdeureu rakajeteu
valérie barlois,발레리 바를루아,balreri bareulrua
léon walras,레옹 발라스,reong balraseu
jeanmichel henry,장미셸 앙리,jangmisyel angri
franck boidin,프랑크 부아댕,peurangkeu buadaeng
pierre bonnard,피에르 보나르,piereu bonareu
ludovic sané,라미네 사네,ramine sane
françois bayrou,프랑수아 바이루,peurangsua bairu
nicolas dupontaignan,니콜라 뒤퐁에냥,nikolra dwipongenyang
barbara,바르바라,bareubara
bienvenu de miollis,비앵브뉘 드 미올리,biaengbeunwi deu miolri
paul langevin,폴 랑주뱅,pol rangjubaeng
raymond schwartz,레몽 슈바르츠,remong syubareuceu
jacques cheminade,자크 슈미나드,jakeu syuminadeu
adèle haenel,아델 에넬,adel enel
landry n'guemo,란드리 눈게모,randeuri nungemo
yoan gouffran,요안 구프랑,yoan gupeurang
maurice ravel,모리스 라벨,moriseu rabel
