イチロー,it͡ɕiɾoː
カイタケシ,kaitakeɕi
オノ,ono
ヨーコ,joːko
タマキノゾム,tamakʲinozomɯ
セッシュウ,seɕɕɯː
ミヤコハルミ,mʲijakohaɾɯmʲi
ブリキ,bɯɾʲikʲi
ツグミ,t͡sɯɡɯmʲi
マツモトユキヒロ,mat͡sɯmotojɯkʲiçiɾo
マド,mado
ミチオ,mʲit͡ɕio
ジョージ,d͡ʑoːʑi
ナカシマ,nakaɕima
アルベルト,aɾɯbeɾɯto
フジモリ,ɸɯʑimoɾʲi
エドワード,edoɰaːdo
ガントレット,ɡantoɾetto
クルルヤナ,kɯɾɯɾɯjana
ビートタケシ,bʲiːtotakeɕi
テイアサ,teːasa
サダキチ,sadakʲit͡ɕi
ハートマン,haːtomaɴ
アキヒト,akʲiçito
ナツサイ,nat͡sɯsai
シュンカン,ɕɯŋkaɴ
フーゴ,ɸɯːɡo
ラッサール,ɖassaːɾɯ
ディビッドソンジュンマーカス,dibʲiddosond͡ʑɯmmaːkasɯ
マツアキラ,mat͡sɯakʲiɾa
リキヨシ,ɖʲikʲijoɕi
トクヒトシ,tokɯçitoɕi
タマヒ,tamaçi
キョウマチコ,kʲoɯmat͡ɕiko
ヤジロウ,jaʑiɾoɯ
チャールズ,t͡ɕaːɾɯzɯ
ジェンキンス,d͡ʑeŋkʲiĩsɯ
ジュウミナモト,d͡ʑɯːmʲinamoto
クウカイ,kɯːkai
サブロー,sabɯɾoː
ミヨシ,mʲijoɕi
ウメキ,ɯmekʲi
アズマキヨヒコ,azɯmakʲijoçiko
アンジェラ,and͡ʑeɾa
アキ,akʲi
ディーン,diːŋ
フジオカ,ɸɯʑioka
マサムネ,masamɯne
アダチタカシ,adat͡ɕitakaɕi
ジュディ,d͡ʑɯdi
オング,oŋɡɯ
ホウネン,hoɯneŋ
クボタマコト,kɯbotamakoto
ツルネン,t͡sɯɾɯneŋ
マルテイ,maɾɯteː
カシワクラツトム,kaɕiɰakɯɾat͡sɯtomɯ
アヤカ,ajaka
ゲンチトセ,ɡent͡ɕitose
キャリーパミュパミュ,kʲaɾʲiːpamʲɯpamʲɯ
シンゼイ,ɕind͡zeː
ローラ,ɖoːɾa
シギハラ,ɕiɡʲihaɾa
シンラン,ɕinɖaɴ
シルバー,ɕiɾɯbaː
サムライ,samɯɾai
ペダーセン,pedaːseŋ
オーノキヨフミ,oːnokʲijoɸɯmʲi
ニシアマネ,ɲiɕiamane
タテヒロシ,tateçiɾoɕi
アンズサユリ,and͡zɯsajɯɾʲi
モリタケシ,moɾʲitakeɕi
チャフトシ,t͡ɕaɸɯtoɕi
ワールズ,ɰaːɾɯzɯ
エンド,endo
ガールフレンド,ɡaːɾɯɸɯɾendo
ハラヒロシ,haɾaçiɾoɕi
ヨドドノ,jododono
ハラタイラ,haɾataiɾa
ニッコウ,ɲikkoɯ
マシュー,maɕɯː
キイチ,kʲiːt͡ɕi
ヒーフィー,çiːɸʲiː
ハマミツヲ,hamamʲit͡sɯo
ジエン,d͡ʑieŋ
カトウ,katoɯ
サトリ,satoɾʲi
セルヒオ,seɾɯçio
エスクデロ,esɯkɯdeɾo
ヒトミ,çitomʲi
サカシゲル,sakaɕiɡeɾɯ
トンア,toõa
ブライアン,bɯɾaiaɴ
ティー,tiː
イモトヨウコ,imotojoɯko
ハナコ,hanako
ソウギ,soɯɡʲi
モリノリヒサ,moɾʲinoɾʲiçisa
カオル,kaoɾɯ
リョウゲン,ɖʲoɯɡeŋ
コナミカナタ,konamʲikanata
マヤ,maja
タキミノル,takʲimʲinoɾɯ
リョウベン,ɖʲoɯbeŋ
ショー,ɕoː
コスギ,kosɯɡʲi
スミス,sɯmʲisɯ
セミマル,semʲimaɾɯ
ミチアキ,mʲit͡ɕiakʲi
シュレッダー,ɕɯɾeddaː
チャン,t͡ɕaɴ
リーメイ,ɖʲiːmeː
アイバ,aiba
トクリ,tokɯɾʲi
ダキノ,dakʲino
フィオナ,ɸʲiona
グラハム,ɡɯɾahamɯ
ヤマト,jamato
キセン,kʲiseŋ
ウルティモ,ɯɾɯtimo
ドラゴン,doɾaɡoɴ
チバアキオ,t͡ɕibaːkʲio
ムサシ,mɯsaɕi
キシコマ,kʲiɕikoma
エンニン,eɲɲiŋ
トウキ,toɯkʲi
ツツミツヨシ,t͡sɯt͡sɯmʲit͡sɯjoɕi
ダイタスク,daitasɯkɯ
アキラ,akʲiɾa
レイン,ɖeːŋ
モリアキラ,moɾʲiakʲiɾa
ホッタユミ,hottajɯmʲi
ミノリコウ,mʲinoɾʲikoɯ
ヒグチアサ,çiɡɯt͡ɕiasa
ダルビッシュユウ,daɾɯbʲiɕɕɯjɯː
クマイモトコ,kɯmaimotoko
タムリン,tamɯɾʲiŋ
トミタ,tomʲita
エンニ,eɲɲi
モリカオル,moɾʲikaoɾɯ
ルルティア,ɖɯɾɯtia
ムラタメグミ,mɯɾatameɡɯmʲi
ヤマダムラサキ,jamadamɯɾasakʲi
カンザキヒロ,kand͡zakʲiçiɾo
チャーリー,t͡ɕaːɾʲiː
コーセイ,koːseː
エル,eɾɯ
モリカオリ,moɾʲikaoɾʲi
ナツイトグチ,nat͡sɯitoɡɯt͡ɕi
コユキ,kojɯkʲi
モリヒロシ,moɾʲiçiɾoɕi
ミチヨ,mʲit͡ɕijo
ゴハル,ɡohaɾɯ
カジヒデキ,kaʑiçidekʲi
モリミノル,moɾʲimʲinoɾɯ
イガラシユミコ,iɡaɾaɕijɯmʲiko
ルールーコウ,ɖɯːɾɯːkoɯ
ワダ,ɰada
エミ,emʲi
スコーピオン,sɯkoːpʲioɴ
イケムラレイコ,ikemɯɾaɾeːko
カデナレオン,kadenaɾeoɴ
イサム,isamɯ
ノグチ,noɡɯt͡ɕi
イセ,ise
コトリッチ,kotoɾʲitt͡ɕi
ケン,keŋ
イシイ,iɕiː
ヤナギミワ,janaɡʲimʲiɰa
ワグナー,ɰaɡɯnaː
ナンドール,nandoːɾɯ
ツダミキヨ,t͡sɯdamʲikʲijo
ヤマネアヤノ,jamaneajano
カズオ,kazɯo
イシグロ,iɕiɡɯɾo
サイチョウ,sait͡ɕoɯ
ソウタケシ,soɯtakeɕi
ソウシゲル,soɯɕiɡeɾɯ
ツジコノリコ,t͡sɯʑikonoɾʲiko
ミシェル,mʲiɕeɾɯ
フェレ,ɸeɾe
ネコヂル,nekoʑiɾɯ
セキツトム,sekʲit͡sɯtomɯ
ナカツカサ,nakat͡sɯkasa
ヤマトタケル,jamatotakeɾɯ
ダンミツ,dammʲit͡sɯ
イトウカナコ,itoɯkanako
サカイカナ,sakaikana
イロドリオン,iɾodoɾʲioɴ
ミハエル,mʲihaeɾɯ
コーガン,koːɡaɴ
ホシハムコ,hoɕihamɯko
ワタルスケ,ɰataɾɯsɯke
シイナエイヒ,ɕiːnaeːçi
タチバナサクラ,tat͡ɕibanasakɯɾa
ベッキー,bekʲkʲiː
アカホリサトル,akahoɾʲisatoɾɯ
ツトム,t͡sɯtomɯ
ヤマシタ,jamaɕita
リン,ɖʲiŋ
スティーヴ,sɯtiːɯ゙
アオキ,aokʲi
エノキアヅサ,enokʲiazɯsa
オダギリジョー,odaɡʲiɾʲiʑoː
カゼカオリ,kazekaoɾʲi
ヒダリ,çidaɾʲi
フクシマハルカ,ɸɯkɯɕimahaɾɯka
ツジアヤノ,t͡sɯʑiajano
ヤスダスズヒト,jasɯdasɯzɯçito
サンファイア,saãɸaia
イガラシミキオ,iɡaɾaɕimʲikʲio
キナツミ,kʲinat͡sɯmʲi
ツナコ,t͡sɯnako
サトウフミヤ,satoɯɸɯmʲija
ハザマアキラ,hazamaːkʲiɾa
タニヒガシ,taɲiçiɡaɕi
ニコラ,ɲikoɾa
フォルミケッティ,ɸoɾɯmʲiketti
レイシャ,ɖeːɕa
ヘイリー,heːɾʲiː
カキフライ,kakʲiɸɯɾai
マシ,maɕi
オカ,oka
ハーフナー,haːɸɯnaː
マイク,maikɯ
ヤノベケンジ,janobekend͡ʑi
ハナダイ,hanadai
バラスィー,baɾasiː
マツコ,mat͡sɯko
デラックス,deɾakkɯsɯ
ワタナベマサコ,ɰatanabemasako
ヒイラギアオイ,çiːɾaɡʲiaoi
ワタナベヒロシ,ɰatanabeçiɾoɕi
ニチレン,ɲit͡ɕiɾeŋ
イシダアユミ,iɕidaːjɯmʲi
トドロキユウ,todoɾokʲijɯː
ホリアキラ,hoɾʲiakʲiɾa
アンズ,and͡zɯ
オカダ,okada
カズチカ,kazɯt͡ɕika
ヤマグチノボル,jamaɡɯt͡ɕinoboɾɯ
ヤナギナギ,janaɡʲinaɡʲi
ザ,d͡za
グレート,ɡɯɾeːto
サスケ,sasɯke
ヨウジュン,joɯʑɯɴ
ハラタカシ,haɾatakaɕi
コオリアオ,koːɾʲiao
サダマサシ,sadamasaɕi
ナオヒロシ,naoçiɾoɕi
タニルミコ,taɲiɾɯmʲiko
アサギサクラ,asaɡʲisakɯɾa
デンツウ,dent͡sɯː
ハラエリコ,haɾaeɾʲiko
ヤナセナツミ,janasenat͡sɯmʲi
ナガヤスタクミ,naɡajasɯtakɯmʲi
レンニョ,ɖeɲɲo
イズミピンコ,izɯmʲipʲiŋko
ドウゲン,doɯɡeŋ
ヤス,jasɯ
ミナモトノマコト,mʲinamotonomakoto
オカキヨシ,okakʲijoɕi
スタニスラフ,sɯtaɲisɯɾaɸɯ
ブーニン,bɯːɲiŋ
クジラ,kɯʑiɾa
ヤマグチリク,jamaɡɯt͡ɕiɾʲikɯ
ドラエモン,doɾaemoɴ
タケユタカ,takejɯtaka
ハセガワケイスケ,haseɡaɰakeːsɯke
アレックス,aɾekkɯsɯ
ラミレス,ɖamʲiɾesɯ
ウエダユウジ,ɯedajɯːʑi
シリアガリコトブキ,ɕiɾʲiaɡaɾʲikotobɯkʲi
ヘンジョウ,hend͡ʑoɯ
スギヤマコウイチ,sɯɡʲijamakoɯit͡ɕi
フジアヤコ,ɸɯʑiajako
ハイムラキヨタカ,haimɯɾakʲijotaka
シマミヤエイコ,ɕimamʲijaeːko
ササキイサオ,sasakʲiːsao
カナイミカ,kanaimʲika
アイダユア,aidajɯa
シオリサイ,ɕioɾʲisai
モモイヒトミ,momoiçitomʲi
ナツホ,nat͡sɯho
ヨシナガフミ,joɕinaɡaɸɯmʲi
イマサトシ,imasatoɕi
タモリ,tamoɾʲi
ジマング,d͡ʑimaŋɡɯ
コヤマキミコ,kojamakʲimʲiko
ツボミ,t͡sɯbomʲi
アキラエリー,akʲiɾaeɾʲiː
マツモトトモ,mat͡sɯmototomo
トクヒメ,tokɯçime
ハツネ,hat͡sɯne
ササキムツミ,sasakʲimɯt͡sɯmʲi
ユウキマサミ,jɯːkʲimasamʲi
ヴェチェスラフ,bet͡ɕesɯɾaɸɯ
ステパーノヴィチ,sɯtepaːnobʲit͡ɕi
カザケーヴィチ,kazakeːbʲit͡ɕi
サヤ,saja
カレン,kaɾeŋ
ロバート,ɖobaːto
ミンメイ,mʲimmeː
ナターシャ,nataːɕa
グジー,ɡɯʑiː
リョウ,ɖʲoɯ
アイラミツキ,aiɾamʲit͡sɯkʲi
ケンニョ,keɲɲo
ダンレイ,danɖeː
ディド,dido
リュウ,ɖʲɯː
ドナルド,donaɾɯdo
キーン,kʲiːŋ
ハルナアイ,haɾɯnaːi
マツモトイズミ,mat͡sɯmotoizɯmʲi
イイダモモ,iːdamomo
スガシカオ,sɯɡaɕikao
ミドリ,mʲidoɾʲi
ザイラー,d͡zaiɾaː
ジョウミチル,d͡ʑoɯmʲit͡ɕiɾɯ
トモサカリエ,tomosakaɾʲie
キヨハル,kʲijohaɾɯ
ミナモトノシタゴウ,mʲinamotonoɕitaɡoɯ
ドウキョウ,doɯkʲoɯ
ミナモトトオル,mʲinamototoːɾɯ
ツカサシノブ,t͡sɯkasaɕinobɯ
リオオ,ɖʲioː
エルサムニー,eɾɯsamɯɲiː
オサマ,osama
アヤ,aja
ヤスシキヨシ,jasɯɕikʲijoɕi
タテタカコ,tatetakako
アダチツトム,adat͡ɕit͡sɯtomɯ
ハンニャ,haɲɲa
テツ,tet͡sɯ
イノウエ,inoɯe
ミコマロ,mʲikomaɾo
ハヤシヒカリ,hajaɕiçikaɾʲi
チョウイサム,t͡ɕoɯisamɯ
ソリッド,soɾʲiddo
スネーク,sɯneːkɯ
エンクウ,eŋkɯː
ビートキヨシ,bʲiːtokʲijoɕi
アイソウ,aisoɯ
エンチン,ent͡ɕiŋ
フミオ,ɸɯmʲio
スネオヘアー,sɯneoheaː
ウタタネヒロユキ,ɯtataneçiɾojɯkʲi
ソウチョウ,soɯt͡ɕoɯ
ユカナ,jɯkana
アサギリユウ,asaɡʲiɾʲijɯː
スズキケイコ,sɯzɯkʲikeːko
フランキーサカイ,ɸɯɾaŋkʲiːsakai
ウンケイ,ɯŋkeː
ワタナベシンイチ,ɰatanabeɕiĩit͡ɕi
ヨシモトキンジ,joɕimotokʲind͡ʑi
ケイチュウ,keːt͡ɕɯː
アロヒロシ,aɾoçiɾoɕi
ビメイ,bʲimeː
ミナミ,mʲinamʲi
コタニキンヤ,kotaɲikʲiĩja
ジャクレン,d͡ʑakɯɾeŋ
タクミフネ,takɯmʲiɸɯne
ナオト,naoto
インティライミ,intiɾaimʲi
ヤマジエビネ,jamaʑiebʲine
オキイタル,okʲiːtaɾɯ
ショウテツ,ɕoɯtet͡sɯ
アキエ,akʲie
イブキ,ibɯkʲi
カツ,kat͡sɯ
ヤナセタカシ,janasetakaɕi
ニワミキホ,ɲiɰamʲikʲiho
トクマルシューゴ,tokɯmaɾɯɕɯːɡo
キュウサイ,kʲɯːsai
ナルヒロ,naɾɯçiɾo
キャシー,kʲaɕiː
リード,ɖʲiːdo
クリス,kɯɾʲisɯ
カワグチカイジ,kaɰaɡɯt͡ɕikaiʑi
ドナ,dona
バーク,baːkɯ
ギョウキ,ɡʲoɯkʲi
モリチャック,moɾʲit͡ɕakkɯ
ユースケ,jɯːsɯke
サンタマリア,santamaɾʲia
モンキー,moŋkʲiː
パンチ,pant͡ɕi
ハヤシタダシ,hajaɕitadaɕi
モリサトシ,moɾʲisatoɕi
ラグーザタマ,ɖaɡɯːzatama
ナカニシアヤ,nakaɲiɕiaja
モリマサコ,moɾʲimasako
カズ,kazɯ
ハヤシ,hajaɕi
カカズユミ,kakazɯjɯmʲi
コオロギサトミ,koːɾoɡʲisatomʲi
イカリシンジ,ikaɾʲiɕind͡ʑi
シンケイ,ɕiŋkeː
マツタカコ,mat͡sɯtakako
テンカイ,teŋkai
アオキサヤカ,aokʲisajaka
サイトウチホ,saitoɯt͡ɕiho
ハヤブサ,hajabɯsa
アヤサイ,ajasai
テンコ,teŋko
モリカンナ,moɾʲikanna
サクラモモコ,sakɯɾamomoko
ダミオン,damʲioɴ
スコット,sɯkotto
メグミケイ,meɡɯmʲikeː
シシシンサンダー,ɕiɕiɕiĩsandaː
ライガー,ɖaiɡaː
テンモン,temmoɴ
ニチイタダキ,ɲit͡ɕiːtadakʲi
ワタセセイゾウ,ɰataseseːzoɯ
アズマシン,azɯmaɕiŋ
アジサト,aʑisato
カヒミ,kaçimʲi
カリィ,kaɾʲiィ
テラソママサキ,teɾasomamasakʲi
ムラタダシ,mɯɾatadaɕi
ソセイ,soseː
アジャコング,aʑakoŋɡɯ
キッド,kʲiddo
トキタヒロコ,tokʲitaçiɾoko
ゴウヒロミ,ɡoɯçiɾomʲi
チョー,t͡ɕoː
トーゴ,toːɡo
イガワ,iɡaɰa
ワ,ɰa
アニャンゴ,aɲaŋɡo
ヤスホウ,jasɯhoɯ
アン,aɴ
ルイス,ɖɯisɯ
カトキハジメ,katokʲihaʑime
キタダニヒロシ,kʲitadaɲiçiɾoɕi
ノマアキコ,nomaːkʲiko
アラキアキラ,aɾakʲiakʲiɾa
ラース,ɖaːsɯ
ビハーリー,bʲihaːɾʲiː
