hebe,ヘーペ
camargo,カマルゴ
gustavo,グスタヴォ
tsuboi,ツボイ
joão,ジョアン
carlos,カルロス
dos,ドス
santos,サントス
willian,ウィリアン
borges,ボルジェス
da,ダ
silva,シウヴァ
esmeralda,エスメラルダ
garcia,ガルシア
vítor,ヴィトール
meira,メイラ
pelé,ペレ
zinho,ジーニョ
gisele,ジゼル
bündchen,ブンチェン
kevin,ケヴィン
kurányi,クラニー
havelange,アヴェランジェ
bernardo,ベルナルド
fernandes,フェルナンデス
zizinho,ジジーニョ
alessandra,アレッサンドラ
ambrósio,アンブロジオ
adriana,アドリアナ
lima,リマ
nélson,ネルソン
luís,ルイス
kerchner,カーシュナー
alexandre,アレシャンドレ
paes,パエス
lopes,ロペス
austregésilo,アウストレジェジロ
de,デ
athayde,アタイデ
paulo,パウロ
coelho,コエーリョ
josé,ジョゼ
bezerra,ベセーラ
maciel,マシエル
junior,ジュニオール
ayrton,アイルトン
senna,セナ
neymar,ネイマール
nelson,ネルソン
prudêncio,プルデンシオ
kléber,クレーベル
laube,ラウベ
pinheiro,ピニェイロ
ricardo,リカルド
zilda,ジウダ
arns,アルンス
claudiano,クラウディアーノ
juninho,ジュニーニョ
pernambucano,ペルナンブカーノ
augusto,アウグスト
pestana,ペスタナ
oscar,オスカー
niemeyer,ニーマイヤー
emilie,エミーリエ
snethlage,スネトラーゲ
helmut,ヘルムート
sick,ジック
valdir,バウディール
benedito,ベネディット
bernard,ベルナルジ
anício,アニシオ
caldeira,カルデイラ
duarte,ドゥアルテ
leandro,レアンドロ
lessa,レッサ
azevedo,アゼヴェド
reinaldo,レイナルド
cruz,クルス
oliveira,オリヴェイラ
montera,モンテーラ
edmilson,エジミウソン
deodoro,デオドロ
fonseca,フォンセカ
juan,フアン
silveira,シウヴェイラ
dante,ダンテ
bonfim,ボンフィム
costa,コスタ
mano,マノ
menezes,メネゼス
emboaba,エンボアバ
júnior,ジュニオール
ilan,イラン
araújo,アラウージョ
dall'igna,ダッリーニャ
felipe,フェリペ
massa,マッサ
bruno,ブルーノ
barreto,バレット
karin,カリン
rodrigues,ロドリゲス
nílton,ニウトン
júlio,ジュリオ
césar,セーザル
soares,ソアレス
espíndola,エスピンドラ
jorge,ジョルジ
amado,アマード
josué,ジョズエ
castro,カストロ
nathalia,ナタリア
dill,ディル
goulart,グラール
luiz,ルイス
inácio,イナシオ
lula,ルーラ
amorim,アモリム
campos,カンポス
alves,アウヴェス
jairzinho,ジャイルジーニョ
jean,ジェアン
carlo,カルロ
witte,ウィッテ
alcindo,アルシンド
sartori,サルトーリ
diego,ジエゴ
souza,ソウザ
gama,ガマ
ferreira,フェレイラ
filho,フィーリョ
rafael,ラファエル
pereira,ペレイラ
achim,アヒム
steiner,シュタイナー
anunciado,アヌンシアト
aílton,アイルトン
gonçalves,ゴンサウヴェス
kuerten,クエルテン
gilberto,ジウベルト
marcio,マルシオ
richardes,リシャルデス
andrade,アンドラーデ
sandro,サンドロ
cardoso,カルドーゾ
isabeli,イザベリ
fontana,フォンタナ
juscelino,ジュセリーノ
kubitschek,クビチェック
rodolfo,ロドルフォ
amoedo,アモエド
benny,ベニー
feilhaber,ファイルハーバー
maria,マリア
leopoldina,レオポルディナ
áustria,アウストリア
lucimar,ルシマール
marcelo,マルセロ
vieira,ヴィエイラ
marcos,マルコス
aoás,アオアス
corrêa,コレア
piquet,ピケ
