françois,프랑수아,peurangsua
hollande,올랑드,olrangdeu
vilfredo,빌프레도,bilpeuredo
pareto,파레토,pareto
louis,루이,rui
de,드,deu
beaufront,보프롱,bopeurong
joachim,조아킴,joakim
du,뒤,dwi
bellay,벨레,belre
guibert,기베르,gibereu
nogent,노장,nojang
pierre,피에르,piereu
abélard,아벨라르,abelrareu
charles,샤를,syareul
baudelaire,보들레르,bodeulrereu
nicolas,니콜라,nikolra
sarkozy,사르코지,sareukoji
rémi,레미,remi
garde,가르드,gareudeu
adrien,아드리앵,adeuriaeng
rabiot,라비오,rabio
théophile,테오필,teopil
cart,카르,kareu
bérénice,베레니스,bereniseu
bejo,베조,bejo
alexis,알렉시,alregsi
claude,클로드,keulrodeu
clairaut,클레로,keulrero
auguste,오귀스트,ogwiseuteu
comte,콩트,kongteu
luce,뤼스,rwiseu
irigaray,이리가레,irigare
georges,조르주,joreuju
brassens,브라상,beurasang
arthur,아르튀르,areutwireu
rimbaud,랭보,raengbo
sarah,사라,sara
bernhardt,베르나르,bereunareu
jeanfrançois,장프랑수아,jangpeurangsua
champollion,샹폴리옹,syangpolriong
duhamel,뒤아멜,dwiamel
henry,앙리,angri
dunant,뒤낭,dwinang
monet,모네,mone
gaston,가스통,gaseutong
waringhien,바랭기앵,baraenggiaeng
paul,폴,pol
doumer,두메르,dumereu
edmond,에드몽,edeumong
privat,프리바,peuriba
jeanclaude,장클로드,jangkeulrodeu
killy,킬리,kilri
chrétien,크레티앵,keuretiaeng
troyes,트루아,teurua
stendhal,스탕달,seutangdal
émile,에밀,emil
zola,졸라,jolra
jean,장,jang
jaurès,조레스,joreseu
bafétimbi,바페팀비,bapetimbi
gomis,고미스,gomiseu
bernard,베르나르,bereunareu
werber,베르베르,bereubereu
luigi,루이지,ruiji
cherubini,케루비니,kerubini
jeanmartin,장마르탱,jangmareutaeng
charcot,샤르코,syareuko
olivier,올리비에,olribie
besancenot,브장스노,beujangseuno
jacques,자크,jakeu
chabandelmas,샤방델마스,syabangdelmaseu
arlette,아를레트,areulreteu
laguiller,라기예르,ragiyereu
rené,르네,reune
maurice,모리스,moriseu
fréchet,프레셰,peuresye
henri,앙리,angri
farman,파르망,pareumang
le,르,reu
corbusier,코르뷔지에,koreubwijie
yassine,야신,yasin
benzia,벤지아,benjia
félix,펠릭스,pelrigseu
tisserand,티세랑,tiserang
sylvain,실뱅,silbaeng
marveaux,마르보,mareubo
léon,레옹,reong
blum,블룸,beulrum
gustave,귀스타브,gwiseutabeu
eiffel,에펠,epel
boirac,부아라크,buarakeu
michel,미셸,misyel
hazanavicius,하자나비시우스,hajanabisiuseu
sławomir,스와보미르,seuwabomireu
mrożek,므로제크,meurojekeu
aly,알리,alri
cissokho,시소코,sisoko
marlohe,마를로,mareulro
pasteur,파스퇴르,paseutoereu
rocard,로카르,rokareu
alain,알랭,alraeng
poher,포에르,poereu
raymond,레몽,remong
barre,바르,bareu
jeanaugustedominique,장오귀스트도미니크,jangogwiseuteudominikeu
ingres,앵그르,aenggeureu
balutin,밸루틴,baelrutin
octave,옥타브,ogtabeu
mirbeau,미르보,mireubo
avril,에이브릴,eibeuril
lavigne,라빈,rabin
moulin,물랭,mulraeng
victor,빅토르,bigtoreu
hugo,위고,wigo
hedi,에디,edi
slimane,슬리먼,seulrimeon
andrémarie,앙드레마리,angdeuremari
ampère,앙페르,angpereu
samuel,사뮈엘,samwiel
umtiti,움티티,umtiti
édouard,에두아르,eduareu
balladur,발라뒤르,balradwireu
blériot,블레리오,beulrerio
barouh,바루,baru
gabin,가뱅,gabaeng
steed,스티드,seutideu
malbranque,말브랑크,malbeurangkeu
rodin,로댕,rodaeng
stéphane,스테판,seutepan
mallarmé,말라르메,malrareume
andreï,안드레이,andeurei
tarkovski,타르콥스키,tareukobseuki
hector,엑토르,egtoreu
berlioz,베를리오즈,bereulriojeu
jeanpierre,장피에르,jangpiereu
papin,파팽,papaeng
grégory,그레고리,geuregori
coupet,쿠페,kupe
verlaine,베를렌,bereulren
matisse,마티스,matiseu
rémy,레미,remi
vercoutre,베르쿠트르,bereukuteureu
alexandre,알렉상드르,alregsangdeureu
lacazette,라카제트,rakajeteu
valérie,발레리,balreri
barlois,바를루아,bareulrua
walras,발라스,balraseu
jeanmichel,장미셸,jangmisyel
franck,프랑크,peurangkeu
boidin,부아댕,buadaeng
bonnard,보나르,bonareu
ludovic,뤼도비크,rwidobikeu
sané,사네,sane
bayrou,바이루,bairu
dupontaignan,뒤퐁에냥,dwipongenyang
barbara,바르바라,bareubara
bienvenu,비앵브뉘,biaengbeunwi
miollis,미올리,miolri
langevin,랑주뱅,rangjubaeng
schwartz,슈바르츠,syubareuceu
cheminade,슈미나드,syuminadeu
adèle,아델,adel
haenel,에넬,enel
