kārlis,カールリス
ulmanis,ウルマニス
ernests,エルネスツ
gulbis,ガルビス
mihails,ミハイル
barišņikovs,バリシニコフ
jānis,ヤーニス
lūsis,ルーシス
jēkabs,ヤーコプ
ketlers,ケトラー
frīdrihs,フリードリヒ
romāns,ロマーンス
vainšteins,ヴァインシュタインス
elīna,エリーナ
garanča,ガランチャ
leo,レオ
mihelsons,マイケルソン
māris,マーリス
verpakovskis,ヴェルパコフスキス
valdis,ヴァルディス
zatlers,ザトレルス
anastasija,アナスタシヤ
sevastova,セバストワ
ivars,イヴァルス
godmanis,ゴドマニス
aigars,アイガルス
kalvītis,カルヴィティス
ainārs,アイナルス
kovals,コバルス
gidons,ギドン
krēmers,クレーメル
mariss,マリス
jansons,ヤンソンス
vilhelms,ヴィルヘルム
fon,フォン
fermors,フェルモル
pēteris,ピョートル
vasks,ヴァスクス
artjoms,アルチョムス
rudņevs,ルドニェフス
valters,ヴァルター
caps,ツァップ
aleksandrs,アレクサンドルス
koliņko,コリンコ
staņislavs,スタニスラフ
olijars,オリヤール
raivis,ライヴィス
belohvoščiks,ベロホヴォシュチィクス
kučinskis,クチンスキス
aleksejs,アレクセイス
saramotins,サラモティンス
igors,イゴルス
vihrovs,ビフロフ
stučka,ストゥチカ
mediņš,メディンシュ
ivanovs,イヴァノフス
juris,ユリス
silovs,シロヴス
larisa,ラリサ
neilande,ネーランド
luīze,ルイーゼ
šarlote,シャルロッテ
no,フォン
brandenburgas,ブランデンブルク
inese,イネッサ
galante,ガランテ
jāzeps,ヤーセプス
vītols,ヴィートリス
andris,アンドリス
biedriņš,ビエドリンシュ
čakste,チャクステ
afanasijs,アファナシジス
kuzmins,クズミンス
miša,ミッシャ
maiskis,マイスキー
bērziņš,ベルジン
edvīns,エドヴィンス
šnore,シュノア
marians,マリアン
pahars,パハース
dombrovskis,ドンブロウスキス
guntis,グンティス
pauls,パウルス
valdens,ヴァルデン
hartmanis,ハルトマニス
tāls,タリ
egils,エギルス
levits,レヴィッツ
andrejs,アンドレイス
rubins,ルビンス
balodis,バルオディス
oskars,オスカルス
kļava,クラヴァ
dāvis,ダービス
bertāns,ベルターンス
mairis,マイリス
briedis,ブリエディス
aija,アイヤ
klakocka,ブルマーメン
ugrjumovs,ウグルモフ
kaspars,カスパルス
gorkšs,ゴルクシュス
cauņa,カウナ
rūdolfs,ルードルフス
bangerskis,バンゲルスキス
nelsons,ネルソンス
vaņins,ヴァニンス
gatis,ガティス
smukulis,スムクリス
moriss,モリス
halle,ハレ
laizāns,ライザンス
mārtiņš,マールティンシュ
rubenis,ルベニス
herberts,ヘルベルトス
cukurs,ツクルス
vitālijs,ヴィターリス
maksimenko,マクシメンコ
vladislavs,ヴラディスラフス
gutkovskis,グトコフスキス
kurzemes,アマーリア
marija,フォン
amālija,クールラント
deandrē,デアンドレ
jedlins,イェドリン
edgars,エドガー
bertuks,ベルツクス
štrombergs,シュトロムベルグス
dainis,ダイニス
kūla,クラ
gustavs,グスタフ
klucis,クルーツィス
stalte,スタルテ
eduards,エドゥアルド
ksenija,クセーニャ
sidorova,シドロワ
genadijs,ゲンナジー
paršins,パルシン
oļegs,オレーク
antropovs,アントロポフ
romualds,ロムアルツ
jermaks,ヤルマクス
apinis,アピニス
artūrs,アルトゥールス
silgailis,シルガイリス
alma,アルマ
lepinalāce,レピーナ
ilze,イルゼ
jaunalksne,ヨーナルクスネ
ako,アコ
imants,イマント
freibergs,フレイベルグ
vsevolods,フセヴォロドス
zeļonijs,ゼリョニース
raimonds,ライモンツ
vējonis,ヴェーヨニス
heinrihs,ハインリッヒス
skuja,スクーヤ
ģirts,ギルツ
karlsons,カールソンス
rolands,ローランズ
kalniņš,カルニンシュ
ikaunieks,イカウニェクス
arturs,アルトゥルス
ozoliņš,オゾリンス
krists,クリスツ
neilands,ネイランズ
ēriks,エリクス
ešenvalds,エセンヴァルズ
lūcija,ルーツィヤ
garūta,ガルータ
korabļovs,コラブロフス
pjotrs,ピョートル
avens,アーヴェン
anžejs,アンジェス
pasečņiks,パセチニクス
alise,アリス
dzeguzekļaviņa,セギウス
arvīds,アルヴィド
diāna,ディアナ
ņikitina,ニキチナ
jackēvičs,ヤチケビッチ
kristers,クリステルス
aparjods,アパリオズ
dāvids,ダヴィド
beika,ベイカ
laimdota,ライムドータ
straujuma,ストラウユマ
antons,アントンス
jemeļins,イェメリンス
kristaps,クリスタプス
porziņģis,ポルジンギス
rutanja,ルターニャ
olda,アルダ
toms,トムス
skujiņš,スクインス
ingūna,イングナ
