热比娅,레비야,rebiya
卡德尔,카디르,kadireu
吐赫提,토흐티,toheuti
土亚兹,툰야즈,tunyajeu
德穆楚克栋鲁普,데므치그돈로브,demeucigeudonrobeu
包尔汉,부르한,bureuhan
沙希迪,샤히디,syahidi
伊力哈木,일함,ilham
土赫提,토흐티,toheuti
班禅额尔德尼,기알첸,gialcen
确吉杰布,노르부,noreubu
巴音朝鲁,바인차오루,baincaoru
李旺阳事件,리왕양,riwangyang
至善禅师,지선선사,jiseonseonsa
洛桑江村,뤄쌍장춘,rweossangjangcun
徐田龙子,쉬톈룽쯔,swityenrungjjeu
白玛赤林,바이마츠린,baimaceurin
孟克巴特尔,멍커바터얼,meongkeobateoeol
努尔,누르,nureu
白克力,베크리,bekeuri
赛福鼎,사이푸딘,saipudin
艾则孜,아지지,ajiji
清格尔泰,칭걸테,cinggeolte
阿沛,아푀,apoe
阿旺晋美,아왕직메,awangjigme
艾达,에이다,eida
王,웡,weong
端木蕻良,돤무훙량,dwanmuhungryang
向巴平措,샹바핑춰,syangbapingcweo
欧阳予倩,어우양위첸,eouyangwicen
木热合买提江,미라흐메트잔,miraheumeteujan
莫扎帕,무제페르,mujepereu
古力娜扎,구리나자,gurinaja
斯琴高娃,쓰친가오와,sseucingaowa
母其弥雅,무치미야,mucimiya
麦迪娜,마디나,madina
买买提,메메트,memeteu
正珠尔扎布,젱주르자브,jengjureujabeu
白银市连环杀人案,가오청융,gaoceongyung
美,메이,mei
锟,쿤,kun
迪妮格尔,디니거얼,dinigeoeol
衣拉木江,이라무장,iramujang
史蒂文,스티븐,seutibeun
何,히,hi
明娟,밍쥐안,mingjwian
唐,탕,tang
奕,이,i
陈,천,ceon
定,딩,ding
张,장,jang
昊,하오,hao
李,리,ri
彦宏,옌훙,yenhung
周,저,jeo
永康,우융캉,uyungkang
洋,우양,uyang
鑫,신,sin
小平,샤오핑,syaoping
董,둥,dung
建华,젠화,jenhwa
曾,쩡,jjeong
荫权,인취안,incwian
马,마,ma
凯,카이,kai
邓,덩,deong
朴方,푸팡,pupang
赵,자,ja
克志,오커즈,okeojeu
宏博,오훙보,ohungbo
树理,오수리,osuri
庄,좡,jwang
则栋,쩌둥,jjeodung
泳,융,yung
卓,줘,jweo
琳,린,rin
江,장,jang
泽民,쩌민,jjeomin
丁,딩,ding
玲,링,ring
钱,첸,cen
哈,하,ha
金,진,jin
俞,위,wi
正声,정성,jeongseong
梁,렁,reong
振英,춘잉,cuning
巴,바,ba
莫,모,mo
言,옌,yen
庆伟,칭웨이,cingwei
帅,솨이,swai
迅,우쉰,uswin
文重,우원중,uweonjung
邹,쩌,jjeo
市明,우스밍,useuming
胡,후,hu
锦涛,진타오,jintao
宁,닝,ning
刘,류,ryu
亦菲,이페이,ipei
庞,팡,pang
清,칭,cing
杜,두,du
丽,리,ri
佟,퉁,tung
文,원,weon
易,이,i
思玲,쓰링,sseuring
近平,진핑,jinping
俊,쥔,jwin
小丹,샤오단,syaodan
启南,치난,cinan
孙,쑨,ssun
雯,원,weon
磊,레이,rei
紫阳,오쯔양,ojjeuyang
巩,궁,gung
立姣,리자오,rijao
乐平,러핑,reoping
娟娟,쥐안쥐안,jwianjwian
继科,지커,jikeo
黄,황,hwang
现璠,샨판,syanpan
季平,오지핑,ojiping
乐际,오러지,oreoji
郑,정,jeong
智,즈,jeu
仲,중,jung
满,만,man
海滨,우하이빈,uhaibin
颖超,잉차오,ingcao
冰冰,빙빙,bingbing
晓霞,샤오샤,syaosya
北星,베이싱,beising
阳,양,yang
蕾,레이,rei
耀邦,야오방,yaobang
怡宁,이닝,ining
白,바,ba
岩松,이옌쑹,iyenssung
毛,마,ma
泽东,오쩌둥,ojjeodung
梓琳,쯔린,jjeurin
光亚,광야,gwangya
治中,즈중,jeujung
继红,우지훙,ujihung
璐璐,우루루,ururu
强,우창,ucang
邢,싱,sing
慧娜,후이나,huina
春红,춘훙,cunhung
温,원,weon
家宝,자바오,jabao
杨,양,yang
利伟,리웨이,riwei
潘,판,pan
玉良,위량,wiryang
载,자,ja
沣,이펑,ipeong
德华,덕화,deoghwa
余,여,yeo
文乐,문락,munrag
郭,곽,gwag
黎,여,yeo
明,명,myeong
薇,오웨이,owei
俐,리,ri
廖,랴,rya
辉,오후이,ohui
凯歌,카이거,kaigeo
洁,제,je
曹,차,ca
曼丽,만리,manri
海峰,하이펑,haipeong
严,옌,yen
隽琪,쥔치,jwinci
萨,사,sa
顶顶,딩딩,dingding
罗,뤄,rweo
雪娟,쉐쥐안,swejwian
佳颖,자잉,jaing
许,허,heo
鞍华,안화,anhwa
娜,나,na
庸,용,yong
鹏,펑,peong
镕基,룽지,rungji
男,난,nan
军霞,쥔샤,jwinsya
郜,가,ga
林,오린,orin
丽萍,리핑,riping
翔,샹,syang
徐,쉬,swi
静蕾,징레이,jingrei
远新,오위안신,owiansin
艾,이,i
克森,우케종,ukejong
佩佩,페이페이,peipei
玉洁,위제,wije
吴,우,u
静钰,징위,jingwi
利,니,ni
任,런,reon
慧,후이,hui
穆,무,mu
爽爽,솽솽,swangswang
露,루,ru
其亮,치량,ciryang
谭,탄,tan
雪,쉐,swe
春桥,춘차오,cuncao
大庆,다칭,dacing
丹,단,dan
叶,예,ye
圣陶,성타오,seongtao
龙,룽,rung
云,윈,win
福明,푸밍,puming
恩来,우언라이,ueonrai
克强,커창,keocang
高,가,ga
行健,오싱젠,osingjen
礼泽,오리쩌,orijjeo
贾,자,ja
秀全,슈취안,syucwian
谢,셰,sye
富治,푸즈,pujeu
敏霞,민샤,minsya
小冉,샤오란,syaoran
子歌,쯔거,jjeugeo
芳,팡,pang
伏,푸,pu
明霞,밍샤,mingsya
亚萍,야핑,yaping
申,선,seon
于,위,wi
静,징,jing
柏芝,백지,baegji
汤,탕,tang
唯,웨이,wei
少奇,사오치,saoci
沁谣,준,jun
扬,양,yang
青,칭,cing
彭,펑,peong
未未,이웨이웨이,iweiwei
宋,쑹,ssung
庆龄,칭링,cingring
郎,랑,rang
朗,랑,rang
诗文,스원,seuweon
蒙,멍,meong
连杰,연걸,yeongeol
娇,자오,jao
文珺,원쥔,weonjwin
晶晶,징징,jingjing
侯,허,heo
玉琢,우위줘,uwijweo
士俊,시쥔,sijwin
章,장,jang
子怡,쯔이,jjeui
振宁,전닝,jeonning
薄,보,bo
熙来,시라이,sirai
宗仁,쭝런,jjungreon
嘉诚,자청,jaceong
光美,광메이,gwangmei
贺,허,heo
子珍,쯔전,jjeujeon
妮娜,니나,nina
乐,러,reo
靖宜,징이,jingi
仲勋,중쉰,jungswin
星驰,성치,seongci
先念,셴녠,syennyen
光诚,광청,gwangceong
洪,홍,hong
金宝,금보,geumbo
文媛,문원,munweon
源潮,위안차오,wiancao
颜,옌,yen
惠庆,후이칭,huicing
泽厚,쩌허우,jjeoheou
忆莲,이롄,iryen
晓波,샤오보,syaobo
伯达,보다,boda
高丽,가오리,gaori
德江,더장,deojang
魏,웨,we
京生,이징성,ijingseong
彪,표,pyo
释,성,seong
印顺,정,jeong
朝伟,조위,jowi
俊晖,쥔후이,jwinhui
祖德,주더,judeo
可染,가염,gayeom
恩培,이언페이,ieonpei
京,징,jing
冯,펑,peong
正虎,정후,jeonghu
仪,이,i
韩,한,han
正,정,jeong
靓颖,량잉,ryanging
艺谋,이머우,imeou
洁篪,제츠,jeceu
敏之,민즈,minjeu
甘,간,gan
婷婷,팅팅,tingting
姚,야,ya
华,화,hwa
国锋,궈펑,gweopeong
爱玲,아이링,airing
成,성,seong
卓翔,줘샹,jweosyang
安顺,안순,ansun
志军,즈쥔,jeujwin
楚,추,cu
原,위안,wian
大文,다원,daweon
佳,자,ja
皓,하오,hao
岳霖,웨린,werin
省身,싱선,singseon
学森,쉐썬,swesseon
凡,판,pan
国生,궈성,gweoseong
俪,리,ri
常,창,cang
万全,완취안,wancwian
孔,쿵,kung
杰,제,je
呈栋,청둥,ceongdung
青林,칭린,cingrin
准,준,jun
君,쥔,jwin
维汉,웨이한,weihan
奇葆,치바오,cibao
春兰,춘란,cunran
占,잔,jan
安,안,an
志杰,지걸,jigeol
姜,장,jang
异康,이캉,ikang
家瑞,자루이,jarui
锦燕,진옌,jinyen
骆,뤄,rweo
惠宁,후이닝,huining
景林,징린,jingrin
老,라,ra
舍,오서,oseo
方卓,팡줘,pangjweo
平平,핑핑,pingping
克,극,geug
嘉良,자량,jaryang
旦,단,dan
嘉欣,가흔,gaheun
美诗,메이스,meiseu
小波,샤오보,syaobo
馨平,싱핑,singping
沾,점,jeom
莹,잉,ing
官正,관정,gwanjeong
恩华,언화,eonhwa
国荣,국영,gugyeong
盾,둔,dun
德,더,deo
焦,자,ja
刘洋,오류양,oryuyang
儒林,루린,rurin
勇,융,yung
荣桓,룽환,runghwan
润发,윤발,yunbal
华健,우화젠,uhwajen
毅夫,이푸,ipu
溥,푸,pu
毅,이,i
泽慧,쩌후이,jjeohui
庆红,칭훙,cinghung
甄,견,gyeon
子丹,자단,jadan
坦,탱,taeng
可,커,keo
思成,쓰청,sseuceong
政才,정차이,jeongcai
沪宁,후닝,huning
澍,수,su
石,스,seu
柯,커,keo
德钟,더중,deojung
梦家,멍자,meongja
茜,토리아,toria
涵予,한위,hanwi
万,완,wan
梓良,쯔량,jjeuryang
晓晨,샤오천,syaoceon
松仁,쑹런,ssungreon
则仕,쩌스,jjeoseu
璇,쉬안,swian
尹,완,wan
志强,치컹,cikeong
熊,슝,syung
黛林,다이린,dairin
涛,오타오,otao
沫若,모뤄,morweo
茅,마,ma
业遂,예쑤이,yessui
蒋,장,jang
定之,딩즈,dingjeu
范,판,pan
长龙,창룽,cangrung
楼,러,reo
继伟,우지웨이,ujiwei
阎,옌,yen
连科,롄커,ryenkeo
舜筠,오순쥔,osunjwin
东方,둥팡,dungpang
正非,정페이,jeongpei
禺,오위,owi
浩,하오,hao
仇,로,ro
海婴,우하이잉,uhaiing
国雄,궉훙,gweoghung
含韵,함운,hamun
平凹,핑와,pingwa
聂,녜,nye
卫平,웨이핑,weiping
晓春,샤오춘,syaocun
斌,빈,bin
伏瞻,푸잔,pujan
亚军,야쥔,yajwin
化腾,화텅,hwateong
云岫,윈시우,winsiu
步高,푸가오,pugao
诚,청,ceong
齐,제,je
白石,백석,baegseog
冰,빙,bing
心,신,sin
志毅,즈이,jeui
弼时,비스,biseu
风,펑,peong
楠,난,nan
大明,다밍,daming
雯丽,원리,weonri
庚茂,겅마오,geongmao
小晶,샤오징,syaojing
政高,정가오,jeonggao
长赋,창푸,cangpu
平,핑,ping
小璐,샤오루,syaoru
景润,징룬,jingrun
绛,장,jang
伟强,웨이창,weicang
东明,둥밍,dungming
诸,제,je
