key,value
evika,エビカ
siliņa,Siliņa
krišjānis,Krišjānis
kariņš,リンズ
māris,マリス
kučinskis,クチンスキス
laimdota,ライムドタ
straujuma,ストラウジュマ
valdis,バルディス
dombrovskis,ドンブロフスキス
zane,ゼイン
bičevska,Bičevska
sandris,サンドリス
lācis,ベア
jānis,ジョン
priede,プリエデ
valda,ヴァルダ
kļava,Kļava
linda,リンダ
daniela,ダニエラ
milda,ミルダ
pūpole,プーポレ
dainis,ダイニス
tukāns,トゥカーンズ
uldis,ウルディス
rokpelnis,ロクペルニス
maruta,丸田
brūvere,ブルヴェール
edvards,エドワード
jānis,ジョン
rečickis,レチキス
rīga,リガ
jelgava,イェルガヴァ
ventspils,ヴェンツピルス
jēkabpils,イェカブピルス
sigulda,シグルダ
limbaži,リンバジ
iecava,イエカヴァ
zilupe,Zilupe
seda,セダ
aknīste,アクニステ
staicele,Staicele
code,コード
šķesteri,クロイスターズ
allaži,Allaži
piltene,ピルテネ
