key,value
rīga,리가
jelgava,옐가바
ventspils,벤츠필스
jēkabpils,예캅필스
sigulda,시굴다
limbaži,림바지
iecava,이에차바
zilupe,질루페
seda,세다
aknīste,아크니스테
staicele,스타이첼레
code,초데
šķesteri,슈케스테리
allaži,알라지
piltene,필테네
evika,에비카
siliņa,실리냐
krišjānis,크리샤니스
kariņš,카린시
māris,마리스
kučinskis,쿠친스키스
laimdota,라임도타
straujuma,스트라우유마
valdis,발디스
dombrovskis,돔브로프스키스
zane,자네
bičevska,비체프스카
sandris,산드리스
lācis,라치스
jānis,야니스
priede,프리에데
valda,발다
kļava,클랴바
linda,린다
daniela,다니엘라
milda,밀다
pūpole,푸폴레
dainis,다이니스
tukāns,투칸스
uldis,울디스
rokpelnis,록펠니스
maruta,마루타
brūvere,브루베레
edvards,에드바르츠
rečickis,레치츠키스
