key,value
evika,艾维卡
siliņa,西琳娜
krišjānis,克里斯贾尼斯
kariņš,卡里什
māris,马里斯
kučinskis,库钦斯基斯
laimdota,莱姆多塔
straujuma,斯特劳尤马
valdis,瓦尔迪斯
dombrovskis,东布罗夫斯基斯
zane,赞恩
bičevska,比切夫斯卡
sandris,桑德里斯
lācis,熊
jānis,贾尼斯
priede,普里德
valda,瓦尔达
kļava,枫
linda,琳达
daniela,丹妮拉
milda,米尔达
pūpole,普波尔
dainis,戴尼斯
tukāns,图坎
uldis,乌尔迪斯
rokpelnis,罗克佩尔尼斯
maruta,马鲁塔
brūvere,布鲁尔
edvards,爱德华
jānis,贾尼斯
rečickis,雷西基斯
rīga,里加
jelgava,叶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡皮尔斯
sigulda,锡古尔达
limbaži,林巴济
iecava,伊卡瓦
zilupe,齐卢佩
seda,色达
aknīste,阿克尼斯特
staicele,斯塔塞莱
code,代码
šķesteri,谢斯特里
allaži,阿拉济
piltene,皮尔泰内
