key,value
evika,埃维卡
siliņa,Siliņa
krišjānis,克里希亚尼斯
kariņš,卡林斯
māris,马里斯
kučinskis,Kučinskis
laimdota,莱姆多塔
straujuma,斯特劳尤马
valdis,瓦尔蒂斯
dombrovskis,东布罗夫斯基斯
zane,赞恩
bičevska,比切夫斯卡
sandris,桑德里斯
lācis,熊
jānis,约翰
priede,普里耶
valda,瓦尔达
kļava,克ļava
linda,琳达
daniela,达妮埃拉
milda,米尔达
pūpole,Pūpole
dainis,戴尼斯
tukāns,图卡斯
uldis,乌尔迪斯
rokpelnis,罗克佩尔尼斯
maruta,马鲁塔
brūvere,布鲁维尔
edvards,爱德华
jānis,约翰
rečickis,雷奇基斯
rīga,里加
jelgava,耶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡卜皮尔斯
sigulda,西古尔达
limbaži,林巴日
iecava,伊卡瓦
zilupe,Zilupe
seda,塞达
aknīste,阿克尼斯特
staicele,Staicele
code,代码
šķesteri,克罗斯特
allaži,阿拉日
piltene,皮尔泰内
