key,value
rīga,里加
jelgava,耶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡布皮尔斯
sigulda,西古尔达
limbaži,林巴日
iecava,伊埃卡瓦
zilupe,齐卢佩
seda,塞达
aknīste,阿克尼斯特
staicele,斯泰采莱
code,科德
šķesteri,什凯斯特里
allaži,阿拉日
piltene,皮尔特内
evika,埃维卡
krišjānis,克里什亚尼斯
māris,马里斯
laimdota,拉伊姆多塔
valdis,瓦尔迪斯
zane,扎内
sandris,桑德里斯
jānis,雅尼斯
valda,瓦尔达
linda,林达
milda,米尔达
dainis,代尼斯
uldis,乌尔迪斯
maruta,马鲁塔
edvards,埃德瓦尔德斯
siliņa,希利尼亚
kariņš,卡林什
kučinskis,库钦斯基斯
straujuma,斯特劳尤马
dombrovskis,多姆布罗夫斯基斯
bičevska,比切夫斯卡
lācis,拉齐斯
priede,普里埃德
kļava,克拉瓦
daniela,丹尼拉
pūpole,普波莱
tukāns,图卡恩斯
rokpelnis,罗克佩尔尼斯
brūvere,布鲁韦雷
rečickis,雷奇基斯
