kārlis,kɑːrlĭs
ulmanis,ulmɑnĭs
ernests,ernest͡s
gulbis,ɡulbĭs
mihails,mixɑ͜ils
barišņikovs,bɑriʃɲikɔ͜us
jānis,ʝɑːnĭs
lūsis,luːsĭs
jēkabs,ʝæːkɑps
ketlers,ketlers
frīdrihs,friːdrixs
romāns,rɔmɑːns
vainšteins,vɑ͜inʃte͜ins
elīna,eliːnɑ̆
garanča,ɡɑrɑnt͡ʃɑ̆
leo,leɔ
mihelsons,mixælsɔns
māris,mɑːrĭs
verpakovskis,værpɑkɔ͜uskĭs
valdis,vɑldĭs
zatlers,zɑtlers
anastasija,ɑnɑstɑsiʝɑ̆
sevastova,sævɑstɔvɑ̆
ivars,ivɑrs
godmanis,ɡɔdmɑnĭs
aigars,ɑ͜iɡɑrs
kalvītis,kɑlviːtĭs
ainārs,ɑ͜inɑːrs
kovals,kɔvɑls
gidons,ɡidɔns
krēmers,kreːmers
mariss,mɑrisː
jansons,ʝɑnsɔns
vilhelms,vilxelms
fon,fɔn
fermors,færmɔrs
pēteris,peːterĭs
vasks,vɑsks
artjoms,ɑrtʝɔms
rudņevs,rudɲe͜us
valters,vɑlters
caps,t͡sɑps
aleksandrs,ɑlæksɑndrs
koliņko,kɔliɲku͜o
staņislavs,stɑɲislɑ͜us
olijars,ɔliʝɑrs
raivis,rɑ͜ivĭs
belohvoščiks,bælɔxvɔʃt͡ʃiks
kučinskis,kut͡ʃinskĭs
aleksejs,ɑlekse͜is
saramotins,sɑrɑmɔtins
igors,iɡɔrs
vihrovs,vixrɔ͜us
stučka,stut͡ʃkɑ̆
mediņš,mediɲʃ
ivanovs,ivɑnɔ͜us
juris,ʝurĭs
silovs,silɔ͜us
larisa,lɑrisɑ̆
neilande,neilɑndĕ
luīze,luiːzĕ
šarlote,ʃɑrlɔtĕ
no,nu͜o
brandenburgas,brɑndænburɡɑ̆s
inese,inesĕ
galante,ɡɑlɑntĕ
jāzeps,ʝɑːzeps
vītols,viːtɔls
andris,ɑndrĭs
biedriņš,bi͜edriɲʃ
čakste,t͡ʃɑkstĕ
afanasijs,ɑfɑnɑsiʝs
kuzmins,kuzmins
miša,miʃːɑ̆
maiskis,mɑ͜iskĭs
bērziņš,beːrziɲʃ
edvīns,edviːns
šnore,ʃnɔrĕ
marians,mɑriɑns
pahars,pɑxɑrs
dombrovskis,du͜ombrɔ͜uskĭs
guntis,ɡuntĭs
pauls,pɑ͜uls
valdens,vɑldens
hartmanis,xɑrtmɑnĭs
tāls,tɑːls
egils,eɡils
levits,levit͡s
andrejs,ɑndre͜is
rubins,rubins
balodis,bɑlɔdĭs
oskars,ɔskɑrs
kļava,kʎɑvɑ̆
dāvis,dɑːvĭs
bertāns,bærtɑːns
mairis,mɑ͜irĭs
briedis,bri͜edĭs
aija,ɑ͜iʝɑ̆
klakocka,klɑkɔt͡skɑ̆
ugrjumovs,uɡrʝumɔ͜us
kaspars,kɑspɑrs
gorkšs,ɡɔrkʃ
cauņa,t͡sɑ͜uɲɑ̆
rūdolfs,ruːdɔlfs
bangerskis,bɑňɡerskĭs
nelsons,nelsɔns
vaņins,vɑɲins
gatis,ɡɑtːĭs
smukulis,smukulĭs
moriss,mɔrisː
halle,xɑlːĕ
laizāns,lɑ͜izɑːns
mārtiņš,mɑːrtiɲʃ
rubenis,rubenĭs
herberts,xerbert͡s
cukurs,t͡sukurs
vitālijs,vitɑːliʝs
maksimenko,mɑksimæňku͜o
vladislavs,vlɑdislɑ͜us
gutkovskis,ɡutkɔ͜uskĭs
kurzemes,kurzemĕs
marija,mɑriʝɑ̆
amālija,ɑmɑːliʝɑ̆
deandrē,deɑndreː
jedlins,ʝedlins
edgars,edɡɑrs
bertuks,bærtuks
štrombergs,ʃtrɔmberks
dainis,dɑ͜inĭs
kūla,kuːlɑ̆
gustavs,ɡustɑ͜us
klucis,klut͡sĭs
stalte,stɑltĕ
eduards,eduɑrt͡s
ksenija,kseniʝɑ̆
sidorova,sidɔrɔvɑ̆
genadijs,ɡænɑdiʝs
paršins,pɑrʃins
oļegs,ɔʎeks
antropovs,ɑntrɔpɔ͜us
romualds,rɔmuɑlt͡s
jermaks,ʝærmɑks
apinis,ɑpinĭs
artūrs,ɑrtuːrs
silgailis,silɡɑ͜ilĭs
alma,ɑlmɑ̆
lepinalāce,lepinɑlɑːt͡sĕ
ilze,ilzĕ
jaunalksne,ʝɑ͜unɑlksnĕ
ako,ɑku͜o
imants,imɑnt͡s
freibergs,fre͜iberks
vsevolods,vsævɔlɔt͡s
zeļonijs,zeʎɔniʝs
raimonds,rɑ͜imɔnt͡s
vējonis,veːʝɔnĭs
heinrihs,xe͜inrixs
skuja,skuʝɑ̆
ģirts,ɟirt͡s
karlsons,kɑrlsɔns
rolands,rɔlɑnt͡s
kalniņš,kɑlniɲʃ
ikaunieks,ikɑ͜uni͜eks
arturs,ɑrturs
ozoliņš,ɔzɔliɲʃ
krists,krist͡s
neilands,neilɑnt͡s
ēriks,eːriks
ešenvalds,eʃænvɑlt͡s
lūcija,luːt͡siʝɑ̆
garūta,ɡɑruːtɑ̆
korabļovs,kɔrɑbʎɔ͜us
pjotrs,pʝɔtrs
avens,ɑvæns
anžejs,ɑnʑe͜is
pasečņiks,pɑset͡ʃɲiks
alise,ɑlisĕ
dzeguzekļaviņa,d͡zæɡuzekʎɑviɲɑ̆
arvīds,ɑrviːt͡s
diāna,diɑːnɑ̆
ņikitina,ɲikitinɑ̆
jackēvičs,ʝɑt͡skeːvit͡ʃs
kristers,kristers
aparjods,ɑpɑrʝɔt͡s
dāvids,dɑːvit͡s
beika,be͜ikɑ̆
laimdota,lɑ͜imdɔtɑ̆
straujuma,strɑ͜uʝumɑ̆
antons,ɑntɔns
jemeļins,ʝemeʎins
kristaps,kristɑps
porziņģis,pɔrziɲɟĭs
rutanja,rutɑnʝɑ̆
olda,ɔldɑ̆
toms,tɔms
skujiņš,skuʝiɲʃ
ingūna,iňɡuːnɑ̆
butāne,butɑːnĕ
aļona,ɑʎɔnɑ̆
ostapenko,ɔstɑpæňku͜o
zommers,zɔmːers
rinkēvičs,riňkeːvit͡ʃs
maskats,mɑskɑt͡s
deniss,denisː
vasiļjevs,vɑsiʎʝe͜us
anno,ɑnːu͜o
verners,verners
auls,ɑ͜uls
angelina,ɑňɡelinɑ̆
kučvaļska,kut͡ʃvɑʎskɑ̆
leonīds,leɔniːt͡s
vīgners,viːɡners
elīza,eliːzɑ̆
tīruma,tiːrumɑ̆
ārons,ɑːrɔns
bogoļubovs,bɔɡɔʎubɔ͜us
roberts,rɔbert͡s
uldriķis,uldricĭs
rodions,rɔdiɔns
kurucs,kurut͡ss
evika,evikɑ̆
siliņa,siliɲɑ̆
plūme,pluːmĕ
bots,bɔt͡s
krollis,krɔlːĭs
latvija,lɑtviʝɑ̆
baltijas,bɑltiʝɑ̆s
basketbola,bɑskædbɔlɑ̆
līga,liːɡɑ̆
rīgas,riːɡɑ̆s
geto,ɡetɔː
rīga,riːɡɑ̆
jelgava,ʝælɡɑvɑ̆
jūrmala,ʝuːrmɑlɑ̆
cietoksnis,t͡si͜etɔksnĭs
sigulda,siɡuldɑ̆
aknīste,ɑkniːstĕ
durbe,durbĕ
plostošana,plɔstu͜oʃɑnɑ̆
ainaži,ɑ͜inɑʑĭ
arēna,ɑræːnɑ̆
tukums,tukums
saeima,sɑe͜imɑ̆
rēzekne,reːzeknĕ
vidzeme,vid͡zemĕ
eiro,e͜iru͜o
kurzeme,kurzemĕ
jēkabpils,ʝæːkɑppils
latgale,lɑdɡɑlĕ
zemgale,zæmɡɑlĕ
lielvārde,li͜elvɑːrdĕ
daugavpils,dɑ͜uɡɑ͜upils
cēsis,t͡seːsĭs
valmiera,vɑlmi͜erɑ̆
ventspils,ventspils
dievturība,di͜evturiːbɑ̆
vecrīga,vet͡sriːɡɑ̆
valka,vɑlkɑ̆
lats,lɑt͡s
gaiziņš,ɡɑ͜iziɲʃ
daugavas,dɑ͜uɡɑvɑ̆s
stadions,stɑdiɔns
skonto,skɔntu͜o
liepāja,li͜epɑːʝɑ̆
kuldīga,kuldiːɡɑ̆
austrumeiropas,ɑ͜ustrume͜irɔpɑ̆s
platforma,plɑtfɔrmɑ̆
kremerata,kremærɑtɑ̆
baltica,bɑltit͡sɑ̆
iskolats,isku͜olɑt͡s
ceļa,t͡seʎɑ̆
velobrauciens,vælɔbrɑ͜ut͡si͜ens
iveta,ivætɑ̆
apkalna,ɑpkɑlnɑ̆
viktors,viktɔrs
lorencs,lɔrent͡ss
anna,ɑnːɑ̆
sakse,sɑksĕ
pētersons,peːtærsɔns
ādolfs,ɑːdɔlfs
bļodnieks,bʎɔdni͜eks
vīts,viːt͡s
rimkus,rimkŭs
sandis,sɑndĭs
vladimirs,vlɑdimirs
kamešs,kɑmeʃ
martinsons,mɑrtinsɔns
iļja,iʎʝɑ̆
vestermans,vestærmɑns
rainis,rɑ͜inĭs
inta,intɑ̆
kļimovičadrēviņa,kʎimɔvit͡ʃɑdreːviɲɑ̆
vija,viʝɑ̆
celmiņa,t͡selmiɲɑ̆
vilis,vilĭs
krištopans,kriʃtɔpɑns
grigorjeva,ɡriɡɔrʝævɑ̆
jeļena,ʝeʎænɑ̆
prokopčuka,prɔkɔpt͡ʃukɑ̆
laima,lɑ͜imɑ̆
vaikule,vɑ͜ikulĕ
konrāds,kɔnrɑːt͡s
kalējs,kɑleːi̯s
pļaviņš,pʎɑviɲʃ
voldemārs,vɔldæmɑːrs
veiss,ve͜isː
apsītis,ɑpsiːtĭs
alberts,ɑlbert͡s
šeibelis,ʃe͜ibelĭs
zenta,zæntɑ̆
mauriņa,mɑ͜uriɲɑ̆
anatols,ɑnɑtɔls
lapiņš,lɑpiɲʃ
starkovs,stɑrkɔ͜us
astafjevs,ɑstɑfʝe͜us
zemgals,zæmɡɑls
ščerbatihs,ʃt͡ʃærbɑtixs
konstantīns,kɔnstɑntiːns
raudive,rɑ͜udivĕ
dzintars,d͡zintɑrs
jūlijs,ʝuːliʝs
daniševskis,dɑniʃe͜uskĭs
arājs,ɑrɑːi̯s
baltazars,bɑltɑzɑrs
rusovs,rusɔ͜us
oto,ɔtu͜o
luterbergs,luterberks
birkavs,birkɑ͜us
einars,e͜inɑrs
repše,repʃĕ
stepanovs,stæpɑnɔ͜us
zīle,ziːlĕ
bleidelis,ble͜idelĭs
peterss,petersː
vlaščenko,vlɑʃt͡ʃæňku͜o
šķēle,ʃceːlĕ
gailis,ɡɑ͜ilĭs
artis,ɑrtĭs
pabriks,pɑbriks
intars,intɑrs
busulis,busulĭs
smilga,smilɡɑ̆
višņakovs,viʃɲɑkɔ͜us
kviesis,kvi͜esĭs
munters,munters
uļjana,uʎʝɑnɑ̆
semjonova,semʝɔnɔvɑ̆
lipmans,lipmɑns
berss,bersː
solvita,sɔlvitɑ̆
āboltiņa,ɑːbɔltiɲɑ̆
madara,mɑdɑrɑ̆
palameika,pɑlɑme͜ikɑ̆
slavens,slɑvæns
vadims,vɑdims
vasiļevskis,vɑsiʎe͜uskĭs
šteins,ʃte͜ins
neimanis,neimɑnĭs
guntars,ɡuntɑrs
krasts,krɑst͡s
lācis,lɑːt͡sĭs
baiba,bɑ͜ibɑ̆
skride,skridĕ
kristīne,kristiːnĕ
opolais,ɔpɔlɑ͜is
renārs,rænɑːrs
kaupers,kɑ͜upers
indulis,indulĭs
emsis,emsĭs
alfrēds,ɑlfreːt͡s
rubiks,rubiks
solo,sɔːlɔː
dekmeijere,dekme͜iʝerĕ
artmane,ɑrtmɑnĕ
olga,ɔlɡɑ̆
rajecka,rɑʝæt͡skɑ̆
bētiņš,beːtiɲʃ
anatolijs,ɑnɑtɔliʝs
gorbunovs,ɡɔrbunɔ͜us
augusts,ɑ͜uɡust͡s
kirhenšteins,kirxenʃte͜ins
krišjānis,kriʃʝɑːnĭs
barons,bɑrɔns
ozols,ɔzɔls
edmunds,edmunt͡s
sprūdžs,spruːt͡ʃ
zirnis,zirnĭs
šmēdiņš,ʃmeːdiɲʃ
jēkabsons,ʝæːkɑpsɔns
razgulajevs,rɑzɡulɑʝe͜us
hugo,xuɡu͜o
celmiņš,t͡selmiɲʃ
žanna,ʑɑnːɑ̆
pugača,puɡɑt͡ʃɑ̆
gints,ɡint͡s
bude,budĕ
fricis,frit͡sĭs
roziņš,rɔziɲʃ
alberings,ɑlberiňks
marģers,mɑrɟers
skujenieks,skuʝeni͜eks
zāmuēls,zɑːmueːls
tālivaldis,tɑːlivɑldĭs
ķeniņš,ceniɲʃ
ieva,i͜evɑ̆
gaile,ɡɑ͜ilĕ
juraševskis,ʝurɑʃe͜uskĭs
mendriks,mendriks
gaidis,ɡɑ͜idĭs
kukule,kukulĕ
dace,dɑt͡sĕ
melbārde,mælbɑːrdĕ
haralds,xɑrɑlt͡s
ida,idɑ̆
kerkoviusa,kærkɔviusɑ̆
savaļnieks,sɑvɑʎni͜eks
laura,lɑ͜urɑ̆
ikaunieceadmidiņa,ikɑ͜uni͜et͡seɑdmidiɲɑ̆
manskis,mɑnskĭs
liepiņš,li͜epiɲʃ
roberto,rɔbærtu͜o
puķītis,puciːtĭs
līna,liːnɑ̆
mūze,muːzĕ
liepa,li͜epɑ̆
lēvenvolde,leːvænvɔldĕ
dons,dɔns
boļeslavs,bɔʎæslɑ͜us
maikovskis,mɑ͜ikɔ͜uskĭs
daumants,dɑ͜umɑnt͡s
dreiškens,dre͜iʃkens
pauļuks,pɑ͜uʎuks
agate,ɑɡɑtĕ
muceniece,mut͡seni͜et͡sĕ
semjons,semʝɔns
nahimsons,nɑximsɔns
ginta,ɡintɑ̆
lapiņa,lɑpiɲɑ̆
ināra,inɑːrɑ̆
mūrniece,muːrni͜et͡sĕ
būmeisters,buːme͜isters
filips,filips
hiršhorns,xirʃxɔrns
zemļinskis,zemʎinskĭs
peive,pe͜ivĕ
jurijs,ʝuriʝs
andrejevs,ɑndreʝe͜us
reinholds,re͜inxɔlt͡s
gunārs,ɡunɑːrs
cilinskis,t͡silinskĭs
zadvornova,zɑdvɔrnɔvɑ̆
regīna,reɡiːnɑ̆
razuma,rɑzumɑ̆
andreass,ɑndreɑsː
felves,felvĕs
milda,mildɑ̆
lauberte,lɑ͜ubertĕ
indra,indrɑ̆
devi,devĭ
seisuma,se͜isumɑ̆
zjuzins,zʝuzins
gilis,ɡilĭs
valērijs,vɑleːriʝs
šabala,ʃɑbɑlɑ̆
gluhovs,ɡluxɔ͜us
aperāts,ɑpærɑːt͡s
nikolajs,nikɔlɑ͜is
galdiņš,ɡɑldiɲʃ
riekstiņš,ri͜ekstiɲʃ
strautmanis,strɑ͜utmɑnĭs
zigismunds,ziɡismunt͡s
sirmais,sirmɑ͜is
štolcers,ʃtɔlt͡sers
koļesņičenko,kɔʎesɲit͡ʃæňku͜o
eidemanis,e͜idæmɑnĭs
ella,elːɑ̆
lolita,lɔlitɑ̆
cauka,t͡sɑ͜ukɑ̆
franke,frɑňkĕ
kerskorfs,kerskɔrfs
ernsts,ernst͡s
rasburgs,rɑzburks
rihards,rixɑrt͡s
zariņš,zɑriɲʃ
lauris,lɑ͜urĭs
reiniks,re͜iniks
zāle,zɑːlĕ
valentīns,vɑlentiːns
lobaņovs,lɔbɑɲɔ͜us
miervaldis,mi͜ervɑldĭs
ādamsons,ɑːdɑmsɔns
endzelīns,end͡zeliːns
blagonadeždins,blɑɡɔnɑdeʑdins
berķis,bercĭs
kampars,kɑmpɑrs
karašausks,kɑrɑʃɑ͜usks
agnese,ɑɡnesĕ
pastare,pɑstɑrĕ
aploks,ɑplɔks
plēsnieks,pleːsni͜eks
isakovs,isɑkɔ͜us
mikus,mikːŭs
fomins,fɔmins
ance,ɑnt͡sĕ
krauze,krɑ͜uzĕ
brauns,brɑ͜uns
arnis,ɑrnĭs
balčus,bɑlt͡ʃŭs
romanovs,rɔmɑnɔ͜us
karels,kɑrels
marks,mɑrks
šišons,ʃiʃɔns
andžs,ɑnt͡ʃ
flaksis,flɑksĭs
gerhards,ɡerxɑrt͡s
johans,ʝɔxɑns
guna,ɡunɑ̆
zariņa,zɑriɲɑ̆
gabrāns,ɡɑbrɑːns
vilnis,vilnĭs
bresis,bresːĭs
kazakevičs,kɑzɑkevit͡ʃs
lilita,lilitɑ̆
zatlere,zɑtlerĕ
lagūna,lɑɡuːnɑ̆
žanis,ʑɑnĭs
bahs,bɑxs
bergmanis,berɡmɑnĭs
kariņš,kɑriɲʃ
osis,ɔsĭs
pīnups,piːnups
niks,niks
matvejevs,mɑtveʝe͜us
kostins,kɔstins
julija,ʝuliʝɑ̆
teplih,teplix
vērdiņš,veːrdiɲʃ
leons,leɔns
matīss,mɑtiːsː
akuraters,ɑkurɑters
rizoto,rizɔtu͜o
zīverts,ziːvert͡s
akurāters,ɑkurɑːters
poļina,pɔʎinɑ̆
jeļizarova,ʝeʎizɑrɔvɑ̆
zeltīts,zeltiːt͡s
apoga,ɑpɔɡɑ̆
krūmiņš,kruːmiɲʃ
auzāns,ɑ͜uzɑːns
makarovs,mɑkɑrɔ͜us
simona,simɔnɑ̆
orinska,ɔrinskɑ̆
ludolfs,ludɔlfs
liberts,libert͡s
viesturs,vi͜esturs
kairišs,kɑ͜iriʃ
edvards,edvɑrt͡s
smiltēns,smiltæːns
zigfrīds,ziɡfriːt͡s
muktupāvels,muktupɑːvels
akuratere,ɑkurɑterĕ
aleksandra,ɑlæksɑndrɑ̆
petushko,pætusxku͜o
račs,rɑt͡ʃs
antonijs,ɑntɔniʝs
černomordijs,t͡ʃærnɔmɔrdiʝs
ranka,rɑňkɑ̆
aminata,ɑminɑtɑ̆
savadogo,sɑvɑdɔɡu͜o
ivo,ivu͜o
justs,ʝust͡s
inga,iňɡɑ̆
emīls,emiːls
elena,elænɑ̆
kovalova,kɔvɑlɔvɑ̆
kaža,kɑʑɑ̆
cirkunovs,t͡sirkunɔ͜us
rožkova,rɔʃkɔvɑ̆
dagnija,dɑɡniʝɑ̆
dreika,dre͜ikɑ̆
glebs,ɡleps
basins,bɑsins
valeria,vɑleriɑ
trifancova,trifɑnt͡sɔvɑ̆
rukšāns,rukʃɑːns
bogdanovičs,bɔɡdɑnɔvit͡ʃs
cigaņiks,t͡siɡɑɲiks
kudelkins,kudelkins
sircovs,sirt͡sɔ͜us
jakushina,ʝɑkusxinɑ̆
kivlenieks,ki͜uleni͜eks
krūzbergs,kruːzberks
gruntmane,ɡruntmɑnĕ
kazāks,kɑzɑːks
aizpute,ɑ͜isputĕ
smiltene,smiltenĕ
saulkrasti,sɑ͜ulkrɑstĭ
aizkraukle,ɑ͜iskrɑ͜uklĕ
jaunjelgava,ʝɑ͜unʝælɡɑvɑ̆
rumbula,rumbulɑ̆
krāslava,krɑːslɑvɑ̆
zilupe,zilupĕ
olaine,ɔlɑ͜inĕ
venta,væntɑ̆
bauska,bɑ͜uskɑ̆
gulbene,ɡulbenĕ
koknese,kɔknesĕ
rūjiena,ruːʝi͜enɑ̆
balvi,bɑlvĭ
talsi,tɑlsĭ
preiļi,pre͜iʎĭ
mazsalaca,mɑssɑlɑt͡sɑ̆
salaspils,sɑlɑspils
dobele,dɔbelĕ
ogre,ɔɡrĕ
varakļāni,vɑrɑkʎɑːnĭ
kārsava,kɑːrsɑvɑ̆
kandava,kɑndɑvɑ̆
līvāni,liːvɑːnĭ
trasjanka,trɑsʝɑňkɑ̆
sēlija,seːliʝɑ̆
alūksne,ɑluːksnĕ
skrunda,skrundɑ̆
ķekava,cækɑvɑ̆
ķegums,cæɡums
ādaži,ɑːdɑʑĭ
saldus,sɑldŭs
ludza,lud͡zɑ̆
madona,mɑdɔnɑ̆
ilūkste,iluːkstĕ
rail,rɑ͜il
grobiņa,ɡrɔbiɲɑ̆
priekule,pri͜ekulĕ
aglona,ɑɡlɔnɑ̆
jaunlatvieši,ʝɑ͜unlɑtvi͜eʃĭ
latvenergo,lɑtvenærɡu͜o
inčukalns,int͡ʃukɑlns
mārupe,mɑːrupĕ
karosta,kɑrɔstɑ̆
mikrofona,mikrɔfɔnɑ̆
ieraksti,i͜erɑkstĭ
gaiziņkalns,ɡɑ͜iziɲkɑlns
ulbroka,ulbrɔkɑ̆
limbaži,limbɑʑĭ
daugavgrīva,dɑ͜uɡɑ͜uɡriːvɑ̆
vaiņode,vɑ͜iɲɔdĕ
sakta,sɑktɑ̆
prisma,prismɑ̆
carnikava,t͡sɑrnikɑvɑ̆
nida,nidɑ̆
nepilsoņi,nepilsu͜oɲĭ
ukri,ukrĭ
aptauja,ɑptɑ͜uʝɑ̆
jāņi,ʝɑːɲĭ
latvijas,lɑtviʝɑ̆s
sece,set͡sĕ
pasažieru,pɑsɑʑi͜erŭ
vilciens,vilt͡si͜ens
tērvete,teːrvetĕ
jūrkalne,ʝuːrkɑlnĕ
majori,mɑʝɔrĭ
jersika,ʝersikɑ̆
birzgale,birzɡɑlĕ
bogdāni,bɔɡdɑːnĭ
staburags,stɑburɑks
triānas,triɑːnɑ̆s
parks,pɑrks
višķi,viʃcĭ
atmoda,ɑtmɔdɑ̆
lejasciems,leʝɑst͡si͜ems
slokas,slɔkɑ̆s
eleja,eleʝɑ̆
ziestu,zi͜estŭ
kalns,kɑlns
jaunais,ʝɑ͜unɑ͜is
ratnieki,rɑtni͜ekĭ
turlava,turlɑvɑ̆
terra,tærrɑ̆
mariana,mɑriɑnɑ̆
rublis,rublĭs
olimpija,ɔlimpiʝɑ̆
ziemeļu,zi͜emeʎŭ
purvi,purvĭ
irbene,irbenĕ
delna,dælnɑ̆
progresīvie,prɔɡresiːvi͜e
žaunerāni,ʑɑ͜unærɑːnĭ
mikitāni,mikitɑːnĭ
angulo,ɑňɡulu͜o
riga,riɡɑ̆
europe,eurɔpĕ
vasilijs,vɑsiliʝs
perepļotkins,perepʎɔtkins
fadejevs,fɑdeʝe͜us
vaira,vɑ͜irɑ̆
vīķefreiberga,viːcefre͜ibærɡɑ̆
